Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,7,1,0,0,+0,0.000
03-23-2020,10,1,0,0,+3,1.429
03-24-2020,13,1,0,0,+3,1.300
03-25-2020,23,2,0,0,+10,1.769
03-26-2020,35,2,0,0,+12,1.522
03-27-2020,48,2,0,0,+13,1.371
03-28-2020,67,2,0,0,+19,1.396
03-29-2020,94,2,0,0,+27,1.403
03-30-2020,114,3,0,0,+20,1.213
03-31-2020,133,3,0,0,+19,1.167
04-01-2020,171,3,0,0,+38,1.286
04-02-2020,206,3,0,0,+35,1.205
04-03-2020,233,4,0,0,+27,1.131
04-04-2020,272,7,0,0,+39,1.167
04-05-2020,302,8,0,0,+30,1.110
04-06-2020,321,12,0,0,+19,1.063
04-07-2020,347,16,0,0,+26,1.081
04-08-2020,371,16,0,0,+24,1.069
04-09-2020,403,16,0,0,+32,1.086
04-10-2020,443,16,0,0,+40,1.099
04-11-2020,490,21,0,0,+47,1.106
04-12-2020,503,21,0,482,+13,1.027
04-13-2020,514,21,0,493,+11,1.022
04-14-2020,540,25,0,515,+26,1.051
04-15-2020,596,28,0,568,+56,1.104
04-16-2020,644,28,0,616,+48,1.081
04-17-2020,682,28,0,654,+38,1.059
04-18-2020,724,31,0,693,+42,1.062
04-19-2020,789,33,0,756,+65,1.090
04-20-2020,823,33,0,790,+34,1.043
04-21-2020,853,36,0,817,+30,1.036
04-22-2020,878,44,0,834,+25,1.029
04-23-2020,936,55,0,881,+58,1.066
04-24-2020,985,58,0,927,+49,1.052
04-25-2020,1033,59,0,974,+48,1.049
04-26-2020,1104,59,0,1045,+71,1.069
04-27-2020,1130,61,0,1069,+26,1.024
04-28-2020,1166,66,0,1100,+36,1.032
04-29-2020,1208,114,0,1094,+42,1.036
04-30-2020,1251,117,0,1134,+43,1.036
05-01-2020,1297,119,0,1178,+46,1.037
05-02-2020,1331,119,0,1212,+34,1.026
05-03-2020,1376,119,0,1257,+45,1.034
05-04-2020,1429,120,0,1309,+53,1.039
05-05-2020,1478,133,0,1345,+49,1.034
05-06-2020,1527,151,0,1376,+49,1.033
05-07-2020,1583,155,0,1428,+56,1.037
05-08-2020,1665,161,0,1504,+82,1.052
05-09-2020,1710,164,0,1546,+45,1.027
05-10-2020,1757,164,0,1593,+47,1.027
05-11-2020,1806,165,0,1641,+49,1.028
05-12-2020,1836,179,0,1657,+30,1.017
05-13-2020,1858,187,0,1671,+22,1.012
05-14-2020,1883,195,0,1688,+25,1.013
05-15-2020,1921,204,0,1717,+38,1.020
05-16-2020,1945,203,0,1742,+24,1.012
05-17-2020,1960,204,0,1756,+15,1.008
05-18-2020,1986,207,0,1779,+26,1.013
05-19-2020,1999,209,0,1790,+13,1.007
05-20-2020,2021,214,0,1807,+22,1.011
05-21-2020,2056,219,0,1837,+35,1.017
05-22-2020,2071,218,0,1853,+15,1.007
05-23-2020,2087,228,0,1859,+16,1.008
05-24-2020,2107,229,0,1878,+20,1.010
05-25-2020,2126,229,0,1897,+19,1.009
05-26-2020,2152,229,0,1923,+26,1.012
05-27-2020,2162,233,0,1929,+10,1.005
05-28-2020,2178,240,0,1938,+16,1.007
05-29-2020,2202,240,0,1962,+24,1.011
05-30-2020,2241,242,0,1999,+39,1.018
05-31-2020,2267,242,0,2025,+26,1.012
06-01-2020,2277,248,0,2029,+10,1.004
06-02-2020,2282,252,0,2030,+5,1.002
06-03-2020,2296,256,0,2040,+14,1.006
