Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,7,0,0,0,+0,0.000
03-23-2020,10,0,0,0,+3,1.429
03-24-2020,21,0,0,0,+11,2.100
03-25-2020,27,1,0,0,+6,1.286
03-26-2020,36,1,0,0,+9,1.333
03-27-2020,55,2,0,0,+19,1.528
03-28-2020,65,2,0,0,+10,1.182
03-29-2020,94,2,0,0,+29,1.446
03-30-2020,150,3,0,0,+56,1.596
03-31-2020,212,4,0,0,+62,1.413
04-01-2020,282,4,0,0,+70,1.330
04-02-2020,384,5,0,0,+102,1.362
04-03-2020,484,5,0,0,+100,1.260
04-04-2020,648,5,0,0,+164,1.339
04-05-2020,741,5,0,0,+93,1.144
04-06-2020,849,5,0,0,+108,1.146
04-07-2020,982,8,0,0,+133,1.157
04-08-2020,1134,11,0,0,+152,1.155
04-09-2020,1241,12,0,0,+107,1.094
04-10-2020,1325,15,0,0,+84,1.068
04-11-2020,1372,17,0,0,+47,1.035
04-12-2020,1411,17,0,1394,+39,1.028
04-13-2020,1446,21,0,1425,+35,1.025
04-14-2020,1523,26,0,1497,+77,1.053
04-15-2020,1567,27,0,1540,+44,1.029
04-16-2020,1611,28,0,1583,+44,1.028
04-17-2020,1668,31,0,1637,+57,1.035
04-18-2020,1712,32,0,1680,+44,1.026
04-19-2020,1741,34,0,1707,+29,1.017
04-20-2020,1767,36,0,1731,+26,1.015
04-21-2020,1800,50,0,1750,+33,1.019
