Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,140,1,0,0,+0,0.000
03-23-2020,175,2,0,0,+35,1.250
03-24-2020,225,3,0,0,+50,1.286
03-25-2020,281,7,0,0,+56,1.249
03-26-2020,347,11,0,0,+66,1.235
03-27-2020,404,14,0,0,+57,1.164
03-28-2020,534,17,0,0,+130,1.322
03-29-2020,620,20,0,0,+86,1.161
03-30-2020,728,27,0,0,+108,1.174
03-31-2020,853,38,0,0,+125,1.172
04-01-2020,1088,51,0,0,+235,1.275
04-02-2020,1332,58,0,0,+244,1.224
04-03-2020,1560,65,0,0,+228,1.171
04-04-2020,1838,78,0,0,+278,1.178
04-05-2020,2003,83,0,0,+165,1.090
04-06-2020,2159,100,0,0,+156,1.078
04-07-2020,2414,121,0,0,+255,1.118
04-08-2020,2626,141,0,0,+212,1.088
04-09-2020,2783,165,0,0,+157,1.060
04-10-2020,2973,197,0,0,+190,1.068
04-11-2020,3164,209,0,0,+191,1.064
04-12-2020,3254,217,0,3037,+90,1.028
