Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,23,0,0,0,+5,1.278
03-24-2020,28,0,0,0,+5,1.217
03-25-2020,42,0,0,0,+14,1.500
03-26-2020,51,1,0,0,+9,1.214
03-27-2020,68,2,0,0,+17,1.333
03-28-2020,80,2,0,0,+12,1.176
03-29-2020,84,2,0,0,+4,1.050
03-30-2020,117,4,0,0,+33,1.393
03-31-2020,153,9,0,0,+36,1.308
04-01-2020,177,10,0,0,+24,1.157
04-02-2020,192,11,0,0,+15,1.085
04-03-2020,220,12,0,0,+28,1.146
04-04-2020,250,13,0,0,+30,1.136
04-05-2020,261,15,0,0,+11,1.044
04-06-2020,272,17,0,0,+11,1.042
04-07-2020,300,19,0,0,+28,1.103
04-08-2020,305,28,0,0,+5,1.017
04-09-2020,334,28,0,0,+29,1.095
04-10-2020,358,28,0,0,+24,1.072
04-11-2020,375,31,0,0,+17,1.047
04-12-2020,417,31,0,386,+42,1.112
04-13-2020,443,31,0,412,+26,1.062
04-14-2020,469,35,0,434,+26,1.059
04-15-2020,486,41,0,445,+17,1.036
04-16-2020,512,42,0,470,+26,1.053
04-17-2020,547,44,0,503,+35,1.068
04-18-2020,572,45,0,527,+25,1.046
04-19-2020,589,48,0,541,+17,1.030
04-20-2020,604,50,0,554,+15,1.025
04-21-2020,621,54,0,567,+17,1.028
04-22-2020,635,56,0,579,+14,1.023
04-23-2020,666,62,0,604,+31,1.049
04-24-2020,688,65,0,623,+22,1.033
04-25-2020,721,66,0,655,+33,1.048
04-26-2020,737,66,0,671,+16,1.022
04-27-2020,764,65,0,699,+27,1.037
04-28-2020,784,67,0,717,+20,1.026
04-29-2020,804,81,0,723,+20,1.026
04-30-2020,828,80,0,748,+24,1.030
05-01-2020,853,82,0,771,+25,1.030
05-02-2020,883,82,0,801,+30,1.035
05-03-2020,937,83,0,854,+54,1.061
05-04-2020,961,83,0,878,+24,1.026
05-05-2020,998,92,0,906,+37,1.039
05-06-2020,1024,108,0,916,+26,1.026
05-07-2020,1044,115,0,929,+20,1.020
05-08-2020,1087,119,0,968,+43,1.041
05-09-2020,1104,122,0,982,+17,1.016
05-10-2020,1119,122,0,997,+15,1.014
05-11-2020,1144,123,0,1021,+25,1.022
05-12-2020,1150,132,0,1018,+6,1.005
05-13-2020,1163,134,0,1029,+13,1.011
05-14-2020,1174,138,0,1036,+11,1.009
05-15-2020,1185,145,0,1040,+11,1.009
05-16-2020,1199,146,0,1053,+14,1.012
05-17-2020,1212,146,0,1066,+13,1.011
05-18-2020,1226,148,0,1078,+14,1.012
05-19-2020,1247,156,0,1091,+21,1.017
05-20-2020,1252,160,0,1092,+5,1.004
05-21-2020,1277,162,0,1115,+25,1.020
05-22-2020,1295,163,0,1132,+18,1.014
05-23-2020,1317,169,0,1148,+22,1.017
05-24-2020,1334,169,0,1165,+17,1.013
05-25-2020,1341,169,0,1172,+7,1.005
05-26-2020,1347,171,0,1176,+6,1.004
05-27-2020,1367,173,0,1194,+20,1.015
05-28-2020,1397,173,0,1224,+30,1.022
05-29-2020,1405,173,0,1232,+8,1.006
05-30-2020,1428,174,0,1254,+23,1.016
05-31-2020,1431,174,0,1257,+3,1.002
06-01-2020,1438,178,0,1260,+7,1.005
06-02-2020,1456,186,0,1270,+18,1.013
06-03-2020,1463,188,0,1275,+7,1.005
