Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,4,0,0,0,+4,0.000
03-29-2020,5,0,0,0,+1,1.250
03-30-2020,7,0,0,0,+2,1.400
03-31-2020,8,0,0,0,+1,1.143
04-01-2020,9,0,0,0,+1,1.125
04-02-2020,12,0,0,0,+3,1.333
04-03-2020,13,0,0,0,+1,1.083
04-04-2020,14,0,0,0,+1,1.077
04-05-2020,14,0,0,0,+0,1.000
04-06-2020,17,0,0,0,+3,1.214
04-07-2020,20,0,0,0,+3,1.176
04-08-2020,20,0,0,0,+0,1.000
04-09-2020,25,0,0,0,+5,1.250
04-10-2020,29,0,0,0,+4,1.160
04-11-2020,34,0,0,0,+5,1.172
04-12-2020,34,0,0,34,+0,1.000
04-13-2020,41,0,0,41,+7,1.206
04-14-2020,49,0,0,49,+8,1.195
04-15-2020,53,0,0,53,+4,1.082
04-16-2020,62,0,0,62,+9,1.170
04-17-2020,72,0,0,72,+10,1.161
04-18-2020,82,0,0,82,+10,1.139
04-19-2020,93,0,0,93,+11,1.134
04-20-2020,96,0,0,96,+3,1.032
04-21-2020,110,0,0,110,+14,1.146
04-22-2020,117,0,0,117,+7,1.064
04-23-2020,127,1,0,126,+10,1.085
04-24-2020,137,1,0,136,+10,1.079
04-25-2020,154,1,0,153,+17,1.124
04-26-2020,158,2,0,156,+4,1.026
04-27-2020,165,2,0,163,+7,1.044
04-28-2020,175,2,0,173,+10,1.061
04-29-2020,196,3,0,193,+21,1.120
04-30-2020,216,2,0,214,+20,1.102
05-01-2020,222,2,0,220,+6,1.028
05-02-2020,258,2,0,256,+36,1.162
05-03-2020,266,1,0,265,+8,1.031
05-04-2020,273,1,0,272,+7,1.026
05-05-2020,289,1,0,288,+16,1.059
05-06-2020,289,1,0,288,+0,1.000
05-07-2020,332,1,0,331,+43,1.149
05-08-2020,355,2,0,353,+23,1.069
05-09-2020,358,2,0,356,+3,1.008
05-10-2020,381,2,0,379,+23,1.064
05-11-2020,428,3,0,425,+47,1.123
05-12-2020,430,3,0,427,+2,1.005
05-13-2020,459,4,0,455,+29,1.067
05-14-2020,515,5,0,510,+56,1.122
05-15-2020,533,5,0,528,+18,1.035
05-16-2020,574,5,0,569,+41,1.077
05-17-2020,594,5,0,589,+20,1.035
05-18-2020,628,5,0,623,+34,1.057
05-19-2020,680,5,0,675,+52,1.083
05-20-2020,699,6,0,693,+19,1.028
05-21-2020,743,6,0,737,+44,1.063
05-22-2020,764,7,0,757,+21,1.028
05-23-2020,792,7,0,785,+28,1.037
05-24-2020,806,7,0,799,+14,1.018
05-25-2020,849,9,0,840,+43,1.053
05-26-2020,956,9,0,947,+107,1.126
05-27-2020,966,10,0,956,+10,1.010
05-28-2020,971,10,0,961,+5,1.005
05-29-2020,1004,10,0,994,+33,1.034
05-30-2020,1046,10,0,1036,+42,1.042
05-31-2020,1092,10,0,1082,+46,1.044
06-01-2020,1105,11,0,1094,+13,1.012
06-02-2020,1135,11,0,1124,+30,1.027
06-03-2020,1154,12,0,1142,+19,1.017
