Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,1,0,0,+0,0.000
03-23-2020,15,1,0,0,+2,1.154
03-24-2020,16,1,0,0,+1,1.067
03-25-2020,22,1,0,0,+6,1.375
03-26-2020,26,1,0,0,+4,1.182
03-27-2020,28,1,0,0,+2,1.077
03-28-2020,30,1,0,0,+2,1.071
03-29-2020,33,1,0,0,+3,1.100
03-30-2020,39,1,0,0,+6,1.182
03-31-2020,53,2,0,0,+14,1.359
04-01-2020,58,2,0,0,+5,1.094
04-02-2020,89,3,0,0,+31,1.534
04-03-2020,104,3,0,0,+15,1.169
04-04-2020,129,3,0,0,+25,1.240
04-05-2020,136,3,0,0,+7,1.054
04-06-2020,144,3,0,0,+8,1.059
04-07-2020,162,5,0,0,+18,1.125
04-08-2020,171,7,0,0,+9,1.056
04-09-2020,175,10,0,0,+4,1.023
04-10-2020,198,11,0,0,+23,1.131
04-11-2020,203,13,0,0,+5,1.025
04-12-2020,236,13,0,223,+33,1.163
04-13-2020,252,15,0,237,+16,1.068
04-14-2020,261,16,0,245,+9,1.036
04-15-2020,276,19,0,257,+15,1.057
04-16-2020,309,20,0,289,+33,1.120
04-17-2020,326,29,0,297,+17,1.055
04-18-2020,362,31,0,331,+36,1.110
04-19-2020,417,31,0,386,+55,1.152
04-20-2020,433,33,0,400,+16,1.038
04-21-2020,443,34,0,409,+10,1.023
04-22-2020,445,34,0,411,+2,1.005
04-23-2020,473,39,0,434,+28,1.063
04-24-2020,491,42,0,449,+18,1.038
04-25-2020,497,42,0,455,+6,1.012
04-26-2020,508,42,0,466,+11,1.022
04-27-2020,533,42,0,491,+25,1.049
04-28-2020,563,46,0,517,+30,1.056
04-29-2020,567,49,0,518,+4,1.007
04-30-2020,580,55,0,525,+13,1.023
05-01-2020,591,57,0,534,+11,1.019
05-02-2020,607,59,0,548,+16,1.027
05-03-2020,619,59,0,560,+12,1.020
05-04-2020,636,59,0,577,+17,1.027
05-05-2020,684,61,0,623,+48,1.075
05-06-2020,722,64,0,658,+38,1.056
05-07-2020,737,68,0,669,+15,1.021
05-08-2020,742,72,0,670,+5,1.007
05-09-2020,756,74,0,682,+14,1.019
05-10-2020,776,74,0,702,+20,1.026
05-11-2020,783,74,0,709,+7,1.009
05-12-2020,795,74,0,721,+12,1.015
05-13-2020,806,75,0,731,+11,1.014
05-14-2020,813,78,0,735,+7,1.009
05-15-2020,826,79,0,747,+13,1.016
05-16-2020,834,81,0,753,+8,1.010
05-17-2020,849,81,0,768,+15,1.018
05-18-2020,867,81,0,786,+18,1.021
05-19-2020,888,82,0,806,+21,1.024
05-20-2020,893,84,0,809,+5,1.006
05-21-2020,933,88,0,845,+40,1.045
05-22-2020,946,90,0,856,+13,1.014
05-23-2020,958,91,0,867,+12,1.013
05-24-2020,975,91,0,884,+17,1.018
05-25-2020,988,91,0,897,+13,1.013
05-26-2020,990,91,0,899,+2,1.002
05-27-2020,996,93,0,903,+6,1.006
05-28-2020,1007,95,0,912,+11,1.011
05-29-2020,1022,96,0,926,+15,1.015
05-30-2020,1037,97,0,940,+15,1.015
05-31-2020,1045,97,0,948,+8,1.008
06-01-2020,1057,97,0,960,+12,1.011
06-02-2020,1074,98,0,976,+17,1.016
06-03-2020,1110,98,0,1012,+36,1.034
