Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,81,2,0,0,+0,0.000
03-23-2020,139,2,0,0,+58,1.716
03-24-2020,199,2,0,0,+60,1.432
03-25-2020,251,2,0,0,+52,1.261
03-26-2020,299,2,0,0,+48,1.191
03-27-2020,399,5,0,0,+100,1.334
03-28-2020,454,5,0,0,+55,1.138
03-29-2020,545,5,0,0,+91,1.200
03-30-2020,690,5,0,0,+145,1.266
03-31-2020,788,5,0,0,+98,1.142
04-01-2020,871,5,0,0,+83,1.105
04-02-2020,961,12,0,0,+90,1.103
04-03-2020,1049,12,0,0,+88,1.092
04-04-2020,1171,28,0,0,+122,1.116
04-05-2020,1326,31,0,0,+155,1.132
04-06-2020,1433,31,0,0,+107,1.081
04-07-2020,1495,35,0,0,+62,1.043
04-08-2020,1559,37,0,0,+64,1.043
04-09-2020,1689,39,0,0,+130,1.083
04-10-2020,1741,39,0,0,+52,1.031
04-11-2020,1891,47,0,0,+150,1.086
04-12-2020,1960,47,0,1913,+69,1.036
04-13-2020,2020,52,0,1968,+60,1.031
04-14-2020,2056,54,0,2002,+36,1.018
04-15-2020,2146,60,0,2086,+90,1.044
04-16-2020,2264,64,0,2200,+118,1.055
04-17-2020,2404,69,0,2335,+140,1.062
04-18-2020,2491,70,0,2421,+87,1.036
04-19-2020,2589,75,0,2514,+98,1.039
04-20-2020,2636,75,0,2561,+47,1.018
04-21-2020,2738,83,0,2655,+102,1.039
