Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,82,3,0,0,+0,0.000
03-23-2020,82,3,0,0,+0,1.000
03-24-2020,161,6,0,0,+79,1.963
03-25-2020,226,6,0,0,+65,1.404
03-26-2020,293,6,0,0,+67,1.296
03-27-2020,484,8,0,0,+191,1.652
03-28-2020,584,10,0,0,+100,1.207
03-29-2020,676,10,0,0,+92,1.158
03-30-2020,804,12,0,0,+128,1.189
03-31-2020,964,17,0,0,+160,1.199
04-01-2020,1117,21,0,0,+153,1.159
04-02-2020,1304,24,0,0,+187,1.167
04-03-2020,1429,33,0,0,+125,1.096
04-04-2020,1570,34,0,0,+141,1.099
04-05-2020,1760,37,0,0,+190,1.121
04-06-2020,1956,37,0,0,+196,1.111
