Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,3,0,0,0,+2,3.000
03-24-2020,4,0,0,0,+1,1.333
03-25-2020,4,0,0,0,+0,1.000
03-26-2020,4,0,0,0,+0,1.000
03-27-2020,5,0,0,0,+1,1.250
03-28-2020,5,0,0,0,+0,1.000
03-29-2020,6,0,0,0,+1,1.200
03-30-2020,7,0,0,0,+1,1.167
03-31-2020,8,0,0,0,+1,1.143
04-01-2020,9,0,0,0,+1,1.125
04-02-2020,10,0,0,0,+1,1.111
04-03-2020,11,0,0,0,+1,1.100
04-04-2020,12,0,0,0,+1,1.091
04-05-2020,19,0,0,0,+7,1.583
04-06-2020,25,0,0,0,+6,1.316
04-07-2020,28,0,0,0,+3,1.120
04-08-2020,32,0,0,0,+4,1.143
04-09-2020,40,0,0,0,+8,1.250
04-10-2020,42,0,0,0,+2,1.050
04-11-2020,49,0,0,0,+7,1.167
04-12-2020,53,0,0,53,+4,1.082
04-13-2020,91,0,0,91,+38,1.717
04-14-2020,110,0,0,110,+19,1.209
04-15-2020,164,0,0,164,+54,1.491
04-16-2020,276,1,0,275,+112,1.683
04-17-2020,428,1,0,427,+152,1.551
04-18-2020,983,1,0,982,+555,2.297
04-19-2020,1834,1,0,1833,+851,1.866
04-20-2020,2073,1,0,2072,+239,1.130
04-21-2020,2132,1,0,2131,+59,1.028
