Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+0,1.000
03-24-2020,14,0,0,0,+2,1.167
03-25-2020,19,0,0,0,+5,1.357
03-26-2020,19,1,0,0,+0,1.000
03-27-2020,45,1,0,0,+26,2.368
03-28-2020,47,2,0,0,+2,1.044
03-29-2020,52,2,0,0,+5,1.106
03-30-2020,52,2,0,0,+0,1.000
03-31-2020,63,2,0,0,+11,1.212
04-01-2020,69,2,0,0,+6,1.095
04-02-2020,81,3,0,0,+12,1.174
04-03-2020,102,3,0,0,+21,1.259
04-04-2020,122,3,0,0,+20,1.196
04-05-2020,133,3,0,0,+11,1.090
04-06-2020,144,3,0,0,+11,1.083
04-07-2020,144,3,0,0,+0,1.000
04-08-2020,180,5,0,0,+36,1.250
04-09-2020,180,5,0,0,+0,1.000
04-10-2020,206,5,0,0,+26,1.144
04-11-2020,220,6,0,0,+14,1.068
04-12-2020,235,6,0,229,+15,1.068
04-13-2020,245,7,0,238,+10,1.043
04-14-2020,257,8,0,249,+12,1.049
04-15-2020,264,11,0,253,+7,1.027
04-16-2020,279,13,0,266,+15,1.057
04-17-2020,306,13,0,293,+27,1.097
04-18-2020,340,17,0,323,+34,1.111
04-19-2020,340,17,0,323,+0,1.000
04-20-2020,351,17,0,334,+11,1.032
04-21-2020,368,20,0,348,+17,1.048
04-22-2020,399,22,0,377,+31,1.084
04-23-2020,419,26,0,393,+20,1.050
04-24-2020,459,27,0,432,+40,1.095
04-25-2020,502,28,0,474,+43,1.094
04-26-2020,513,28,0,485,+11,1.022
04-27-2020,538,28,0,510,+25,1.049
04-28-2020,552,31,0,521,+14,1.026
04-29-2020,588,33,0,555,+36,1.065
04-30-2020,621,34,0,587,+33,1.056
05-01-2020,666,37,0,629,+45,1.072
05-02-2020,693,38,0,655,+27,1.041
05-03-2020,738,37,0,701,+45,1.065
05-04-2020,790,38,0,752,+52,1.070
05-05-2020,802,40,0,762,+12,1.015
05-06-2020,814,42,0,772,+12,1.015
05-07-2020,857,44,0,813,+43,1.053
05-08-2020,897,48,0,849,+40,1.047
05-09-2020,936,52,0,884,+39,1.043
05-10-2020,945,51,0,894,+9,1.010
05-11-2020,958,52,0,906,+13,1.014
05-12-2020,1026,55,0,971,+68,1.071
05-13-2020,1049,56,0,993,+23,1.022
05-14-2020,1083,57,0,1026,+34,1.032
05-15-2020,1123,62,0,1061,+40,1.037
05-16-2020,1156,62,0,1094,+33,1.029
05-17-2020,1179,62,0,1117,+23,1.020
05-18-2020,1209,62,0,1147,+30,1.025
05-19-2020,1224,64,0,1160,+15,1.012
05-20-2020,1255,66,0,1189,+31,1.025
05-21-2020,1282,67,0,1215,+27,1.022
05-22-2020,1323,67,0,1256,+41,1.032
05-23-2020,1360,67,0,1293,+37,1.028
05-24-2020,1399,67,0,1332,+39,1.029
05-25-2020,1427,67,0,1360,+28,1.020
05-26-2020,1452,68,0,1384,+25,1.018
05-27-2020,1475,69,0,1406,+23,1.016
05-28-2020,1488,70,0,1418,+13,1.009
05-29-2020,1514,71,0,1443,+26,1.017
05-30-2020,1539,72,0,1467,+25,1.017
05-31-2020,1566,72,0,1494,+27,1.018
06-01-2020,1585,72,0,1513,+19,1.012
06-02-2020,1606,73,0,1533,+21,1.013
06-03-2020,1628,78,0,1550,+22,1.014
