Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+1,2.000
03-24-2020,3,0,0,0,+1,1.500
03-25-2020,3,0,0,0,+0,1.000
03-26-2020,3,0,0,0,+0,1.000
03-27-2020,3,0,0,0,+0,1.000
03-28-2020,5,0,0,0,+2,1.667
03-29-2020,9,0,0,0,+4,1.800
03-30-2020,9,0,0,0,+0,1.000
03-31-2020,16,0,0,0,+7,1.778
04-01-2020,25,0,0,0,+9,1.562
04-02-2020,29,0,0,0,+4,1.160
04-03-2020,46,0,0,0,+17,1.586
04-04-2020,46,0,0,0,+0,1.000
04-05-2020,55,2,0,0,+9,1.196
04-06-2020,61,2,0,0,+6,1.109
04-07-2020,78,2,0,0,+17,1.279
04-08-2020,87,2,0,0,+9,1.115
04-09-2020,70,2,0,0,+-17,0.805
04-10-2020,113,2,0,0,+43,1.614
04-11-2020,113,2,0,0,+0,1.000
04-12-2020,144,2,0,142,+31,1.274
04-13-2020,144,2,0,142,+0,1.000
04-14-2020,191,2,0,189,+47,1.326
04-15-2020,242,2,0,240,+51,1.267
04-16-2020,242,2,0,240,+0,1.000
04-17-2020,265,4,0,261,+23,1.095
04-18-2020,356,5,0,351,+91,1.343
04-19-2020,363,5,0,358,+7,1.020
04-20-2020,416,5,0,411,+53,1.146
04-21-2020,416,5,0,411,+0,1.000
04-22-2020,519,7,0,512,+103,1.248
04-23-2020,573,8,0,565,+54,1.104
04-24-2020,639,9,0,630,+66,1.115
04-25-2020,708,9,0,699,+69,1.108
04-26-2020,720,12,0,708,+12,1.017
04-27-2020,778,12,0,766,+58,1.081
04-28-2020,820,15,0,805,+42,1.054
04-29-2020,953,16,0,937,+133,1.162
04-30-2020,1027,19,0,1008,+74,1.078
05-01-2020,1064,20,0,1044,+37,1.036
05-02-2020,1116,20,0,1096,+52,1.049
05-03-2020,1144,21,0,1123,+28,1.025
05-04-2020,1233,21,0,1212,+89,1.078
05-05-2020,1274,25,0,1249,+41,1.033
05-06-2020,1337,29,0,1308,+63,1.049
05-07-2020,1402,31,0,1371,+65,1.049
05-08-2020,1460,36,0,1424,+58,1.041
05-09-2020,1508,40,0,1468,+48,1.033
05-10-2020,1522,46,0,1476,+14,1.009
05-11-2020,1585,50,0,1535,+63,1.041
05-12-2020,1628,55,0,1573,+43,1.027
05-13-2020,1681,57,0,1624,+53,1.033
05-14-2020,1730,63,0,1667,+49,1.029
05-15-2020,1787,69,0,1718,+57,1.033
05-16-2020,1864,73,0,1791,+77,1.043
05-17-2020,1888,76,0,1812,+24,1.013
05-18-2020,1953,78,0,1875,+65,1.034
05-19-2020,1987,79,0,1908,+34,1.017
05-20-2020,2034,82,0,1952,+47,1.024
05-21-2020,2044,86,0,1958,+10,1.005
05-22-2020,2086,87,0,1999,+42,1.021
05-23-2020,2086,87,0,1999,+0,1.000
05-24-2020,2192,93,0,2099,+106,1.051
05-25-2020,2215,94,0,2121,+23,1.010
05-26-2020,2236,95,0,2141,+21,1.009
05-27-2020,2270,97,0,2173,+34,1.015
05-28-2020,2291,100,0,2191,+21,1.009
05-29-2020,2348,104,0,2244,+57,1.025
05-30-2020,2406,109,0,2297,+58,1.025
05-31-2020,2415,110,0,2305,+9,1.004
06-01-2020,2451,112,0,2339,+36,1.015
06-02-2020,2480,114,0,2366,+29,1.012
06-03-2020,2515,119,0,2396,+35,1.014
