Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,77,0,0,0,+0,0.000
03-23-2020,97,0,0,0,+20,1.260
03-24-2020,142,0,0,0,+45,1.464
03-25-2020,170,0,0,0,+28,1.197
03-26-2020,204,0,0,0,+34,1.200
03-27-2020,259,0,0,0,+55,1.270
03-28-2020,299,0,0,0,+40,1.154
03-29-2020,336,1,0,0,+37,1.124
03-30-2020,382,1,0,0,+46,1.137
03-31-2020,420,1,0,0,+38,1.099
04-01-2020,444,1,0,0,+24,1.057
04-02-2020,533,3,0,0,+89,1.200
04-03-2020,601,3,0,0,+68,1.128
04-04-2020,650,4,0,0,+49,1.082
04-05-2020,664,4,0,0,+14,1.022
04-06-2020,741,7,0,0,+77,1.116
04-07-2020,810,7,0,0,+69,1.093
04-08-2020,848,10,0,0,+38,1.047
04-09-2020,861,10,0,0,+13,1.015
04-10-2020,906,10,0,0,+45,1.052
04-11-2020,935,12,0,0,+29,1.032
04-12-2020,954,12,0,942,+19,1.020
04-13-2020,970,12,0,958,+16,1.017
04-14-2020,993,15,0,978,+23,1.024
04-15-2020,1015,16,0,999,+22,1.022
04-16-2020,1098,21,0,1077,+83,1.082
04-17-2020,1136,24,0,1112,+38,1.035
04-18-2020,1153,24,0,1129,+17,1.015
04-19-2020,1183,29,0,1154,+30,1.026
04-20-2020,1231,36,0,1195,+48,1.041
04-21-2020,1255,36,0,1219,+24,1.019
04-22-2020,1331,36,0,1295,+76,1.061
04-23-2020,1377,37,0,1340,+46,1.035
04-24-2020,1407,37,0,1370,+30,1.022
04-25-2020,1450,41,0,1409,+43,1.031
04-26-2020,1482,41,0,1441,+32,1.022
04-27-2020,1492,43,0,1449,+10,1.007
04-28-2020,1519,43,0,1476,+27,1.018
04-29-2020,1567,43,0,1524,+48,1.032
04-30-2020,1627,47,0,1580,+60,1.038
05-01-2020,1651,49,0,1602,+24,1.015
05-02-2020,1699,49,0,1650,+48,1.029
05-03-2020,1724,49,0,1675,+25,1.015
05-04-2020,1734,51,0,1683,+10,1.006
05-05-2020,1787,57,0,1730,+53,1.031
05-06-2020,1870,58,0,1812,+83,1.046
05-07-2020,1922,58,0,1864,+52,1.028
05-08-2020,1989,58,0,1931,+67,1.035
05-09-2020,2043,61,0,1982,+54,1.027
05-10-2020,2074,61,0,2013,+31,1.015
05-11-2020,2134,63,0,2071,+60,1.029
05-12-2020,2158,63,0,2095,+24,1.011
05-13-2020,2283,63,0,2220,+125,1.058
05-14-2020,2342,63,0,2279,+59,1.026
05-15-2020,2385,63,0,2322,+43,1.018
05-16-2020,2504,63,0,2441,+119,1.050
05-17-2020,2591,64,0,2527,+87,1.035
05-18-2020,2652,64,0,2588,+61,1.024
05-19-2020,2652,64,0,2588,+0,1.000
05-20-2020,2780,69,0,2711,+128,1.048
05-21-2020,2780,69,0,2711,+0,1.000
05-22-2020,3001,73,0,2928,+221,1.079
05-23-2020,3142,73,0,3069,+141,1.047
05-24-2020,3231,73,0,3158,+89,1.028
05-25-2020,3380,73,0,3307,+149,1.046
05-26-2020,3403,73,0,3330,+23,1.007
05-27-2020,3478,80,0,3398,+75,1.022
05-28-2020,3605,85,0,3520,+127,1.037
05-29-2020,3837,88,0,3749,+232,1.064
05-30-2020,4028,88,0,3940,+191,1.050
05-31-2020,4250,89,0,4161,+222,1.055
06-01-2020,4412,92,0,4320,+162,1.038
06-02-2020,4519,95,0,4424,+107,1.024
06-03-2020,4670,97,0,4573,+151,1.033
