Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,40,0,0,0,+0,0.000
03-23-2020,50,0,0,0,+10,1.250
03-24-2020,58,0,0,0,+8,1.160
03-25-2020,82,0,0,0,+24,1.414
03-26-2020,111,0,0,0,+29,1.354
03-27-2020,131,0,0,0,+20,1.180
03-28-2020,168,0,0,0,+37,1.282
03-29-2020,202,0,0,0,+34,1.202
03-30-2020,249,0,0,0,+47,1.233
03-31-2020,268,0,0,0,+19,1.076
04-01-2020,333,3,0,0,+65,1.243
04-02-2020,386,4,0,0,+53,1.159
04-03-2020,484,5,0,0,+98,1.254
04-04-2020,586,13,0,0,+102,1.211
04-05-2020,654,16,0,0,+68,1.116
04-06-2020,740,19,0,0,+86,1.131
04-07-2020,837,24,0,0,+97,1.131
04-08-2020,992,28,0,0,+155,1.185
04-09-2020,1161,36,0,0,+169,1.170
04-10-2020,1282,39,0,0,+121,1.104
04-11-2020,1434,49,0,0,+152,1.119
04-12-2020,1567,50,0,1517,+133,1.093
04-13-2020,1646,53,0,1593,+79,1.050
04-14-2020,1731,71,0,1660,+85,1.052
04-15-2020,1856,76,0,1780,+125,1.072
04-16-2020,2037,87,0,1950,+181,1.098
04-17-2020,2123,101,0,2022,+86,1.042
04-18-2020,2215,110,0,2105,+92,1.043
04-19-2020,2395,113,0,2282,+180,1.081
04-20-2020,2591,122,0,2469,+196,1.082
04-21-2020,2591,122,0,2469,+0,1.000
04-22-2020,2845,145,0,2700,+254,1.098
04-23-2020,2991,163,0,2828,+146,1.051
04-24-2020,3086,178,0,2908,+95,1.032
04-25-2020,3245,183,0,3062,+159,1.052
04-26-2020,3355,188,0,3167,+110,1.034
04-27-2020,3433,194,0,3239,+78,1.023
04-28-2020,3605,212,0,3393,+172,1.050
04-29-2020,3725,220,0,3505,+120,1.033
04-30-2020,3937,231,0,3706,+212,1.057
05-01-2020,4077,239,0,3838,+140,1.036
05-02-2020,4271,252,0,4019,+194,1.048
05-03-2020,4504,255,0,4249,+233,1.055
05-04-2020,4594,256,0,4338,+90,1.020
05-05-2020,4743,280,0,4463,+149,1.032
05-06-2020,4860,298,0,4562,+117,1.025
05-07-2020,4986,313,0,4673,+126,1.026
05-08-2020,5111,322,0,4789,+125,1.025
05-09-2020,5233,330,0,4903,+122,1.024
05-10-2020,5317,334,0,4983,+84,1.016
05-11-2020,5393,340,0,5053,+76,1.014
05-12-2020,5426,349,0,5077,+33,1.006
05-13-2020,5499,360,0,5139,+73,1.013
05-14-2020,5612,374,0,5238,+113,1.021
05-15-2020,5673,386,0,5287,+61,1.011
05-16-2020,5719,396,0,5323,+46,1.008
05-17-2020,5825,407,0,5418,+106,1.019
05-18-2020,5950,408,0,5542,+125,1.021
05-19-2020,6018,422,0,5596,+68,1.011
05-20-2020,6162,431,0,5731,+144,1.024
05-21-2020,6205,438,0,5767,+43,1.007
05-22-2020,6295,443,0,5852,+90,1.015
05-23-2020,6351,447,0,5904,+56,1.009
05-24-2020,6413,449,0,5964,+62,1.010
05-25-2020,6491,450,0,6041,+78,1.012
05-26-2020,6544,452,0,6092,+53,1.008
05-27-2020,6592,458,0,6134,+48,1.007
05-28-2020,6670,462,0,6208,+78,1.012
05-29-2020,6775,466,0,6309,+105,1.016
05-30-2020,6850,470,0,6380,+75,1.011
05-31-2020,6933,472,0,6461,+83,1.012
06-01-2020,6961,475,0,6486,+28,1.004
06-02-2020,7004,477,0,6527,+43,1.006
06-03-2020,7033,485,0,6548,+29,1.004
