Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,227,0,0,0,+0,0.000
03-23-2020,278,0,0,0,+51,1.225
03-24-2020,338,0,0,0,+60,1.216
03-25-2020,400,0,0,0,+62,1.183
03-26-2020,616,0,0,0,+216,1.540
03-27-2020,763,1,0,0,+147,1.239
03-28-2020,1003,2,0,0,+240,1.315
03-29-2020,1192,3,0,0,+189,1.188
03-30-2020,1632,3,0,0,+440,1.369
03-31-2020,2123,7,0,0,+491,1.301
04-01-2020,2202,7,0,0,+79,1.037
04-02-2020,2886,20,0,0,+684,1.311
04-03-2020,3364,25,0,0,+478,1.166
