Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
04-13-2020,370,8,0,362,+0,0.000
04-14-2020,429,9,0,420,+59,1.159
04-15-2020,472,12,0,460,+43,1.100
04-16-2020,472,12,0,460,+0,1.000
04-17-2020,514,15,0,499,+42,1.089
04-18-2020,550,17,0,533,+36,1.070
04-19-2020,556,17,0,539,+6,1.011
04-20-2020,561,19,0,542,+5,1.009
04-21-2020,615,20,0,595,+54,1.096
04-22-2020,655,25,0,630,+40,1.065
04-23-2020,759,28,0,731,+104,1.159
04-24-2020,973,28,0,945,+214,1.282
04-25-2020,1026,31,0,995,+53,1.054
04-26-2020,1031,32,0,999,+5,1.005
04-27-2020,1048,37,0,1011,+17,1.016
04-28-2020,1074,38,0,1036,+26,1.025
04-29-2020,1264,41,0,1223,+190,1.177
04-30-2020,1453,42,0,1411,+189,1.150
05-01-2020,1560,42,0,1518,+107,1.074
05-02-2020,1825,42,0,1783,+265,1.170
05-03-2020,1844,42,0,1802,+19,1.010
05-04-2020,1870,45,0,1825,+26,1.014
05-05-2020,1898,48,0,1850,+28,1.015
05-06-2020,1936,48,0,1888,+38,1.020
05-07-2020,2036,50,0,1986,+100,1.052
05-08-2020,2124,50,0,2074,+88,1.043
05-09-2020,2136,50,0,2086,+12,1.006
05-10-2020,2138,51,0,2087,+2,1.001
05-11-2020,2139,54,0,2085,+1,1.000
05-12-2020,2144,55,0,2089,+5,1.002
05-13-2020,2145,56,0,2089,+1,1.000
05-14-2020,2171,56,0,2115,+26,1.012
05-15-2020,2227,56,0,2171,+56,1.026
05-16-2020,2227,56,0,2171,+0,1.000
05-17-2020,2538,57,0,2481,+311,1.140
05-18-2020,3051,57,0,2994,+513,1.202
05-19-2020,3122,60,0,3062,+71,1.023
05-20-2020,3195,60,0,3135,+73,1.023
05-21-2020,3257,60,0,3197,+62,1.019
05-22-2020,3275,60,0,3215,+18,1.006
05-23-2020,3289,62,0,3227,+14,1.004
05-24-2020,3303,64,0,3239,+14,1.004
05-25-2020,3303,64,0,3239,+0,1.000
05-26-2020,3305,64,0,3241,+2,1.001
05-27-2020,3548,64,0,3484,+243,1.074
05-28-2020,3604,65,0,3539,+56,1.016
05-29-2020,3749,66,0,3683,+145,1.040
05-30-2020,3914,69,0,3845,+165,1.044
05-31-2020,3933,69,0,3864,+19,1.005
06-01-2020,3933,69,0,3864,+0,1.000
06-02-2020,3965,70,0,3895,+32,1.008
06-03-2020,3970,70,0,3900,+5,1.001
