Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,8,0,0,0,+2,1.333
03-24-2020,8,0,0,0,+0,1.000
03-25-2020,15,0,0,0,+7,1.875
03-26-2020,18,1,0,0,+3,1.200
03-27-2020,25,1,0,0,+7,1.389
03-28-2020,28,1,0,0,+3,1.120
03-29-2020,38,1,0,0,+10,1.357
03-30-2020,50,1,0,0,+12,1.316
03-31-2020,56,1,0,0,+6,1.120
04-01-2020,66,2,0,0,+10,1.179
04-02-2020,74,3,0,0,+8,1.121
04-03-2020,91,2,0,0,+17,1.230
04-04-2020,100,4,0,0,+9,1.099
04-05-2020,110,5,0,0,+10,1.100
04-06-2020,135,7,0,0,+25,1.227
04-07-2020,150,7,0,0,+15,1.111
04-08-2020,150,7,0,0,+0,1.000
04-09-2020,205,14,0,0,+55,1.367
04-10-2020,240,17,0,0,+35,1.171
04-11-2020,290,18,0,0,+50,1.208
04-12-2020,299,18,0,281,+9,1.031
04-13-2020,339,19,0,320,+40,1.134
04-14-2020,355,21,0,334,+16,1.047
04-15-2020,379,28,0,351,+24,1.068
04-16-2020,394,30,0,364,+15,1.040
04-17-2020,422,32,0,390,+28,1.071
04-18-2020,448,37,0,411,+26,1.062
04-19-2020,462,40,0,422,+14,1.031
04-20-2020,484,45,0,439,+22,1.048
04-21-2020,512,47,0,465,+28,1.058
04-22-2020,525,53,0,472,+13,1.025
04-23-2020,545,57,0,488,+20,1.038
04-24-2020,561,63,0,498,+16,1.029
04-25-2020,576,62,0,514,+15,1.027
04-26-2020,588,66,0,522,+12,1.021
04-27-2020,609,69,0,540,+21,1.036
04-28-2020,618,70,0,548,+9,1.015
04-29-2020,631,76,0,555,+13,1.021
04-30-2020,657,79,0,578,+26,1.041
05-01-2020,687,82,0,605,+30,1.046
05-02-2020,707,91,0,616,+20,1.029
05-03-2020,707,91,0,616,+0,1.000
05-04-2020,713,93,0,620,+6,1.008
05-05-2020,734,95,0,639,+21,1.029
05-06-2020,742,98,0,644,+8,1.011
05-07-2020,764,104,0,660,+22,1.030
05-08-2020,775,108,0,667,+11,1.014
05-09-2020,789,114,0,675,+14,1.018
05-10-2020,798,115,0,683,+9,1.011
05-11-2020,801,115,0,686,+3,1.004
05-12-2020,823,116,0,707,+22,1.027
05-13-2020,837,116,0,721,+14,1.017
05-14-2020,863,118,0,745,+26,1.031
05-15-2020,885,124,0,761,+22,1.025
05-16-2020,898,124,0,774,+13,1.015
05-17-2020,909,125,0,784,+11,1.012
05-18-2020,936,131,0,805,+27,1.030
05-19-2020,947,131,0,816,+11,1.012
05-20-2020,965,131,0,834,+18,1.019
05-21-2020,972,131,0,841,+7,1.007
05-22-2020,992,135,0,857,+20,1.021
05-23-2020,999,136,0,863,+7,1.007
05-24-2020,1010,136,0,874,+11,1.011
05-25-2020,1012,138,0,874,+2,1.002
05-26-2020,1026,142,0,884,+14,1.014
05-27-2020,1061,143,0,918,+35,1.034
05-28-2020,1082,144,0,938,+21,1.020
05-29-2020,1090,146,0,944,+8,1.007
05-30-2020,1104,150,0,954,+14,1.013
05-31-2020,1104,152,0,952,+0,1.000
06-01-2020,1143,153,0,990,+39,1.035
06-02-2020,1154,150,0,1004,+11,1.010
06-03-2020,1161,152,0,1009,+7,1.006
