Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,199,1,0,0,+0,0.000
03-23-2020,232,1,0,0,+33,1.166
03-24-2020,304,1,0,0,+72,1.310
03-25-2020,446,1,0,0,+142,1.467
03-26-2020,538,4,0,0,+92,1.206
03-27-2020,685,5,0,0,+147,1.273
03-28-2020,842,5,0,0,+157,1.229
03-29-2020,981,6,0,0,+139,1.165
03-30-2020,1141,8,0,0,+160,1.163
03-31-2020,1340,17,0,0,+199,1.174
04-01-2020,1582,20,0,0,+242,1.181
04-02-2020,1870,28,0,0,+288,1.182
04-03-2020,2202,38,0,0,+332,1.178
04-04-2020,2468,38,0,0,+266,1.121
04-05-2020,2632,41,0,0,+164,1.066
04-06-2020,2950,47,0,0,+318,1.121
04-07-2020,3187,68,0,0,+237,1.080
04-08-2020,3545,80,0,0,+358,1.112
04-09-2020,4045,80,0,0,+500,1.141
04-10-2020,4447,80,0,0,+402,1.099
04-11-2020,4872,137,0,0,+425,1.096
04-12-2020,5660,149,0,5511,+788,1.162
04-13-2020,5983,149,0,5834,+323,1.057
04-14-2020,6254,149,0,6105,+271,1.045
04-15-2020,6681,221,0,6460,+427,1.068
04-16-2020,7206,221,0,6985,+525,1.079
04-17-2020,7744,258,0,7486,+538,1.075
04-18-2020,8297,294,0,8003,+553,1.071
04-19-2020,8737,372,0,8365,+440,1.053
04-20-2020,8737,372,0,8365,+0,1.000
04-21-2020,9621,428,0,9193,+884,1.101
