Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,147,0,0,0,+0,0.000
03-23-2020,210,0,0,0,+63,1.429
03-24-2020,277,0,0,0,+67,1.319
03-25-2020,316,0,0,0,+39,1.141
03-26-2020,505,0,0,0,+189,1.598
03-27-2020,640,0,0,0,+135,1.267
03-28-2020,808,4,0,0,+168,1.262
03-29-2020,938,12,0,0,+130,1.161
03-30-2020,1123,12,0,0,+185,1.197
03-31-2020,1277,0,0,0,+154,1.137
04-01-2020,1493,27,0,0,+216,1.169
04-02-2020,1766,48,0,0,+273,1.183
04-03-2020,2125,56,0,0,+359,1.203
04-04-2020,2578,76,0,0,+453,1.213
04-05-2020,2950,80,0,0,+372,1.144
04-06-2020,3263,87,0,0,+313,1.106
04-07-2020,3717,100,0,0,+454,1.139
04-08-2020,4156,139,0,0,+439,1.118
04-09-2020,4628,152,0,0,+472,1.114
04-10-2020,5060,168,0,0,+432,1.093
04-11-2020,5406,177,0,0,+346,1.068
04-12-2020,5693,193,0,5500,+287,1.053
04-13-2020,5987,204,0,5783,+294,1.052
04-14-2020,6313,216,0,6097,+326,1.054
04-15-2020,6576,248,0,6328,+263,1.042
04-16-2020,6994,278,0,6716,+418,1.064
04-17-2020,7308,309,0,6999,+314,1.045
04-18-2020,7624,313,0,7311,+316,1.043
04-19-2020,8017,329,0,7688,+393,1.052
04-20-2020,8346,345,0,8001,+329,1.041
04-21-2020,8346,345,0,8001,+0,1.000
04-22-2020,9047,369,0,8678,+701,1.084
04-23-2020,9530,396,0,9134,+483,1.053
04-24-2020,9789,413,0,9376,+259,1.027
04-25-2020,10075,431,0,9644,+286,1.029
04-26-2020,10642,442,0,10200,+567,1.056
04-27-2020,10767,455,0,10312,+125,1.012
04-28-2020,11102,515,0,10587,+335,1.031
04-29-2020,11436,531,0,10905,+334,1.030
04-30-2020,11715,571,0,11144,+279,1.024
05-01-2020,11947,591,0,11356,+232,1.020
05-02-2020,12213,618,0,11595,+266,1.022
05-03-2020,12597,639,0,11958,+384,1.031
05-04-2020,12768,642,0,12126,+171,1.014
05-05-2020,13142,667,0,12475,+374,1.029
05-06-2020,13254,706,0,12548,+112,1.009
05-07-2020,13411,737,0,12674,+157,1.012
05-08-2020,13617,748,0,12869,+206,1.015
05-09-2020,13759,759,0,13000,+142,1.010
05-10-2020,13937,793,0,13144,+178,1.013
05-11-2020,14036,794,0,13242,+99,1.007
05-12-2020,14121,801,0,13320,+85,1.006
05-13-2020,14241,819,0,13422,+120,1.008
05-14-2020,14332,841,0,13491,+91,1.006
05-15-2020,14429,865,0,13564,+97,1.007
05-16-2020,14514,872,0,13642,+85,1.006
05-17-2020,14668,884,0,13784,+154,1.011
05-18-2020,14752,888,0,13864,+84,1.006
05-19-2020,14834,903,0,13931,+82,1.006
05-20-2020,14954,913,0,14041,+120,1.008
05-21-2020,15057,921,0,14136,+103,1.007
05-22-2020,15165,935,0,14230,+108,1.007
05-23-2020,15215,942,0,14273,+50,1.003
05-24-2020,15351,955,0,14396,+136,1.009
05-25-2020,15437,955,0,14482,+86,1.006
05-26-2020,15499,959,0,14540,+62,1.004
05-27-2020,15547,964,0,14583,+48,1.003
05-28-2020,15633,968,0,14665,+86,1.006
05-29-2020,15734,972,0,14762,+101,1.006
05-30-2020,15824,989,0,14835,+90,1.006
05-31-2020,15921,994,0,14927,+97,1.006
06-01-2020,15977,996,0,14981,+56,1.004
06-02-2020,16021,997,0,15024,+44,1.003
06-03-2020,16066,1004,0,15062,+45,1.003
