Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,182,2,0,0,+0,0.000
03-23-2020,204,3,0,0,+22,1.121
03-24-2020,243,3,0,0,+39,1.191
03-25-2020,325,4,0,0,+82,1.337
03-26-2020,347,7,0,0,+22,1.068
03-27-2020,411,8,0,0,+64,1.184
03-28-2020,541,9,0,0,+130,1.316
03-29-2020,606,10,0,0,+65,1.120
03-30-2020,617,10,0,0,+11,1.018
03-31-2020,710,11,0,0,+93,1.151
04-01-2020,780,12,0,0,+70,1.099
04-02-2020,869,16,0,0,+89,1.114
04-03-2020,1023,24,0,0,+154,1.177
04-04-2020,1023,24,0,0,+0,1.000
04-05-2020,1190,39,0,0,+167,1.163
04-06-2020,1256,40,0,0,+66,1.055
04-07-2020,1323,49,0,0,+67,1.053
04-08-2020,1416,56,0,0,+93,1.070
04-09-2020,1484,65,0,0,+68,1.048
04-10-2020,1575,77,0,0,+91,1.061
04-11-2020,1653,85,0,0,+78,1.050
04-12-2020,1710,88,0,1622,+57,1.034
04-13-2020,1743,94,0,1649,+33,1.019
04-14-2020,1795,101,0,1694,+52,1.030
04-15-2020,1870,105,0,1765,+75,1.042
04-16-2020,1947,114,0,1833,+77,1.041
04-17-2020,2013,120,0,1893,+66,1.034
04-18-2020,2065,122,0,1943,+52,1.026
04-19-2020,2150,125,0,2025,+85,1.041
04-20-2020,2191,132,0,2059,+41,1.019
04-21-2020,2234,139,0,2095,+43,1.020
04-22-2020,2304,142,0,2162,+70,1.031
04-23-2020,2382,150,0,2232,+78,1.034
04-24-2020,2431,154,0,2277,+49,1.021
04-25-2020,2525,157,0,2368,+94,1.039
04-26-2020,2629,162,0,2467,+104,1.041
04-27-2020,2674,167,0,2507,+45,1.017
04-28-2020,2722,174,0,2548,+48,1.018
04-29-2020,2815,177,0,2638,+93,1.034
04-30-2020,2940,181,0,2759,+125,1.044
05-01-2020,3044,186,0,2858,+104,1.035
05-02-2020,3147,191,0,2956,+103,1.034
05-03-2020,3244,195,0,3049,+97,1.031
05-04-2020,3296,195,0,3101,+52,1.016
05-05-2020,3353,201,0,3152,+57,1.017
05-06-2020,3469,204,0,3265,+116,1.035
05-07-2020,3573,212,0,3361,+104,1.030
05-08-2020,3722,219,0,3503,+149,1.042
05-09-2020,3854,224,0,3630,+132,1.035
05-10-2020,3952,225,0,3727,+98,1.025
05-11-2020,4022,231,0,3791,+70,1.018
05-12-2020,4069,235,0,3834,+47,1.012
05-13-2020,4215,236,0,3979,+146,1.036
05-14-2020,4387,242,0,4145,+172,1.041
05-15-2020,4535,249,0,4286,+148,1.034
05-16-2020,4759,252,0,4507,+224,1.049
05-17-2020,4945,252,0,4693,+186,1.039
05-18-2020,5005,256,0,4749,+60,1.012
05-19-2020,5076,260,0,4816,+71,1.014
05-20-2020,5373,265,0,5108,+297,1.059
05-21-2020,5556,269,0,5287,+183,1.034
05-22-2020,5735,270,0,5465,+179,1.032
05-23-2020,5987,276,0,5711,+252,1.044
05-24-2020,6185,276,0,5909,+198,1.033
05-25-2020,6352,276,0,6076,+167,1.027
05-26-2020,6517,277,0,6240,+165,1.026
05-27-2020,6748,282,0,6466,+231,1.035
05-28-2020,6952,285,0,6667,+204,1.030
05-29-2020,7429,294,0,7135,+477,1.069
05-30-2020,7656,299,0,7357,+227,1.031
05-31-2020,7750,299,0,7451,+94,1.012
06-01-2020,7799,299,0,7500,+49,1.006
06-02-2020,8004,309,0,7695,+205,1.026
06-03-2020,8108,315,0,7793,+104,1.013
