Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+0,1.000
03-24-2020,5,0,0,0,+0,1.000
03-25-2020,13,0,0,0,+8,2.600
03-26-2020,16,0,0,0,+3,1.231
03-27-2020,18,0,0,0,+2,1.125
03-28-2020,21,0,0,0,+3,1.167
03-29-2020,25,0,0,0,+4,1.190
03-30-2020,28,0,0,0,+3,1.120
03-31-2020,31,0,0,0,+3,1.107
04-01-2020,40,0,0,0,+9,1.290
04-02-2020,54,0,0,0,+14,1.350
04-03-2020,68,0,0,0,+14,1.259
04-04-2020,81,0,0,0,+13,1.191
04-05-2020,104,0,0,0,+23,1.284
04-06-2020,140,1,0,0,+36,1.346
04-07-2020,165,2,0,0,+25,1.179
04-08-2020,228,2,0,0,+63,1.382
04-09-2020,274,2,0,0,+46,1.202
04-10-2020,352,2,0,0,+78,1.285
04-11-2020,438,2,0,0,+86,1.244
04-12-2020,527,2,0,525,+89,1.203
04-13-2020,654,2,0,652,+127,1.241
04-14-2020,768,2,0,766,+114,1.174
04-15-2020,934,2,0,932,+166,1.216
04-16-2020,1065,3,0,1062,+131,1.140
04-17-2020,1157,3,0,1154,+92,1.086
04-18-2020,1276,3,0,1273,+119,1.103
04-19-2020,1362,3,0,1359,+86,1.067
04-20-2020,1405,3,0,1402,+43,1.032
04-21-2020,1469,4,0,1465,+64,1.046
04-22-2020,1555,5,0,1550,+86,1.059
04-23-2020,1636,5,0,1631,+81,1.052
04-24-2020,1707,5,0,1702,+71,1.043
04-25-2020,1796,5,0,1791,+89,1.052
04-26-2020,1854,6,0,1848,+58,1.032
04-27-2020,1880,6,0,1874,+26,1.014
04-28-2020,1939,6,0,1933,+59,1.031
04-29-2020,1984,8,0,1976,+45,1.023
04-30-2020,2038,8,0,2030,+54,1.027
05-01-2020,2089,16,0,2073,+51,1.025
05-02-2020,2123,16,0,2107,+34,1.016
05-03-2020,2142,16,0,2126,+19,1.009
05-04-2020,2170,16,0,2154,+28,1.013
05-05-2020,2195,19,0,2176,+25,1.012
05-06-2020,2231,19,0,2212,+36,1.016
05-07-2020,2332,26,0,2306,+101,1.045
05-08-2020,2535,26,0,2509,+203,1.087
05-09-2020,2767,29,0,2738,+232,1.092
05-10-2020,2867,29,0,2838,+100,1.036
05-11-2020,2952,29,0,2923,+85,1.030
05-12-2020,2978,29,0,2949,+26,1.009
05-13-2020,3017,29,0,2988,+39,1.013
05-14-2020,3050,38,0,3012,+33,1.011
05-15-2020,3101,39,0,3062,+51,1.017
05-16-2020,3119,39,0,3080,+18,1.006
05-17-2020,3135,39,0,3096,+16,1.005
05-18-2020,3150,39,0,3111,+15,1.005
05-19-2020,3165,40,0,3125,+15,1.005
05-20-2020,3182,40,0,3142,+17,1.005
05-21-2020,3182,41,0,3141,+0,1.000
05-22-2020,3211,43,0,3168,+29,1.009
05-23-2020,3248,43,0,3205,+37,1.012
05-24-2020,3260,43,0,3217,+12,1.004
05-25-2020,3274,43,0,3231,+14,1.004
05-26-2020,3289,43,0,3246,+15,1.005
05-27-2020,3300,45,0,3255,+11,1.003
05-28-2020,3317,45,0,3272,+17,1.005
05-29-2020,3330,49,0,3281,+13,1.004
05-30-2020,3345,49,0,3296,+15,1.005
05-31-2020,3349,49,0,3300,+4,1.001
06-01-2020,3355,49,0,3306,+6,1.002
06-02-2020,3362,49,0,3313,+7,1.002
06-03-2020,3377,49,0,3328,+15,1.004
