Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+0,1.000
03-24-2020,6,0,0,0,+4,3.000
03-25-2020,10,0,0,0,+4,1.667
03-26-2020,18,0,0,0,+8,1.800
03-27-2020,23,1,0,0,+5,1.278
03-28-2020,29,1,0,0,+6,1.261
03-29-2020,40,1,0,0,+11,1.379
03-30-2020,44,1,0,0,+4,1.100
03-31-2020,52,1,0,0,+8,1.182
04-01-2020,56,3,0,0,+4,1.077
04-02-2020,67,3,0,0,+11,1.196
04-03-2020,103,5,0,0,+36,1.537
04-04-2020,114,5,0,0,+11,1.107
04-05-2020,125,6,0,0,+11,1.096
04-06-2020,143,6,0,0,+18,1.144
04-07-2020,201,8,0,0,+58,1.406
04-08-2020,249,8,0,0,+48,1.239
04-09-2020,309,9,0,0,+60,1.241
04-10-2020,358,11,0,0,+49,1.159
04-11-2020,408,15,0,0,+50,1.140
04-12-2020,454,15,0,439,+46,1.113
04-13-2020,468,17,0,451,+14,1.031
04-14-2020,509,17,0,492,+41,1.088
04-15-2020,548,17,0,531,+39,1.077
04-16-2020,577,22,0,555,+29,1.053
04-17-2020,621,24,0,597,+44,1.076
04-18-2020,637,25,0,612,+16,1.026
04-19-2020,661,28,0,633,+24,1.038
04-20-2020,680,33,0,647,+19,1.029
04-21-2020,714,37,0,677,+34,1.050
04-22-2020,756,39,0,717,+42,1.059
04-23-2020,810,39,0,771,+54,1.071
04-24-2020,845,40,0,805,+35,1.043
04-25-2020,845,40,0,805,+0,1.000
04-26-2020,917,41,0,876,+72,1.085
04-27-2020,942,43,0,899,+25,1.027
04-28-2020,994,46,0,948,+52,1.055
04-29-2020,1033,51,0,982,+39,1.039
04-30-2020,1058,55,0,1003,+25,1.024
05-01-2020,1099,61,0,1038,+41,1.039
05-02-2020,1172,61,0,1111,+73,1.066
05-03-2020,1198,62,0,1136,+26,1.022
05-04-2020,1222,66,0,1156,+24,1.020
05-05-2020,1265,71,0,1194,+43,1.035
05-06-2020,1311,76,0,1235,+46,1.036
05-07-2020,1355,78,0,1277,+44,1.034
05-08-2020,1407,81,0,1326,+52,1.038
05-09-2020,1452,83,0,1369,+45,1.032
05-10-2020,1461,85,0,1376,+9,1.006
05-11-2020,1474,90,0,1384,+13,1.009
05-12-2020,1507,95,0,1412,+33,1.022
05-13-2020,1545,96,0,1449,+38,1.025
05-14-2020,1608,98,0,1510,+63,1.041
05-15-2020,1653,100,0,1553,+45,1.028
05-16-2020,1681,100,0,1581,+28,1.017
05-17-2020,1701,101,0,1600,+20,1.012
05-18-2020,1735,101,0,1634,+34,1.020
05-19-2020,1751,103,0,1648,+16,1.009
05-20-2020,1822,106,0,1716,+71,1.041
05-21-2020,1870,107,0,1763,+48,1.026
05-22-2020,1916,107,0,1809,+46,1.025
05-23-2020,1973,109,0,1864,+57,1.030
05-24-2020,1996,109,0,1887,+23,1.012
05-25-2020,2033,111,0,1922,+37,1.019
05-26-2020,2054,112,0,1942,+21,1.010
05-27-2020,2085,112,0,1973,+31,1.015
05-28-2020,2124,112,0,2012,+39,1.019
05-29-2020,2162,114,0,2048,+38,1.018
05-30-2020,2191,115,0,2076,+29,1.013
05-31-2020,2239,116,0,2123,+48,1.022
06-01-2020,2271,118,0,2153,+32,1.014
06-02-2020,2283,118,0,2165,+12,1.005
06-03-2020,2284,118,0,2166,+1,1.000
