Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,158,3,0,0,+0,0.000
03-23-2020,238,3,0,0,+80,1.506
03-24-2020,288,3,0,0,+50,1.210
03-25-2020,313,3,0,0,+25,1.087
03-26-2020,501,3,0,0,+188,1.601
03-27-2020,634,3,0,0,+133,1.265
03-28-2020,781,6,0,0,+147,1.232
03-29-2020,870,8,0,0,+89,1.114
03-30-2020,1030,8,0,0,+160,1.184
03-31-2020,1140,2,0,0,+110,1.107
04-01-2020,1301,24,0,0,+161,1.141
04-02-2020,1458,38,0,0,+157,1.121
04-03-2020,1743,48,0,0,+285,1.195
04-04-2020,2065,54,0,0,+322,1.185
04-05-2020,2354,58,0,0,+289,1.140
04-06-2020,2545,62,0,0,+191,1.081
04-07-2020,2770,71,0,0,+225,1.088
04-08-2020,3038,86,0,0,+268,1.097
04-09-2020,3248,98,0,0,+210,1.069
04-10-2020,3496,107,0,0,+248,1.076
04-11-2020,3651,115,0,0,+155,1.044
04-12-2020,3785,123,0,3662,+134,1.037
04-13-2020,3875,127,0,3748,+90,1.024
04-14-2020,4003,145,0,3858,+128,1.033
04-15-2020,4122,167,0,3955,+119,1.030
04-16-2020,4299,190,0,4109,+177,1.043
04-17-2020,4414,206,0,4208,+115,1.027
04-18-2020,4528,221,0,4307,+114,1.026
04-19-2020,4669,226,0,4443,+141,1.031
04-20-2020,4787,230,0,4557,+118,1.025
04-21-2020,4787,230,0,4557,+0,1.000
04-22-2020,5086,251,0,4835,+299,1.062
04-23-2020,5238,260,0,4978,+152,1.030
04-24-2020,5368,273,0,5095,+130,1.025
04-25-2020,5521,287,0,5234,+153,1.029
04-26-2020,5671,291,0,5380,+150,1.027
04-27-2020,5759,302,0,5457,+88,1.016
04-28-2020,5826,305,0,5521,+67,1.012
04-29-2020,5907,317,0,5590,+81,1.014
04-30-2020,6033,341,0,5692,+126,1.021
05-01-2020,6132,355,0,5777,+99,1.016
05-02-2020,6198,372,0,5826,+66,1.011
05-03-2020,6290,382,0,5908,+92,1.015
05-04-2020,6378,385,0,5993,+88,1.014
05-05-2020,6490,398,0,6092,+112,1.018
05-06-2020,6552,417,0,6135,+62,1.010
05-07-2020,6649,428,0,6221,+97,1.015
05-08-2020,6752,429,0,6323,+103,1.015
05-09-2020,6815,439,0,6376,+63,1.009
05-10-2020,6894,443,0,6451,+79,1.012
05-11-2020,6988,445,0,6543,+94,1.014
05-12-2020,7041,460,0,6581,+53,1.008
05-13-2020,7090,466,0,6624,+49,1.007
05-14-2020,7164,480,0,6684,+74,1.010
05-15-2020,7224,495,0,6729,+60,1.008
05-16-2020,7297,503,0,6794,+73,1.010
05-17-2020,7339,508,0,6831,+42,1.006
05-18-2020,7408,513,0,6895,+69,1.009
05-19-2020,7470,520,0,6950,+62,1.008
05-20-2020,7541,531,0,7010,+71,1.010
05-21-2020,7637,537,0,7100,+96,1.013
05-22-2020,7695,543,0,7152,+58,1.008
05-23-2020,7720,551,0,7169,+25,1.003
05-24-2020,7800,556,0,7244,+80,1.010
05-25-2020,7865,556,0,7309,+65,1.008
05-26-2020,7911,559,0,7352,+46,1.006
05-27-2020,7961,575,0,7386,+50,1.006
05-28-2020,8012,578,0,7434,+51,1.006
05-29-2020,8100,587,0,7513,+88,1.011
05-30-2020,8159,596,0,7563,+59,1.007
05-31-2020,8219,597,0,7622,+60,1.007
06-01-2020,8249,599,0,7650,+30,1.004
06-02-2020,8289,608,0,7681,+40,1.005
06-03-2020,8332,619,0,7713,+43,1.005
