Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,68,1,0,0,+0,0.000
03-23-2020,81,2,0,0,+13,1.191
03-24-2020,106,3,0,0,+25,1.309
03-25-2020,118,3,0,0,+12,1.113
03-26-2020,148,4,0,0,+30,1.254
03-27-2020,166,4,0,0,+18,1.122
03-28-2020,202,5,0,0,+36,1.217
03-29-2020,219,5,0,0,+17,1.084
03-30-2020,246,6,0,0,+27,1.123
03-31-2020,257,8,0,0,+11,1.045
04-01-2020,349,9,0,0,+92,1.358
04-02-2020,420,9,0,0,+71,1.203
04-03-2020,464,10,0,0,+44,1.105
04-04-2020,512,14,0,0,+48,1.103
04-05-2020,548,19,0,0,+36,1.070
04-06-2020,574,26,0,0,+26,1.047
04-07-2020,596,31,0,0,+22,1.038
04-08-2020,651,34,0,0,+55,1.092
04-09-2020,698,40,0,0,+47,1.072
04-10-2020,742,40,0,0,+44,1.063
04-11-2020,767,40,0,0,+25,1.034
04-12-2020,798,40,0,758,+31,1.040
04-13-2020,823,50,0,773,+25,1.031
04-14-2020,850,56,0,794,+27,1.033
04-15-2020,884,56,0,828,+34,1.040
04-16-2020,932,62,0,870,+48,1.054
04-17-2020,975,62,0,913,+43,1.046
04-18-2020,1008,62,0,946,+33,1.034
04-19-2020,1032,68,0,964,+24,1.024
04-20-2020,1054,71,0,983,+22,1.021
04-21-2020,1070,81,0,989,+16,1.015
