Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,31,0,0,0,+0,0.000
03-23-2020,43,1,0,0,+12,1.387
03-24-2020,45,1,0,0,+2,1.047
03-25-2020,51,1,0,0,+6,1.133
03-26-2020,67,2,0,0,+16,1.314
03-27-2020,98,2,0,0,+31,1.463
03-28-2020,106,2,0,0,+8,1.082
03-29-2020,135,3,0,0,+29,1.274
03-30-2020,182,7,0,0,+47,1.348
03-31-2020,236,7,0,0,+54,1.297
04-01-2020,278,8,0,0,+42,1.178
04-02-2020,321,10,0,0,+43,1.155
04-03-2020,397,10,0,0,+76,1.237
04-04-2020,484,11,0,0,+87,1.219
04-05-2020,528,11,0,0,+44,1.091
04-06-2020,572,11,0,0,+44,1.083
04-07-2020,610,12,0,0,+38,1.066
04-08-2020,671,17,0,0,+61,1.100
04-09-2020,716,19,0,0,+45,1.067
04-10-2020,752,19,0,0,+36,1.050
04-11-2020,774,22,0,0,+22,1.029
04-12-2020,795,23,0,772,+21,1.027
04-13-2020,816,24,0,792,+21,1.026
04-14-2020,847,27,0,820,+31,1.038
04-15-2020,872,28,0,844,+25,1.030
04-16-2020,898,29,0,869,+26,1.030
04-17-2020,929,29,0,900,+31,1.035
04-18-2020,943,34,0,909,+14,1.015
04-19-2020,963,38,0,925,+20,1.021
04-20-2020,970,39,0,931,+7,1.007
04-21-2020,995,46,0,949,+25,1.026
04-22-2020,1015,48,0,967,+20,1.020
04-23-2020,1024,48,0,976,+9,1.009
04-24-2020,1037,48,0,989,+13,1.013
04-25-2020,1054,44,0,1010,+17,1.016
04-26-2020,1065,45,0,1020,+11,1.010
04-27-2020,1083,46,0,1037,+18,1.017
04-28-2020,1097,48,0,1049,+14,1.013
04-29-2020,1111,54,0,1057,+14,1.013
04-30-2020,1127,54,0,1073,+16,1.014
05-01-2020,1147,54,0,1093,+20,1.018
05-02-2020,1165,55,0,1110,+18,1.016
05-03-2020,1172,55,0,1117,+7,1.006
05-04-2020,1173,55,0,1118,+1,1.001
05-05-2020,1186,60,0,1126,+13,1.011
05-06-2020,1190,60,0,1130,+4,1.003
05-07-2020,1194,63,0,1131,+4,1.003
05-08-2020,1198,63,0,1135,+4,1.003
05-09-2020,1206,63,0,1143,+8,1.007
05-10-2020,1218,64,0,1154,+12,1.010
05-11-2020,1224,64,0,1160,+6,1.005
05-12-2020,1229,64,0,1165,+5,1.004
05-13-2020,1228,65,0,1163,+-1,0.999
05-14-2020,1240,69,0,1171,+12,1.010
05-15-2020,1242,70,0,1172,+2,1.002
05-16-2020,1248,70,0,1178,+6,1.005
05-17-2020,1254,70,0,1184,+6,1.005
05-18-2020,1259,88,0,1171,+5,1.004
05-19-2020,1267,89,0,1178,+8,1.006
05-20-2020,1278,93,0,1185,+11,1.009
05-21-2020,1291,95,0,1196,+13,1.010
05-22-2020,1295,97,0,1198,+4,1.003
05-23-2020,1302,99,0,1203,+7,1.005
05-24-2020,1304,99,0,1205,+2,1.002
05-25-2020,1305,99,0,1206,+1,1.001
05-26-2020,1305,99,0,1206,+0,1.000
05-27-2020,1310,100,0,1210,+5,1.004
05-28-2020,1311,101,0,1210,+1,1.001
05-29-2020,1315,101,0,1214,+4,1.003
05-30-2020,1318,101,0,1217,+3,1.002
05-31-2020,1319,101,0,1218,+1,1.001
06-01-2020,1320,101,0,1219,+1,1.001
06-02-2020,1325,101,0,1224,+5,1.004
06-03-2020,1326,102,0,1224,+1,1.001
