Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+1,1.333
03-24-2020,9,0,0,0,+5,2.250
03-25-2020,13,0,0,0,+4,1.444
03-26-2020,17,0,0,0,+4,1.308
03-27-2020,18,0,0,0,+1,1.059
03-28-2020,18,0,0,0,+0,1.000
03-29-2020,21,0,0,0,+3,1.167
03-30-2020,22,0,0,0,+1,1.048
03-31-2020,29,1,0,0,+7,1.318
04-01-2020,35,1,0,0,+6,1.207
04-02-2020,45,1,0,0,+10,1.286
04-03-2020,59,1,0,0,+14,1.311
04-04-2020,62,1,0,0,+3,1.051
04-05-2020,67,1,0,0,+5,1.081
04-06-2020,71,1,0,0,+4,1.060
04-07-2020,74,1,0,0,+3,1.042
04-08-2020,77,2,0,0,+3,1.041
04-09-2020,88,2,0,0,+11,1.143
04-10-2020,92,4,0,0,+4,1.045
04-11-2020,102,4,0,0,+10,1.109
04-12-2020,119,4,0,115,+17,1.167
04-13-2020,135,5,0,130,+16,1.134
04-14-2020,161,5,0,156,+26,1.193
04-15-2020,174,5,0,169,+13,1.081
04-16-2020,197,5,0,192,+23,1.132
04-17-2020,207,5,0,202,+10,1.051
04-18-2020,215,5,0,210,+8,1.039
04-19-2020,226,3,0,223,+11,1.051
04-20-2020,231,3,0,228,+5,1.022
04-21-2020,245,3,0,242,+14,1.061
04-22-2020,253,3,0,250,+8,1.033
04-23-2020,263,3,0,260,+10,1.040
04-24-2020,274,4,0,270,+11,1.042
04-25-2020,274,4,0,270,+0,1.000
04-26-2020,289,4,0,285,+15,1.055
04-27-2020,292,5,0,287,+3,1.010
04-28-2020,302,5,0,297,+10,1.034
04-29-2020,316,6,0,310,+14,1.046
04-30-2020,337,6,0,331,+21,1.066
05-01-2020,355,6,0,349,+18,1.053
05-02-2020,379,6,0,373,+24,1.068
05-03-2020,409,7,0,402,+30,1.079
05-04-2020,438,8,0,430,+29,1.071
05-05-2020,456,8,0,448,+18,1.041
05-06-2020,477,12,0,465,+21,1.046
05-07-2020,515,13,0,502,+38,1.080
05-08-2020,533,15,0,518,+18,1.035
05-09-2020,576,15,0,561,+43,1.081
05-10-2020,608,15,0,593,+32,1.056
05-11-2020,642,15,0,627,+34,1.056
05-12-2020,684,18,0,666,+42,1.065
05-13-2020,705,19,0,686,+21,1.031
05-14-2020,753,20,0,733,+48,1.068
05-15-2020,787,20,0,767,+34,1.045
05-16-2020,816,20,0,796,+29,1.037
05-17-2020,823,20,0,803,+7,1.009
05-18-2020,863,20,0,843,+40,1.049
05-19-2020,907,24,0,883,+44,1.051
05-20-2020,994,27,0,967,+87,1.096
05-21-2020,1028,28,0,1000,+34,1.034
05-22-2020,1096,29,0,1067,+68,1.066
05-23-2020,1141,30,0,1111,+45,1.041
05-24-2020,1186,30,0,1156,+45,1.039
05-25-2020,1274,33,0,1241,+88,1.074
05-26-2020,1384,34,0,1350,+110,1.086
05-27-2020,1446,34,0,1412,+62,1.045
05-28-2020,1541,34,0,1507,+95,1.066
05-29-2020,1590,38,0,1552,+49,1.032
05-30-2020,1632,38,0,1594,+42,1.026
05-31-2020,1710,40,0,1670,+78,1.048
06-01-2020,1758,43,0,1715,+48,1.028
06-02-2020,1802,43,0,1759,+44,1.025
06-03-2020,1823,43,0,1780,+21,1.012
