Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,83,1,0,0,+0,0.000
03-23-2020,94,1,0,0,+11,1.133
03-24-2020,107,1,0,0,+13,1.138
03-25-2020,127,1,0,0,+20,1.187
03-26-2020,164,1,0,0,+37,1.291
03-27-2020,208,1,0,0,+44,1.268
03-28-2020,255,1,0,0,+47,1.226
03-29-2020,301,1,0,0,+46,1.180
03-30-2020,341,1,0,0,+40,1.133
03-31-2020,388,1,0,0,+47,1.138
04-01-2020,447,1,0,0,+59,1.152
04-02-2020,498,6,0,0,+51,1.114
04-03-2020,566,9,0,0,+68,1.137
04-04-2020,640,9,0,0,+74,1.131
04-05-2020,693,13,0,0,+53,1.083
04-06-2020,793,19,0,0,+100,1.144
04-07-2020,871,21,0,0,+78,1.098
04-08-2020,1088,26,0,0,+217,1.249
04-09-2020,1214,30,0,0,+126,1.116
04-10-2020,1388,34,0,0,+174,1.143
04-11-2020,1537,36,0,0,+149,1.107
04-12-2020,1631,42,0,1589,+94,1.061
04-13-2020,1756,48,0,1708,+125,1.077
04-14-2020,1883,54,0,1829,+127,1.072
04-15-2020,1933,54,0,1879,+50,1.027
04-16-2020,2133,56,0,2077,+200,1.103
04-17-2020,2280,63,0,2217,+147,1.069
04-18-2020,2404,86,0,2318,+124,1.054
04-19-2020,2507,96,0,2411,+103,1.043
04-20-2020,2647,106,0,2541,+140,1.056
04-21-2020,2768,116,0,2652,+121,1.046
04-22-2020,2868,126,0,2742,+100,1.036
04-23-2020,3060,139,0,2921,+192,1.067
04-24-2020,3227,154,0,3073,+167,1.055
04-25-2020,3483,171,0,3312,+256,1.079
04-26-2020,3645,180,0,3465,+162,1.047
04-27-2020,3843,210,0,3633,+198,1.054
04-28-2020,4003,221,0,3782,+160,1.042
04-29-2020,4152,242,0,3910,+149,1.037
04-30-2020,4300,255,0,4045,+148,1.036
05-01-2020,4754,262,0,4492,+454,1.106
05-02-2020,4919,282,0,4637,+165,1.035
05-03-2020,5150,295,0,4855,+231,1.047
05-04-2020,5384,301,0,5083,+234,1.045
05-05-2020,5541,320,0,5221,+157,1.029
05-06-2020,5790,333,0,5457,+249,1.045
05-07-2020,6032,345,0,5687,+242,1.042
05-08-2020,6316,355,0,5961,+284,1.047
05-09-2020,6555,369,0,6186,+239,1.038
05-10-2020,6762,382,0,6380,+207,1.032
05-11-2020,6909,388,0,6521,+147,1.022
05-12-2020,7130,407,0,6723,+221,1.032
05-13-2020,7283,422,0,6861,+153,1.021
05-14-2020,7548,437,0,7111,+265,1.036
05-15-2020,7759,449,0,7310,+211,1.028
05-16-2020,7988,461,0,7527,+229,1.030
05-17-2020,8206,475,0,7731,+218,1.027
05-18-2020,8417,480,0,7937,+211,1.026
05-19-2020,8950,503,0,8447,+533,1.063
05-20-2020,9052,515,0,8537,+102,1.011
05-21-2020,9260,528,0,8732,+208,1.023
05-22-2020,9432,540,0,8892,+172,1.019
05-23-2020,9699,550,0,9149,+267,1.028
05-24-2020,9922,558,0,9364,+223,1.023
05-25-2020,10111,562,0,9549,+189,1.019
05-26-2020,10291,567,0,9724,+180,1.018
05-27-2020,10467,572,0,9895,+176,1.017
05-28-2020,10752,581,0,10171,+285,1.027
05-29-2020,11035,595,0,10440,+283,1.026
05-30-2020,11251,605,0,10646,+216,1.020
05-31-2020,11361,612,0,10749,+110,1.010
06-01-2020,11476,616,0,10860,+115,1.010
06-02-2020,11731,624,0,11107,+255,1.022
06-03-2020,11924,633,0,11291,+193,1.016
