Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,110,1,0,0,+0,0.000
03-23-2020,136,1,0,0,+26,1.236
03-24-2020,159,1,0,0,+23,1.169
03-25-2020,219,2,0,0,+60,1.377
03-26-2020,313,3,0,0,+94,1.429
03-27-2020,374,3,0,0,+61,1.195
03-28-2020,411,5,0,0,+37,1.099
03-29-2020,488,5,0,0,+77,1.187
03-30-2020,540,5,0,0,+52,1.107
03-31-2020,570,6,0,0,+30,1.056
04-01-2020,649,8,0,0,+79,1.139
04-02-2020,735,9,0,0,+86,1.133
04-03-2020,875,11,0,0,+140,1.190
04-04-2020,982,17,0,0,+107,1.122
04-05-2020,1111,18,0,0,+129,1.131
04-06-2020,1230,18,0,0,+119,1.107
04-07-2020,1359,30,0,0,+129,1.105
04-08-2020,1521,37,0,0,+162,1.119
04-09-2020,1693,37,0,0,+172,1.113
04-10-2020,1889,50,0,0,+196,1.116
04-11-2020,2053,60,0,0,+164,1.087
04-12-2020,2164,63,0,2101,+111,1.054
04-13-2020,2285,65,0,2220,+121,1.056
04-14-2020,2354,76,0,2278,+69,1.030
04-15-2020,2475,82,0,2393,+121,1.051
04-16-2020,2544,89,0,2455,+69,1.028
04-17-2020,2684,97,0,2587,+140,1.055
04-18-2020,2781,106,0,2675,+97,1.036
04-19-2020,2913,164,0,2749,+132,1.047
04-20-2020,3040,184,0,2856,+127,1.044
04-21-2020,3154,223,0,2931,+114,1.038
04-22-2020,3294,230,0,3064,+140,1.044
04-23-2020,3395,230,0,3165,+101,1.031
04-24-2020,3525,208,0,3317,+130,1.038
04-25-2020,3627,214,0,3413,+102,1.029
04-26-2020,3733,217,0,3516,+106,1.029
04-27-2020,3817,232,0,3585,+84,1.023
04-28-2020,4043,249,0,3794,+226,1.059
04-29-2020,4177,329,0,3848,+134,1.033
04-30-2020,4307,351,0,3956,+130,1.031
05-01-2020,4406,362,0,4044,+99,1.023
05-02-2020,4487,369,0,4118,+81,1.018
05-03-2020,4552,381,0,4171,+65,1.014
05-04-2020,4645,382,0,4263,+93,1.020
05-05-2020,4687,443,0,4244,+42,1.009
05-06-2020,4827,471,0,4356,+140,1.030
05-07-2020,4915,506,0,4409,+88,1.018
05-08-2020,5037,515,0,4522,+122,1.025
05-09-2020,5116,523,0,4593,+79,1.016
05-10-2020,5260,525,0,4735,+144,1.028
05-11-2020,5292,525,0,4767,+32,1.006
05-12-2020,5442,534,0,4908,+150,1.028
05-13-2020,5513,556,0,4957,+71,1.013
05-14-2020,5583,587,0,4996,+70,1.013
05-15-2020,5697,608,0,5089,+114,1.020
05-16-2020,5797,614,0,5183,+100,1.018
05-17-2020,5872,620,0,5252,+75,1.013
05-18-2020,6012,566,0,5446,+140,1.024
05-19-2020,6063,575,0,5488,+51,1.008
05-20-2020,6154,596,0,5558,+91,1.015
05-21-2020,6268,607,0,5661,+114,1.019
05-22-2020,6366,619,0,5747,+98,1.016
05-23-2020,6464,633,0,5831,+98,1.015
05-24-2020,6525,633,0,5892,+61,1.009
05-25-2020,6576,633,0,5943,+51,1.008
05-26-2020,6598,635,0,5963,+22,1.003
05-27-2020,6738,644,0,6094,+140,1.021
05-28-2020,6811,656,0,6155,+73,1.011
05-29-2020,6906,674,0,6232,+95,1.014
05-30-2020,7006,682,0,6324,+100,1.014
05-31-2020,7061,684,0,6377,+55,1.008
06-01-2020,7093,686,0,6407,+32,1.005
06-02-2020,7172,696,0,6476,+79,1.011
06-03-2020,7242,702,0,6540,+70,1.010
