Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,0,0,0,+0,0.000
03-23-2020,19,0,0,0,+6,1.462
03-24-2020,23,0,0,0,+4,1.211
03-25-2020,31,0,0,0,+8,1.348
03-26-2020,41,0,0,0,+10,1.323
03-27-2020,47,0,0,0,+6,1.146
03-28-2020,63,0,0,0,+16,1.340
03-29-2020,65,0,0,0,+2,1.032
03-30-2020,81,0,0,0,+16,1.246
03-31-2020,93,0,0,0,+12,1.148
04-01-2020,110,2,0,0,+17,1.183
04-02-2020,119,3,0,0,+9,1.082
04-03-2020,130,3,0,0,+11,1.092
04-04-2020,142,3,0,0,+12,1.092
04-05-2020,149,3,0,0,+7,1.049
04-06-2020,161,3,0,0,+12,1.081
04-07-2020,197,4,0,0,+36,1.224
04-08-2020,210,4,0,0,+13,1.066
04-09-2020,231,4,0,0,+21,1.100
04-10-2020,231,4,0,0,+0,1.000
04-11-2020,251,5,0,0,+20,1.087
04-12-2020,251,5,0,246,+0,1.000
04-13-2020,266,6,0,260,+15,1.060
04-14-2020,308,6,0,302,+42,1.158
04-15-2020,331,6,0,325,+23,1.075
04-16-2020,331,6,0,325,+0,1.000
04-17-2020,370,7,0,363,+39,1.118
04-18-2020,370,7,0,363,+0,1.000
04-19-2020,377,7,0,370,+7,1.019
04-20-2020,377,7,0,370,+0,1.000
04-21-2020,393,7,0,386,+16,1.042
04-22-2020,440,7,0,433,+47,1.120
04-23-2020,467,8,0,459,+27,1.061
04-24-2020,496,9,0,487,+29,1.062
04-25-2020,506,9,0,497,+10,1.020
04-26-2020,506,9,0,497,+0,1.000
04-27-2020,530,10,0,520,+24,1.047
04-28-2020,562,12,0,550,+32,1.060
04-29-2020,562,12,0,550,+0,1.000
04-30-2020,602,12,0,590,+40,1.071
05-01-2020,629,14,0,615,+27,1.045
05-02-2020,634,14,0,620,+5,1.008
05-03-2020,634,14,0,620,+0,1.000
05-04-2020,640,15,0,625,+6,1.009
05-05-2020,662,15,0,647,+22,1.034
05-06-2020,672,15,0,657,+10,1.015
05-07-2020,689,15,0,674,+17,1.025
05-08-2020,699,16,0,683,+10,1.015
05-09-2020,699,16,0,683,+0,1.000
05-10-2020,699,16,0,683,+0,1.000
05-11-2020,724,17,0,707,+25,1.036
05-12-2020,742,17,0,725,+18,1.025
05-13-2020,758,17,0,741,+16,1.022
05-14-2020,773,18,0,755,+15,1.020
05-15-2020,798,18,0,780,+25,1.032
05-16-2020,798,18,0,780,+0,1.000
05-17-2020,798,18,0,780,+0,1.000
05-18-2020,817,18,0,799,+19,1.024
05-19-2020,848,18,0,830,+31,1.038
05-20-2020,861,21,0,840,+13,1.015
05-21-2020,881,21,0,860,+20,1.023
05-22-2020,888,23,0,865,+7,1.008
05-23-2020,888,23,0,865,+0,1.000
05-24-2020,888,23,0,865,+0,1.000
05-25-2020,888,23,0,865,+0,1.000
05-26-2020,888,23,0,865,+0,1.000
05-27-2020,926,26,0,900,+38,1.043
05-28-2020,926,26,0,900,+0,1.000
05-29-2020,954,26,0,928,+28,1.030
05-30-2020,954,26,0,928,+0,1.000
05-31-2020,954,26,0,928,+0,1.000
06-01-2020,966,26,0,940,+12,1.013
06-02-2020,1010,26,0,984,+44,1.046
06-03-2020,1033,26,0,1007,+23,1.023
