Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,0,0,0,0,+0,0.000
03-29-2020,0,0,0,0,+0,0.000
03-30-2020,1,0,0,0,+1,0.000
03-31-2020,1,0,0,0,+0,1.000
04-01-2020,1,0,0,0,+0,1.000
04-02-2020,6,0,0,0,+5,6.000
04-03-2020,6,0,0,0,+0,1.000
04-04-2020,6,0,0,0,+0,1.000
04-05-2020,6,0,0,0,+0,1.000
04-06-2020,6,0,0,0,+0,1.000
04-07-2020,8,0,0,0,+2,1.333
04-08-2020,9,0,0,0,+1,1.125
04-09-2020,15,0,0,0,+6,1.667
04-10-2020,21,0,0,0,+6,1.400
04-11-2020,21,0,0,0,+0,1.000
04-12-2020,22,0,0,22,+1,1.048
04-13-2020,22,0,0,22,+0,1.000
04-14-2020,36,0,0,36,+14,1.636
04-15-2020,52,0,0,52,+16,1.444
04-16-2020,59,0,0,59,+7,1.135
04-17-2020,75,0,0,75,+16,1.271
04-18-2020,99,0,0,99,+24,1.320
04-19-2020,106,0,0,106,+7,1.071
04-20-2020,121,2,0,119,+15,1.142
04-21-2020,139,2,0,137,+18,1.149
