Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,119,1,0,0,+0,0.000
03-23-2020,177,1,0,0,+58,1.487
03-24-2020,204,1,0,0,+27,1.153
03-25-2020,223,1,0,0,+19,1.093
03-26-2020,315,1,0,0,+92,1.413
03-27-2020,391,1,0,0,+76,1.241
03-28-2020,442,3,0,0,+51,1.130
03-29-2020,566,8,0,0,+124,1.281
03-30-2020,720,8,0,0,+154,1.272
03-31-2020,841,1,0,0,+121,1.168
04-01-2020,942,25,0,0,+101,1.120
04-02-2020,1082,40,0,0,+140,1.149
04-03-2020,1298,43,0,0,+216,1.200
04-04-2020,1618,51,0,0,+320,1.247
04-05-2020,1800,55,0,0,+182,1.112
04-06-2020,1956,60,0,0,+156,1.087
04-07-2020,2239,87,0,0,+283,1.145
04-08-2020,2468,102,0,0,+229,1.102
04-09-2020,2645,117,0,0,+177,1.072
04-10-2020,2771,135,0,0,+126,1.048
04-11-2020,2925,152,0,0,+154,1.056
04-12-2020,3099,162,0,2937,+174,1.059
04-13-2020,3225,162,0,3063,+126,1.041
04-14-2020,3424,192,0,3232,+199,1.062
04-15-2020,3525,212,0,3313,+101,1.029
04-16-2020,3701,216,0,3485,+176,1.050
04-17-2020,3822,232,0,3590,+121,1.033
04-18-2020,3984,255,0,3729,+162,1.042
04-19-2020,4136,257,0,3879,+152,1.038
04-20-2020,4236,269,0,3967,+100,1.024
04-21-2020,4236,269,0,3967,+0,1.000
04-22-2020,4556,309,0,4247,+320,1.076
04-23-2020,4680,324,0,4356,+124,1.027
04-24-2020,4716,340,0,4376,+36,1.008
04-25-2020,4821,347,0,4474,+105,1.022
04-26-2020,4976,351,0,4625,+155,1.032
04-27-2020,5030,355,0,4675,+54,1.011
04-28-2020,5128,377,0,4751,+98,1.019
04-29-2020,5213,387,0,4826,+85,1.017
04-30-2020,5287,413,0,4874,+74,1.014
05-01-2020,5354,430,0,4924,+67,1.013
05-02-2020,5406,440,0,4966,+52,1.010
05-03-2020,5517,449,0,5068,+111,1.021
05-04-2020,5549,449,0,5100,+32,1.006
05-05-2020,5625,474,0,5151,+76,1.014
05-06-2020,5655,491,0,5164,+30,1.005
05-07-2020,5702,503,0,5199,+47,1.008
05-08-2020,5767,506,0,5261,+65,1.011
05-09-2020,5833,511,0,5322,+66,1.011
05-10-2020,5854,516,0,5338,+21,1.004
05-11-2020,5876,518,0,5358,+22,1.004
05-12-2020,5908,523,0,5385,+32,1.005
05-13-2020,5926,531,0,5395,+18,1.003
05-14-2020,5954,539,0,5415,+28,1.005
05-15-2020,5990,550,0,5440,+36,1.006
05-16-2020,6012,561,0,5451,+22,1.004
05-17-2020,6036,561,0,5475,+24,1.004
05-18-2020,6092,569,0,5523,+56,1.009
05-19-2020,6100,572,0,5528,+8,1.001
05-20-2020,6139,581,0,5558,+39,1.006
05-21-2020,6155,583,0,5572,+16,1.003
05-22-2020,6171,587,0,5584,+16,1.003
05-23-2020,6192,590,0,5602,+21,1.003
05-24-2020,6207,592,0,5615,+15,1.002
05-25-2020,6259,593,0,5666,+52,1.008
05-26-2020,6279,595,0,5684,+20,1.003
05-27-2020,6289,600,0,5689,+10,1.002
05-28-2020,6354,605,0,5749,+65,1.010
05-29-2020,6367,610,0,5757,+13,1.002
05-30-2020,6383,613,0,5770,+16,1.003
05-31-2020,6463,615,0,5848,+80,1.013
06-01-2020,6506,616,0,5890,+43,1.007
06-02-2020,6512,617,0,5895,+6,1.001
06-03-2020,6540,619,0,5921,+28,1.004
