Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,19,1,0,0,+0,0.000
03-23-2020,21,1,0,0,+2,1.105
03-24-2020,25,2,0,0,+4,1.190
03-25-2020,33,2,0,0,+8,1.320
03-26-2020,45,2,0,0,+12,1.364
03-27-2020,67,2,0,0,+22,1.489
03-28-2020,81,2,0,0,+14,1.209
03-29-2020,91,2,0,0,+10,1.123
03-30-2020,100,2,0,0,+9,1.099
03-31-2020,116,2,0,0,+16,1.160
04-01-2020,134,3,0,0,+18,1.155
04-02-2020,160,3,0,0,+26,1.194
04-03-2020,175,3,0,0,+15,1.094
04-04-2020,175,3,0,0,+0,1.000
04-05-2020,233,7,0,0,+58,1.331
04-06-2020,233,7,0,0,+0,1.000
04-07-2020,243,7,0,0,+10,1.043
04-08-2020,258,7,0,0,+15,1.062
04-09-2020,302,13,0,0,+44,1.171
04-10-2020,302,13,0,0,+0,1.000
04-11-2020,317,17,0,0,+15,1.050
04-12-2020,374,19,0,355,+57,1.180
04-13-2020,398,19,0,379,+24,1.064
04-14-2020,420,20,0,400,+22,1.055
04-15-2020,430,22,0,408,+10,1.024
04-16-2020,448,26,0,422,+18,1.042
04-17-2020,467,28,0,439,+19,1.042
04-18-2020,493,28,0,465,+26,1.056
04-19-2020,514,28,0,486,+21,1.043
04-20-2020,520,28,0,492,+6,1.012
04-21-2020,542,29,0,513,+22,1.042
04-22-2020,566,29,0,537,+24,1.044
04-23-2020,582,33,0,549,+16,1.028
04-24-2020,596,35,0,561,+14,1.024
04-25-2020,623,35,0,588,+27,1.045
04-26-2020,652,37,0,615,+29,1.047
04-27-2020,664,37,0,627,+12,1.018
04-28-2020,677,40,0,637,+13,1.020
04-29-2020,696,42,0,654,+19,1.028
04-30-2020,707,43,0,664,+11,1.016
05-01-2020,720,44,0,676,+13,1.018
05-02-2020,734,46,0,688,+14,1.019
05-03-2020,739,46,0,693,+5,1.007
05-04-2020,754,46,0,708,+15,1.020
05-05-2020,769,49,0,720,+15,1.020
05-06-2020,793,50,0,743,+24,1.031
05-07-2020,809,52,0,757,+16,1.020
05-08-2020,839,52,0,787,+30,1.037
05-09-2020,863,53,0,810,+24,1.029
05-10-2020,885,53,0,832,+22,1.025
05-11-2020,899,53,0,846,+14,1.016
05-12-2020,908,53,0,855,+9,1.010
05-13-2020,921,53,0,868,+13,1.014
05-14-2020,940,55,0,885,+19,1.021
05-15-2020,957,55,0,902,+17,1.018
05-16-2020,979,55,0,924,+22,1.023
05-17-2020,984,55,0,929,+5,1.005
05-18-2020,996,55,0,941,+12,1.012
05-19-2020,1005,55,0,950,+9,1.009
05-20-2020,1018,57,0,961,+13,1.013
05-21-2020,1026,57,0,969,+8,1.008
05-22-2020,1037,58,0,979,+11,1.011
05-23-2020,1037,58,0,979,+0,1.000
05-24-2020,1040,58,0,982,+3,1.003
05-25-2020,1045,58,0,987,+5,1.005
05-26-2020,1052,58,0,994,+7,1.007
05-27-2020,1093,58,0,1035,+41,1.039
05-28-2020,1103,59,0,1044,+10,1.009
05-29-2020,1121,59,0,1062,+18,1.016
05-30-2020,1142,59,0,1083,+21,1.019
05-31-2020,1165,59,0,1106,+23,1.020
06-01-2020,1171,59,0,1112,+6,1.005
06-02-2020,1181,61,0,1120,+10,1.009
06-03-2020,1194,62,0,1132,+13,1.011
