Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1900,4,0,0,+0,0.000
03-23-2020,2442,4,0,0,+542,1.285
03-24-2020,2869,9,0,0,+427,1.175
03-25-2020,3285,17,0,0,+416,1.145
03-26-2020,3914,17,0,0,+629,1.191
03-27-2020,4657,19,0,0,+743,1.190
03-28-2020,5537,27,0,0,+880,1.189
03-29-2020,6445,39,0,0,+908,1.164
03-30-2020,7344,39,0,0,+899,1.139
03-31-2020,8544,48,0,0,+1200,1.163
04-01-2020,9554,76,0,0,+1010,1.118
04-02-2020,10587,76,0,0,+1033,1.108
04-03-2020,12024,95,0,0,+1437,1.136
04-04-2020,13346,95,0,0,+1322,1.110
04-05-2020,14398,162,0,0,+1052,1.079
04-06-2020,15616,162,0,0,+1218,1.085
04-07-2020,16610,500,0,0,+994,1.064
04-08-2020,18548,500,0,0,+1938,1.117
04-09-2020,20140,633,0,0,+1592,1.086
04-10-2020,21512,723,0,0,+1372,1.068
04-11-2020,22584,792,0,0,+1072,1.050
04-12-2020,23553,846,0,22707,+969,1.043
04-13-2020,24358,910,0,23448,+805,1.034
04-14-2020,25250,1001,0,24249,+892,1.037
04-15-2020,26715,1057,0,25658,+1465,1.058
04-16-2020,27772,1109,0,26663,+1057,1.040
04-17-2020,28539,1109,0,27430,+767,1.028
04-18-2020,29180,1109,0,28071,+641,1.022
04-19-2020,30013,1109,0,28904,+833,1.029
04-20-2020,30677,1329,0,29348,+664,1.022
04-21-2020,31079,1390,0,29689,+402,1.013
04-22-2020,31555,1431,0,30124,+476,1.015
04-23-2020,32124,1471,0,30653,+569,1.018
04-24-2020,32765,1518,0,31247,+641,1.020
04-25-2020,33798,1558,0,32240,+1033,1.032
04-26-2020,34522,1587,0,32935,+724,1.021
04-27-2020,34865,1620,0,33245,+343,1.010
04-28-2020,35085,1647,0,33438,+220,1.006
04-29-2020,35505,1678,0,33827,+420,1.012
04-30-2020,35854,1700,0,34154,+349,1.010
05-01-2020,36161,1720,0,34441,+307,1.009
05-02-2020,36519,1745,0,34774,+358,1.010
05-03-2020,36780,1770,0,35010,+261,1.007
05-04-2020,36965,1792,0,35173,+185,1.005
05-05-2020,37152,1818,0,35334,+187,1.005
05-06-2020,37350,1891,0,35459,+198,1.005
05-07-2020,37593,1904,0,35689,+243,1.007
05-08-2020,37812,1918,0,35894,+219,1.006
05-09-2020,38028,1940,0,36088,+216,1.006
05-10-2020,38217,1963,0,36254,+189,1.005
05-11-2020,38337,1973,0,36364,+120,1.003
05-12-2020,38434,1991,0,36443,+97,1.003
05-13-2020,38587,2004,0,36583,+153,1.004
05-14-2020,38743,2016,0,36727,+156,1.004
05-15-2020,38864,2027,0,36837,+121,1.003
05-16-2020,39033,2034,0,36999,+169,1.004
05-17-2020,39136,2044,0,37092,+103,1.003
05-18-2020,39225,2053,0,37172,+89,1.002
05-19-2020,39295,2060,0,37235,+70,1.002
05-20-2020,39368,2065,0,37303,+73,1.002
05-21-2020,39487,2073,0,37414,+119,1.003
05-22-2020,39608,2082,0,37526,+121,1.003
05-23-2020,39726,2087,0,37639,+118,1.003
05-24-2020,39837,2094,0,37743,+111,1.003
05-25-2020,39907,2103,0,37804,+70,1.002
05-26-2020,39974,2108,0,37866,+67,1.002
05-27-2020,40034,2137,0,37897,+60,1.002
05-28-2020,40140,2114,0,38026,+106,1.003
05-29-2020,40226,2118,0,38108,+86,1.002
05-30-2020,40307,2121,0,38186,+81,1.002
05-31-2020,40396,2122,0,38274,+89,1.002
06-01-2020,40479,2125,0,38354,+83,1.002
06-02-2020,40572,2127,0,38445,+93,1.002
06-03-2020,40644,2130,0,38514,+72,1.002
