Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,0,0,0,+0,0.000
03-23-2020,25,0,0,0,+12,1.923
03-24-2020,32,0,0,0,+7,1.280
03-25-2020,37,0,0,0,+5,1.156
03-26-2020,43,0,0,0,+6,1.162
03-27-2020,49,0,0,0,+6,1.140
03-28-2020,57,0,0,0,+8,1.163
03-29-2020,62,0,0,0,+5,1.088
03-30-2020,88,0,0,0,+26,1.419
03-31-2020,91,0,0,0,+3,1.034
04-01-2020,171,0,0,0,+80,1.879
04-02-2020,198,1,0,0,+27,1.158
04-03-2020,245,1,0,0,+47,1.237
04-04-2020,274,1,0,0,+29,1.118
04-05-2020,307,1,0,0,+33,1.120
04-06-2020,359,1,0,0,+52,1.169
04-07-2020,378,1,0,0,+19,1.053
04-08-2020,404,1,0,0,+26,1.069
04-09-2020,286,1,0,0,+-118,0.708
04-10-2020,287,1,0,0,+1,1.003
04-11-2020,321,1,0,0,+34,1.118
04-12-2020,335,1,0,334,+14,1.044
04-13-2020,345,1,0,344,+10,1.030
04-14-2020,355,1,0,354,+10,1.029
04-15-2020,390,1,0,389,+35,1.099
04-16-2020,410,1,0,409,+20,1.051
04-17-2020,435,1,0,434,+25,1.061
04-18-2020,452,11,0,441,+17,1.039
04-19-2020,459,11,0,448,+7,1.015
04-20-2020,473,11,0,462,+14,1.031
04-21-2020,485,11,0,474,+12,1.025
04-22-2020,527,12,0,515,+42,1.087
04-23-2020,564,13,0,551,+37,1.070
04-24-2020,583,18,0,565,+19,1.034
04-25-2020,612,18,0,594,+29,1.050
04-26-2020,625,18,0,607,+13,1.021
04-27-2020,628,18,0,610,+3,1.005
04-28-2020,665,18,0,647,+37,1.059
04-29-2020,682,18,0,664,+17,1.026
04-30-2020,712,21,0,691,+30,1.044
05-01-2020,741,21,0,720,+29,1.041
05-02-2020,766,21,0,745,+25,1.034
05-03-2020,777,21,0,756,+11,1.014
05-04-2020,800,21,0,779,+23,1.030
05-05-2020,869,26,0,843,+69,1.086
05-06-2020,892,31,0,861,+23,1.026
05-07-2020,912,32,0,880,+20,1.022
05-08-2020,945,35,0,910,+33,1.036
05-09-2020,981,36,0,945,+36,1.038
05-10-2020,983,36,0,947,+2,1.002
05-11-2020,1006,37,0,969,+23,1.023
05-12-2020,1017,41,0,976,+11,1.011
05-13-2020,1099,42,0,1057,+82,1.081
05-14-2020,1150,43,0,1107,+51,1.046
05-15-2020,1177,48,0,1129,+27,1.023
05-16-2020,1238,48,0,1190,+61,1.052
05-17-2020,1273,48,0,1225,+35,1.028
05-18-2020,1285,48,0,1237,+12,1.009
05-19-2020,1320,48,0,1272,+35,1.027
05-20-2020,1361,52,0,1309,+41,1.031
05-21-2020,1421,52,0,1369,+60,1.044
05-22-2020,1470,53,0,1417,+49,1.034
05-23-2020,1491,56,0,1435,+21,1.014
05-24-2020,1523,56,0,1467,+32,1.021
05-25-2020,1543,56,0,1487,+20,1.013
05-26-2020,1550,56,0,1494,+7,1.005
05-27-2020,1652,57,0,1595,+102,1.066
05-28-2020,1678,58,0,1620,+26,1.016
05-29-2020,1752,58,0,1694,+74,1.044
05-30-2020,1833,59,0,1774,+81,1.046
05-31-2020,1866,60,0,1806,+33,1.018
06-01-2020,1873,64,0,1809,+7,1.004
06-02-2020,1957,64,0,1893,+84,1.045
06-03-2020,1994,67,0,1927,+37,1.019
