Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,39,0,0,0,+0,0.000
03-23-2020,44,0,0,0,+5,1.128
03-24-2020,71,0,0,0,+27,1.614
03-25-2020,79,0,0,0,+8,1.113
03-26-2020,86,0,0,0,+7,1.089
03-27-2020,105,0,0,0,+19,1.221
03-28-2020,130,2,0,0,+25,1.238
03-29-2020,141,2,0,0,+11,1.085
03-30-2020,156,2,0,0,+15,1.106
03-31-2020,197,2,0,0,+41,1.263
04-01-2020,226,5,0,0,+29,1.147
04-02-2020,245,7,0,0,+19,1.084
04-03-2020,279,7,0,0,+34,1.139
04-04-2020,400,7,0,0,+121,1.434
04-05-2020,436,7,0,0,+36,1.090
04-06-2020,496,9,0,0,+60,1.138
04-07-2020,571,9,0,0,+75,1.151
04-08-2020,636,9,0,0,+65,1.114
04-09-2020,701,9,0,0,+65,1.102
04-10-2020,751,9,0,0,+50,1.071
04-11-2020,807,19,0,0,+56,1.075
04-12-2020,880,19,0,861,+73,1.090
04-13-2020,919,20,0,899,+39,1.044
04-14-2020,947,20,0,927,+28,1.030
04-15-2020,974,20,0,954,+27,1.029
04-16-2020,1003,25,0,978,+29,1.030
04-17-2020,1100,30,0,1070,+97,1.097
04-18-2020,1205,32,0,1173,+105,1.095
04-19-2020,1205,32,0,1173,+0,1.000
04-20-2020,1229,33,0,1196,+24,1.020
04-21-2020,1303,36,0,1267,+74,1.060
04-22-2020,1352,38,0,1314,+49,1.038
04-23-2020,1389,40,0,1349,+37,1.027
04-24-2020,1486,45,0,1441,+97,1.070
04-25-2020,1504,52,0,1452,+18,1.012
04-26-2020,1599,55,0,1544,+95,1.063
04-27-2020,1629,57,0,1572,+30,1.019
04-28-2020,1701,63,0,1638,+72,1.044
04-29-2020,1717,65,0,1652,+16,1.009
04-30-2020,1734,68,0,1666,+17,1.010
05-01-2020,1829,70,0,1759,+95,1.055
05-02-2020,1864,76,0,1788,+35,1.019
05-03-2020,1903,79,0,1824,+39,1.021
05-04-2020,1934,82,0,1852,+31,1.016
05-05-2020,1979,83,0,1896,+45,1.023
05-06-2020,2087,85,0,2002,+108,1.055
05-07-2020,2130,89,0,2041,+43,1.021
05-08-2020,2184,91,0,2093,+54,1.025
05-09-2020,2275,93,0,2182,+91,1.042
05-10-2020,2275,93,0,2182,+0,1.000
05-11-2020,2390,95,0,2295,+115,1.051
05-12-2020,2440,100,0,2340,+50,1.021
05-13-2020,2496,102,0,2394,+56,1.023
05-14-2020,2560,108,0,2452,+64,1.026
05-15-2020,2619,114,0,2505,+59,1.023
05-16-2020,2667,121,0,2546,+48,1.018
05-17-2020,2682,124,0,2558,+15,1.006
05-18-2020,2738,130,0,2608,+56,1.021
05-19-2020,2845,135,0,2710,+107,1.039
05-20-2020,2933,138,0,2795,+88,1.031
05-21-2020,3053,144,0,2909,+120,1.041
05-22-2020,3132,146,0,2986,+79,1.026
05-23-2020,3132,146,0,2986,+0,1.000
05-24-2020,3309,148,0,3161,+177,1.057
05-25-2020,3436,149,0,3287,+127,1.038
05-26-2020,3508,150,0,3358,+72,1.021
05-27-2020,3528,155,0,3373,+20,1.006
05-28-2020,3575,155,0,3420,+47,1.013
05-29-2020,3629,163,0,3466,+54,1.015
05-30-2020,3723,166,0,3557,+94,1.026
05-31-2020,3758,170,0,3588,+35,1.009
06-01-2020,3838,172,0,3666,+80,1.021
06-02-2020,3883,172,0,3711,+45,1.012
06-03-2020,3903,173,0,3730,+20,1.005
