Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+1,1.333
03-24-2020,6,0,0,0,+2,1.500
03-25-2020,9,0,0,0,+3,1.500
03-26-2020,13,0,0,0,+4,1.444
03-27-2020,15,0,0,0,+2,1.154
03-28-2020,19,0,0,0,+4,1.267
03-29-2020,20,0,0,0,+1,1.053
03-30-2020,24,0,0,0,+4,1.200
03-31-2020,27,1,0,0,+3,1.125
04-01-2020,29,1,0,0,+2,1.074
04-02-2020,29,1,0,0,+0,1.000
04-03-2020,40,3,0,0,+11,1.379
04-04-2020,57,3,0,0,+17,1.425
04-05-2020,57,4,0,0,+0,1.000
04-06-2020,65,4,0,0,+8,1.140
04-07-2020,85,4,0,0,+20,1.308
04-08-2020,85,4,0,0,+0,1.000
04-09-2020,139,6,0,0,+54,1.635
04-10-2020,156,7,0,0,+17,1.122
04-11-2020,185,7,0,0,+29,1.186
04-12-2020,190,7,0,183,+5,1.027
04-13-2020,222,7,0,215,+32,1.168
04-14-2020,227,7,0,220,+5,1.023
04-15-2020,236,7,0,229,+9,1.040
04-16-2020,255,9,0,246,+19,1.081
04-17-2020,292,10,0,282,+37,1.145
04-18-2020,315,10,0,305,+23,1.079
04-19-2020,339,10,0,329,+24,1.076
04-20-2020,356,13,0,343,+17,1.050
04-21-2020,369,13,0,356,+13,1.037
04-22-2020,397,14,0,383,+28,1.076
04-23-2020,419,17,0,402,+22,1.055
04-24-2020,448,23,0,425,+29,1.069
04-25-2020,473,28,0,445,+25,1.056
04-26-2020,498,31,0,467,+25,1.053
04-27-2020,516,34,0,482,+18,1.036
04-28-2020,530,34,0,496,+14,1.027
04-29-2020,540,35,0,505,+10,1.019
04-30-2020,564,36,0,528,+24,1.044
05-01-2020,603,42,0,561,+39,1.069
05-02-2020,623,43,0,580,+20,1.033
05-03-2020,623,43,0,580,+0,1.000
05-04-2020,641,45,0,596,+18,1.029
05-05-2020,681,45,0,636,+40,1.062
05-06-2020,704,47,0,657,+23,1.034
05-07-2020,742,49,0,693,+38,1.054
05-08-2020,755,50,0,705,+13,1.018
05-09-2020,775,54,0,721,+20,1.026
05-10-2020,782,54,0,728,+7,1.009
05-11-2020,784,56,0,728,+2,1.003
05-12-2020,793,58,0,735,+9,1.011
05-13-2020,804,60,0,744,+11,1.014
05-14-2020,821,62,0,759,+17,1.021
05-15-2020,844,63,0,781,+23,1.028
05-16-2020,860,65,0,795,+16,1.019
05-17-2020,873,66,0,807,+13,1.015
05-18-2020,876,66,0,810,+3,1.003
05-19-2020,880,66,0,814,+4,1.005
05-20-2020,896,68,0,828,+16,1.018
05-21-2020,903,73,0,830,+7,1.008
05-22-2020,910,72,0,838,+7,1.008
05-23-2020,970,72,0,898,+60,1.066
05-24-2020,1046,74,0,972,+76,1.078
05-25-2020,1043,78,0,965,+-3,0.997
05-26-2020,1075,78,0,997,+32,1.031
05-27-2020,1053,79,0,974,+-22,0.980
05-28-2020,1067,83,0,984,+14,1.013
05-29-2020,1068,85,0,983,+1,1.001
05-30-2020,1076,89,0,987,+8,1.007
05-31-2020,1078,89,0,989,+2,1.002
06-01-2020,1091,89,0,1002,+13,1.012
06-02-2020,1094,90,0,1004,+3,1.003
06-03-2020,1100,92,0,1008,+6,1.005
