Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,9654,63,0,0,+0,0.000
03-23-2020,12305,99,0,0,+2651,1.275
03-24-2020,14904,131,0,0,+2599,1.211
03-25-2020,17856,199,0,0,+2952,1.198
03-26-2020,21873,281,0,0,+4017,1.225
03-27-2020,25573,366,0,0,+3700,1.169
03-28-2020,29776,517,0,0,+4203,1.164
03-29-2020,33768,678,0,0,+3992,1.134
03-30-2020,37453,790,0,0,+3685,1.109
03-31-2020,43119,932,0,0,+5666,1.151
04-01-2020,47439,1139,0,0,+4320,1.100
04-02-2020,51809,1397,0,0,+4370,1.092
04-03-2020,57159,1584,0,0,+5350,1.103
04-04-2020,63306,1905,0,0,+6147,1.108
04-05-2020,67551,2256,0,0,+4245,1.067
04-06-2020,72181,3485,0,0,+4630,1.069
04-07-2020,76876,4009,0,0,+4695,1.065
04-08-2020,81803,4571,0,0,+4927,1.064
04-09-2020,87028,5150,0,0,+5225,1.064
04-10-2020,92384,5820,0,0,+5356,1.062
04-11-2020,98308,6367,0,0,+5924,1.064
04-12-2020,103208,6898,0,96310,+4900,1.050
04-13-2020,106763,7349,0,99414,+3555,1.034
04-14-2020,110465,7905,0,102560,+3702,1.035
04-15-2020,118302,8455,0,109847,+7837,1.071
04-16-2020,123146,11477,0,111669,+4844,1.041
04-17-2020,127352,13202,0,114150,+4206,1.034
04-18-2020,135572,13202,0,122370,+8220,1.065
04-19-2020,138700,14451,0,124249,+3128,1.023
04-20-2020,141235,14604,0,126631,+2535,1.018
04-21-2020,144190,14887,0,129303,+2955,1.021
04-22-2020,147297,15074,0,132223,+3107,1.022
04-23-2020,145855,16388,0,129467,+-1442,0.990
04-24-2020,150473,16646,0,133827,+4618,1.032
04-25-2020,155113,17126,0,137987,+4640,1.031
04-26-2020,158258,17280,0,140978,+3145,1.020
04-27-2020,160489,17515,0,142974,+2231,1.014
04-28-2020,162338,17682,0,144656,+1849,1.012
04-29-2020,164841,18076,0,146765,+2503,1.015
04-30-2020,167478,18069,0,149409,+2637,1.016
05-01-2020,169690,18399,0,151291,+2212,1.013
05-02-2020,172354,18491,0,153863,+2664,1.016
05-03-2020,174331,18925,0,155406,+1977,1.011
05-04-2020,175651,19057,0,156594,+1320,1.008
05-05-2020,176874,19067,0,157807,+1223,1.007
05-06-2020,178351,19174,0,159177,+1477,1.008
05-07-2020,180216,19626,0,160590,+1865,1.010
05-08-2020,181783,19561,0,162222,+1567,1.009
05-09-2020,183289,19818,0,163471,+1506,1.008
05-10-2020,184417,19789,0,164628,+1128,1.006
05-11-2020,185357,20056,0,165301,+940,1.005
05-12-2020,186123,20237,0,165886,+766,1.004
05-13-2020,187250,20316,0,166934,+1127,1.006
05-14-2020,188545,20406,0,168139,+1295,1.007
05-15-2020,190357,20476,0,169881,+1812,1.010
05-16-2020,191600,20576,0,171024,+1243,1.007
05-17-2020,192593,20720,0,171873,+993,1.005
05-18-2020,193230,20806,0,172424,+637,1.003
05-19-2020,193821,20887,0,172934,+591,1.003
05-20-2020,194550,20934,0,173616,+729,1.004
05-21-2020,195675,21003,0,174672,+1125,1.006
05-22-2020,196484,21086,0,175398,+809,1.004
05-23-2020,197266,21138,0,176128,+782,1.004
05-24-2020,198123,21216,0,176907,+857,1.004
05-25-2020,198731,21259,0,177472,+608,1.003
05-26-2020,199301,21314,0,177987,+570,1.003
05-27-2020,199968,21362,0,178606,+667,1.003
05-28-2020,201051,21415,0,179636,+1083,1.005
05-29-2020,201999,21477,0,180522,+948,1.005
05-30-2020,202751,21512,0,181239,+752,1.004
05-31-2020,203303,21569,0,181734,+552,1.003
06-01-2020,203764,21607,0,182157,+461,1.002
06-02-2020,204377,21649,0,182728,+613,1.003
06-03-2020,204872,21688,0,183184,+495,1.002
