Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,9,0,0,0,+0,0.000
03-23-2020,9,0,0,0,+0,1.000
03-24-2020,10,0,0,0,+1,1.111
03-25-2020,12,0,0,0,+2,1.200
03-26-2020,14,0,0,0,+2,1.167
03-27-2020,23,0,0,0,+9,1.643
03-28-2020,33,0,0,0,+10,1.435
03-29-2020,38,0,0,0,+5,1.152
03-30-2020,41,0,0,0,+3,1.079
03-31-2020,41,0,0,0,+0,1.000
04-01-2020,46,0,0,0,+5,1.122
04-02-2020,91,0,0,0,+45,1.978
04-03-2020,94,0,0,0,+3,1.033
04-04-2020,101,0,0,0,+7,1.074
04-05-2020,116,0,0,0,+15,1.149
04-06-2020,120,0,0,0,+4,1.034
04-07-2020,126,1,0,0,+6,1.050
04-08-2020,155,1,0,0,+29,1.230
04-09-2020,155,4,0,0,+0,1.000
04-10-2020,156,4,0,0,+1,1.006
04-11-2020,167,4,0,0,+11,1.071
04-12-2020,194,4,0,190,+27,1.162
04-13-2020,194,5,0,189,+0,1.000
04-14-2020,216,5,0,211,+22,1.113
04-15-2020,229,9,0,220,+13,1.060
04-16-2020,229,9,0,220,+0,1.000
04-17-2020,227,9,0,218,+-2,0.991
04-18-2020,234,9,0,225,+7,1.031
04-19-2020,246,9,0,237,+12,1.051
04-20-2020,255,15,0,240,+9,1.037
04-21-2020,260,16,0,244,+5,1.020
04-22-2020,268,16,0,252,+8,1.031
04-23-2020,295,18,0,277,+27,1.101
04-24-2020,332,21,0,311,+37,1.125
04-25-2020,344,21,0,323,+12,1.036
04-26-2020,368,21,0,347,+24,1.070
04-27-2020,378,21,0,357,+10,1.027
04-28-2020,386,21,0,365,+8,1.021
04-29-2020,401,21,0,380,+15,1.039
04-30-2020,420,21,0,399,+19,1.047
05-01-2020,440,25,0,415,+20,1.048
05-02-2020,457,25,0,432,+17,1.039
05-03-2020,474,25,0,449,+17,1.037
05-04-2020,493,28,0,465,+19,1.040
05-05-2020,508,28,0,480,+15,1.030
05-06-2020,549,28,0,521,+41,1.081
05-07-2020,588,28,0,560,+39,1.071
05-08-2020,605,28,0,577,+17,1.029
05-09-2020,627,42,0,585,+22,1.036
05-10-2020,643,42,0,601,+16,1.026
05-11-2020,655,42,0,613,+12,1.019
05-12-2020,671,44,0,627,+16,1.024
05-13-2020,690,44,0,646,+19,1.028
05-14-2020,710,44,0,666,+20,1.029
05-15-2020,743,44,0,699,+33,1.046
05-16-2020,770,50,0,720,+27,1.036
05-17-2020,792,50,0,742,+22,1.029
05-18-2020,818,50,0,768,+26,1.033
05-19-2020,845,52,0,793,+27,1.033
05-20-2020,858,52,0,806,+13,1.015
05-21-2020,880,52,0,828,+22,1.026
05-22-2020,897,52,0,845,+17,1.019
05-23-2020,927,59,0,868,+30,1.033
05-24-2020,941,59,0,882,+14,1.015
05-25-2020,955,59,0,896,+14,1.015
05-26-2020,965,59,0,906,+10,1.010
05-27-2020,972,63,0,909,+7,1.007
05-28-2020,984,63,0,921,+12,1.012
05-29-2020,1008,63,0,945,+24,1.024
05-30-2020,1020,63,0,957,+12,1.012
05-31-2020,1037,63,0,974,+17,1.017
06-01-2020,1046,65,0,981,+9,1.009
06-02-2020,1048,65,0,983,+2,1.002
06-03-2020,1067,65,0,1002,+19,1.018
