Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,0,0,0,0,+0,0.000
03-29-2020,0,0,0,0,+0,0.000
03-30-2020,0,0,0,0,+0,0.000
04-10-2020,1,0,0,0,+1,0.000
04-11-2020,1,0,0,0,+0,1.000
04-12-2020,1,0,0,1,+0,1.000
04-13-2020,1,0,0,1,+0,1.000
04-14-2020,3,0,0,3,+2,3.000
04-15-2020,2,0,0,2,+-1,0.667
04-16-2020,2,0,0,2,+0,1.000
04-17-2020,12,0,0,12,+10,6.000
04-18-2020,36,0,0,36,+24,3.000
04-19-2020,60,0,0,60,+24,1.667
04-20-2020,76,0,0,76,+16,1.267
04-21-2020,101,0,0,101,+25,1.329
04-22-2020,126,1,0,125,+25,1.248
04-23-2020,196,1,0,195,+70,1.556
04-24-2020,258,1,0,257,+62,1.316
04-25-2020,325,1,0,324,+67,1.260
04-26-2020,352,1,0,351,+27,1.083
04-27-2020,399,1,0,398,+47,1.134
04-28-2020,477,1,0,476,+78,1.195
04-29-2020,615,1,0,614,+138,1.289
04-30-2020,742,1,0,741,+127,1.207
05-01-2020,866,1,0,865,+124,1.167
05-02-2020,899,1,0,898,+33,1.038
05-03-2020,940,1,0,939,+41,1.046
05-04-2020,1011,1,0,1010,+71,1.076
05-05-2020,1069,1,0,1068,+58,1.057
05-06-2020,1082,2,0,1080,+13,1.012
05-07-2020,1153,2,0,1151,+71,1.066
05-08-2020,1177,2,0,1175,+24,1.021
05-09-2020,1230,2,0,1228,+53,1.045
05-10-2020,1255,2,0,1253,+25,1.020
05-11-2020,1269,2,0,1267,+14,1.011
05-12-2020,1291,2,0,1289,+22,1.017
05-13-2020,1290,2,0,1288,+-1,0.999
05-14-2020,1319,2,0,1317,+29,1.022
05-15-2020,1342,2,0,1340,+23,1.017
05-16-2020,1353,2,0,1351,+11,1.008
05-17-2020,1361,2,0,1359,+8,1.006
05-18-2020,1387,2,0,1385,+26,1.019
05-19-2020,1394,2,0,1392,+7,1.005
05-20-2020,1396,2,0,1394,+2,1.001
05-21-2020,1414,2,0,1412,+18,1.013
05-22-2020,1432,2,0,1430,+18,1.013
05-23-2020,1444,2,0,1442,+12,1.008
05-24-2020,1457,2,0,1455,+13,1.009
05-25-2020,1469,2,0,1467,+12,1.008
05-26-2020,1478,2,0,1476,+9,1.006
05-27-2020,1488,3,0,1485,+10,1.007
05-28-2020,1496,3,0,1493,+8,1.005
05-29-2020,1503,4,0,1499,+7,1.005
05-30-2020,1512,5,0,1507,+9,1.006
05-31-2020,1539,5,0,1534,+27,1.018
06-01-2020,1544,5,0,1539,+5,1.003
06-02-2020,1552,5,0,1547,+8,1.005
06-03-2020,1558,5,0,1553,+6,1.004
