Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,75,0,0,0,+0,0.000
03-23-2020,82,0,0,0,+7,1.093
03-24-2020,129,0,0,0,+47,1.573
03-25-2020,222,1,0,0,+93,1.721
03-26-2020,292,2,0,0,+70,1.315
03-27-2020,393,6,0,0,+101,1.346
03-28-2020,490,8,0,0,+97,1.247
03-29-2020,548,9,0,0,+58,1.118
03-30-2020,628,10,0,0,+80,1.146
03-31-2020,738,12,0,0,+110,1.175
04-01-2020,829,15,0,0,+91,1.123
04-02-2020,938,21,0,0,+109,1.131
04-03-2020,1045,24,0,0,+107,1.114
04-04-2020,1199,25,0,0,+154,1.147
04-05-2020,1271,26,0,0,+72,1.060
04-06-2020,1382,29,0,0,+111,1.087
04-07-2020,1592,35,0,0,+210,1.152
04-08-2020,1778,41,0,0,+186,1.117
04-09-2020,2007,41,0,0,+229,1.129
04-10-2020,2216,41,0,0,+209,1.104
04-11-2020,2395,79,0,0,+179,1.081
04-12-2020,2649,91,0,2558,+254,1.106
04-13-2020,2838,91,0,2747,+189,1.071
04-14-2020,2969,91,0,2878,+131,1.046
04-15-2020,3122,147,0,2975,+153,1.052
04-16-2020,3342,147,0,3195,+220,1.070
04-17-2020,3499,173,0,3326,+157,1.047
04-18-2020,3659,195,0,3464,+160,1.046
04-19-2020,3789,244,0,3545,+130,1.036
04-20-2020,3789,244,0,3545,+0,1.000
04-21-2020,4062,290,0,3772,+273,1.072
04-22-2020,4212,290,0,3922,+150,1.037
04-23-2020,4541,290,0,4251,+329,1.078
04-24-2020,4979,290,0,4689,+438,1.096
04-25-2020,5172,400,0,4772,+193,1.039
04-26-2020,5288,400,0,4888,+116,1.022
04-27-2020,5398,429,0,4969,+110,1.021
04-28-2020,5567,448,0,5119,+169,1.031
04-29-2020,5700,484,0,5216,+133,1.024
04-30-2020,5896,499,0,5397,+196,1.034
05-01-2020,6065,522,0,5543,+169,1.029
05-02-2020,6187,535,0,5652,+122,1.020
05-03-2020,6280,550,0,5730,+93,1.015
05-04-2020,6382,555,0,5827,+102,1.016
05-05-2020,6466,575,0,5891,+84,1.013
05-06-2020,6610,596,0,6014,+144,1.022
05-07-2020,6729,608,0,6121,+119,1.018
05-08-2020,6801,623,0,6178,+72,1.011
05-09-2020,6887,635,0,6252,+86,1.013
05-10-2020,6952,650,0,6302,+65,1.009
05-11-2020,7004,661,0,6343,+52,1.007
05-12-2020,7046,663,0,6383,+42,1.006
05-13-2020,7129,676,0,6453,+83,1.012
05-14-2020,7258,696,0,6562,+129,1.018
05-15-2020,7331,710,0,6621,+73,1.010
05-16-2020,7412,719,0,6693,+81,1.011
05-17-2020,7474,725,0,6749,+62,1.008
05-18-2020,7524,728,0,6796,+50,1.007
05-19-2020,7565,735,0,6830,+41,1.005
05-20-2020,7607,749,0,6858,+42,1.006
05-21-2020,7691,759,0,6932,+84,1.011
05-22-2020,7724,771,0,6953,+33,1.004
05-23-2020,7759,774,0,6985,+35,1.005
05-24-2020,7812,782,0,7030,+53,1.007
05-25-2020,7844,784,0,7060,+32,1.004
05-26-2020,7863,791,0,7072,+19,1.002
05-27-2020,7880,794,0,7086,+17,1.002
05-28-2020,7919,799,0,7120,+39,1.005
05-29-2020,7959,811,0,7148,+40,1.005
05-30-2020,8016,815,0,7201,+57,1.007
05-31-2020,8079,821,0,7258,+63,1.008
06-01-2020,8586,841,0,7745,+507,1.063
06-02-2020,8600,845,0,7755,+14,1.002
06-03-2020,8613,850,0,7763,+13,1.002
