Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,21,1,0,0,+0,0.000
03-23-2020,23,2,0,0,+2,1.095
03-24-2020,33,2,0,0,+10,1.435
03-25-2020,44,3,0,0,+11,1.333
03-26-2020,56,3,0,0,+12,1.273
03-27-2020,79,3,0,0,+23,1.411
03-28-2020,94,4,0,0,+15,1.190
03-29-2020,126,4,0,0,+32,1.340
03-30-2020,184,5,0,0,+58,1.460
03-31-2020,245,5,0,0,+61,1.332
04-01-2020,312,5,0,0,+67,1.273
04-02-2020,378,9,0,0,+66,1.212
04-03-2020,466,10,0,0,+88,1.233
04-04-2020,588,11,0,0,+122,1.262
04-05-2020,636,11,0,0,+48,1.082
04-06-2020,716,12,0,0,+80,1.126
04-07-2020,774,14,0,0,+58,1.081
04-08-2020,857,17,0,0,+83,1.107
04-09-2020,949,20,0,0,+92,1.107
04-10-2020,994,21,0,0,+45,1.047
04-11-2020,1039,23,0,0,+45,1.045
04-12-2020,1082,23,0,1059,+43,1.041
04-13-2020,1130,23,0,1107,+48,1.044
04-14-2020,1176,25,0,1151,+46,1.041
04-15-2020,1251,25,0,1226,+75,1.064
04-16-2020,1296,25,0,1271,+45,1.036
04-17-2020,1335,27,0,1308,+39,1.030
04-18-2020,1396,29,0,1367,+61,1.046
04-19-2020,1441,36,0,1405,+45,1.032
04-20-2020,1469,36,0,1433,+28,1.019
04-21-2020,1544,43,0,1501,+75,1.051
04-22-2020,1591,44,0,1547,+47,1.030
04-23-2020,1656,45,0,1611,+65,1.041
04-24-2020,1716,46,0,1670,+60,1.036
04-25-2020,1780,49,0,1731,+64,1.037
04-26-2020,1813,49,0,1764,+33,1.019
04-27-2020,1834,49,0,1785,+21,1.012
04-28-2020,1970,55,0,1915,+136,1.074
04-29-2020,2008,85,0,1923,+38,1.019
04-30-2020,2050,94,0,1956,+42,1.021
05-01-2020,2103,94,0,2009,+53,1.026
05-02-2020,2182,94,0,2088,+79,1.038
05-03-2020,2214,94,0,2120,+32,1.015
05-04-2020,2240,94,0,2146,+26,1.012
05-05-2020,2279,117,0,2162,+39,1.017
05-06-2020,2313,122,0,2191,+34,1.015
05-07-2020,2355,152,0,2203,+42,1.018
05-08-2020,2390,153,0,2237,+35,1.015
05-09-2020,2429,158,0,2271,+39,1.016
05-10-2020,2453,158,0,2295,+24,1.010
05-11-2020,2465,160,0,2305,+12,1.005
05-12-2020,2499,161,0,2338,+34,1.014
05-13-2020,2518,162,0,2356,+19,1.008
05-14-2020,2566,182,0,2384,+48,1.019
05-15-2020,2600,196,0,2404,+34,1.013
05-16-2020,2659,196,0,2463,+59,1.023
05-17-2020,2703,199,0,2504,+44,1.017
05-18-2020,2727,171,0,2556,+24,1.009
05-19-2020,2758,176,0,2582,+31,1.011
05-20-2020,2779,182,0,2597,+21,1.008
05-21-2020,2814,186,0,2628,+35,1.013
05-22-2020,2842,192,0,2650,+28,1.010
05-23-2020,2866,197,0,2669,+24,1.008
05-24-2020,2911,198,0,2713,+45,1.016
05-25-2020,2920,199,0,2721,+9,1.003
05-26-2020,2933,199,0,2734,+13,1.004
05-27-2020,2958,203,0,2755,+25,1.009
05-28-2020,3022,206,0,2816,+64,1.022
05-29-2020,3045,207,0,2838,+23,1.008
05-30-2020,3062,210,0,2852,+17,1.006
05-31-2020,3083,210,0,2873,+21,1.007
06-01-2020,3082,210,0,2872,+-1,1.000
06-02-2020,3108,213,0,2895,+26,1.008
06-03-2020,3120,220,0,2900,+12,1.004
