Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,277,2,0,0,+0,0.000
03-23-2020,329,4,0,0,+52,1.188
03-24-2020,428,4,0,0,+99,1.301
03-25-2020,543,10,0,0,+115,1.269
03-26-2020,668,15,0,0,+125,1.230
03-27-2020,824,26,0,0,+156,1.234
03-28-2020,1018,31,0,0,+194,1.235
03-29-2020,1170,34,0,0,+152,1.149
03-30-2020,1365,48,0,0,+195,1.167
03-31-2020,1591,70,0,0,+226,1.166
04-01-2020,1910,99,0,0,+319,1.201
04-02-2020,2183,119,0,0,+273,1.143
04-03-2020,2540,136,0,0,+357,1.164
04-04-2020,2785,142,0,0,+245,1.096
04-05-2020,3035,163,0,0,+250,1.090
04-06-2020,3380,185,0,0,+345,1.114
04-07-2020,3736,205,0,0,+356,1.105
04-08-2020,4007,234,0,0,+271,1.073
04-09-2020,4247,246,0,0,+240,1.060
04-10-2020,4511,282,0,0,+264,1.062
04-11-2020,4802,316,0,0,+291,1.065
04-12-2020,4915,329,0,4586,+113,1.024
04-13-2020,5073,347,0,4726,+158,1.032
04-14-2020,5364,364,0,5000,+291,1.057
04-15-2020,5576,392,0,5184,+212,1.040
04-16-2020,5778,420,0,5358,+202,1.036
04-17-2020,5901,442,0,5459,+123,1.021
04-18-2020,6021,458,0,5563,+120,1.020
04-19-2020,6109,471,0,5638,+88,1.015
04-20-2020,6178,479,0,5699,+69,1.011
04-21-2020,6306,506,0,5800,+128,1.021
04-22-2020,6463,529,0,5934,+157,1.025
04-23-2020,6634,567,0,6067,+171,1.026
04-24-2020,6804,585,0,6219,+170,1.026
04-25-2020,6881,612,0,6269,+77,1.011
04-26-2020,6928,620,0,6308,+47,1.007
04-27-2020,6913,631,0,6282,+-15,0.998
04-28-2020,7012,654,0,6358,+99,1.014
04-29-2020,7159,668,0,6491,+147,1.021
04-30-2020,7267,696,0,6571,+108,1.015
05-01-2020,7423,705,0,6718,+156,1.021
05-02-2020,7475,745,0,6730,+52,1.007
05-03-2020,7518,757,0,6761,+43,1.006
05-04-2020,7499,762,0,6737,+-19,0.997
05-05-2020,7522,772,0,6750,+23,1.003
05-06-2020,7573,774,0,6799,+51,1.007
05-07-2020,7624,789,0,6835,+51,1.007
05-08-2020,7664,805,0,6859,+40,1.005
05-09-2020,7692,841,0,6851,+28,1.004
05-10-2020,7736,843,0,6893,+44,1.006
05-11-2020,7752,849,0,6903,+16,1.002
05-12-2020,7784,872,0,6912,+32,1.004
05-13-2020,7830,874,0,6956,+46,1.006
05-14-2020,7952,888,0,7064,+122,1.016
05-15-2020,7994,896,0,7098,+42,1.005
05-16-2020,8023,910,0,7113,+29,1.004
05-17-2020,8043,912,0,7131,+20,1.002
05-18-2020,8050,913,0,7137,+7,1.001
05-19-2020,8078,928,0,7150,+28,1.003
05-20-2020,8117,935,0,7182,+39,1.005
05-21-2020,8125,945,0,7180,+8,1.001
05-22-2020,8131,944,0,7187,+6,1.001
05-23-2020,8192,954,0,7238,+61,1.008
05-24-2020,8215,955,0,7260,+23,1.003
05-25-2020,8226,955,0,7271,+11,1.001
05-26-2020,8240,958,0,7282,+14,1.002
05-27-2020,8260,961,0,7299,+20,1.002
05-28-2020,8281,971,0,7310,+21,1.003
05-29-2020,8311,975,0,7336,+30,1.004
05-30-2020,8319,983,0,7336,+8,1.001
05-31-2020,8396,988,0,7408,+77,1.009
06-01-2020,8407,992,0,7415,+11,1.001
06-02-2020,8412,999,0,7413,+5,1.001
06-03-2020,8425,1003,0,7422,+13,1.002
