Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,102,1,0,0,+0,0.000
03-23-2020,144,1,0,0,+42,1.412
03-24-2020,180,1,0,0,+36,1.250
03-25-2020,222,1,0,0,+42,1.233
03-26-2020,389,1,0,0,+167,1.752
03-27-2020,484,1,0,0,+95,1.244
03-28-2020,624,4,0,0,+140,1.289
03-29-2020,759,6,0,0,+135,1.216
03-30-2020,874,6,0,0,+115,1.152
03-31-2020,1022,1,0,0,+148,1.169
04-01-2020,1209,23,0,0,+187,1.183
04-02-2020,1371,38,0,0,+162,1.134
04-03-2020,1685,45,0,0,+314,1.229
04-04-2020,2003,56,0,0,+318,1.189
04-05-2020,2177,62,0,0,+174,1.087
04-06-2020,2374,71,0,0,+197,1.090
04-07-2020,2641,85,0,0,+267,1.112
04-08-2020,2856,101,0,0,+215,1.081
04-09-2020,3093,119,0,0,+237,1.083
04-10-2020,3269,121,0,0,+176,1.057
04-11-2020,3403,132,0,0,+134,1.041
04-12-2020,3554,138,0,3416,+151,1.044
04-13-2020,3593,141,0,3452,+39,1.011
