Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,26,0,0,0,+0,0.000
03-23-2020,29,0,0,0,+3,1.115
03-24-2020,41,0,0,0,+12,1.414
03-25-2020,55,2,0,0,+14,1.341
03-26-2020,73,2,0,0,+18,1.327
03-27-2020,94,2,0,0,+21,1.288
03-28-2020,107,3,0,0,+13,1.138
03-29-2020,120,4,0,0,+13,1.121
03-30-2020,134,4,0,0,+14,1.117
03-31-2020,155,7,0,0,+21,1.157
04-01-2020,192,10,0,0,+37,1.239
04-02-2020,216,10,0,0,+24,1.125
04-03-2020,237,10,0,0,+21,1.097
04-04-2020,256,10,0,0,+19,1.080
04-05-2020,265,10,0,0,+9,1.035
04-06-2020,279,11,0,0,+14,1.053
04-07-2020,303,11,0,0,+24,1.086
04-08-2020,317,15,0,0,+14,1.046
04-09-2020,385,15,0,0,+68,1.215
04-10-2020,413,17,0,0,+28,1.073
04-11-2020,425,19,0,0,+12,1.029
04-12-2020,435,19,0,416,+10,1.024
04-13-2020,455,19,0,436,+20,1.046
04-14-2020,474,19,0,455,+19,1.042
04-15-2020,483,22,0,461,+9,1.019
04-16-2020,497,22,0,475,+14,1.029
04-17-2020,497,22,0,475,+0,1.000
04-18-2020,497,22,0,475,+0,1.000
04-19-2020,560,23,0,537,+63,1.127
04-20-2020,574,23,0,551,+14,1.025
04-21-2020,590,24,0,566,+16,1.028
04-22-2020,607,24,0,583,+17,1.029
04-23-2020,634,25,0,609,+27,1.044
04-24-2020,670,27,0,643,+36,1.057
04-25-2020,694,29,0,665,+24,1.036
04-26-2020,696,29,0,667,+2,1.003
04-27-2020,703,29,0,674,+7,1.010
04-28-2020,729,29,0,700,+26,1.037
04-29-2020,743,30,0,713,+14,1.019
04-30-2020,773,31,0,742,+30,1.040
05-01-2020,816,31,0,785,+43,1.056
05-02-2020,822,33,0,789,+6,1.007
05-03-2020,838,33,0,805,+16,1.019
05-04-2020,841,33,0,808,+3,1.004
05-05-2020,853,36,0,817,+12,1.014
05-06-2020,868,40,0,828,+15,1.018
05-07-2020,895,40,0,855,+27,1.031
05-08-2020,905,41,0,864,+10,1.011
05-09-2020,927,42,0,885,+22,1.024
05-10-2020,945,43,0,902,+18,1.019
05-11-2020,954,43,0,911,+9,1.010
05-12-2020,997,43,0,954,+43,1.045
05-13-2020,1007,43,0,964,+10,1.010
05-14-2020,1013,45,0,968,+6,1.006
05-15-2020,1035,45,0,990,+22,1.022
05-16-2020,1070,46,0,1024,+35,1.034
05-17-2020,1074,46,0,1028,+4,1.004
05-18-2020,1075,46,0,1029,+1,1.001
05-19-2020,1087,49,0,1038,+12,1.011
05-20-2020,1093,51,0,1042,+6,1.006
05-21-2020,1109,54,0,1055,+16,1.015
05-22-2020,1179,55,0,1124,+70,1.063
05-23-2020,1189,56,0,1133,+10,1.008
05-24-2020,1203,56,0,1147,+14,1.012
05-25-2020,1208,56,0,1152,+5,1.004
05-26-2020,1216,58,0,1158,+8,1.007
05-27-2020,1227,58,0,1169,+11,1.009
05-28-2020,1241,59,0,1182,+14,1.011
05-29-2020,1254,60,0,1194,+13,1.010
05-30-2020,1263,61,0,1202,+9,1.007
05-31-2020,1263,61,0,1202,+0,1.000
06-01-2020,1284,61,0,1223,+21,1.017
06-02-2020,1294,62,0,1232,+10,1.008
06-03-2020,1309,62,0,1247,+15,1.012
