Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+1,1.250
03-24-2020,10,0,0,0,+5,2.000
03-25-2020,10,0,0,0,+0,1.000
03-26-2020,13,0,0,0,+3,1.300
03-27-2020,13,0,0,0,+0,1.000
03-28-2020,23,0,0,0,+10,1.769
03-29-2020,26,0,0,0,+3,1.130
03-30-2020,34,0,0,0,+8,1.308
03-31-2020,34,0,0,0,+0,1.000
04-01-2020,50,1,0,0,+16,1.471
04-02-2020,61,1,0,0,+11,1.220
04-03-2020,71,1,0,0,+10,1.164
04-04-2020,80,1,0,0,+9,1.127
04-05-2020,95,2,0,0,+15,1.188
04-06-2020,100,2,0,0,+5,1.053
04-07-2020,118,2,0,0,+18,1.180
04-08-2020,125,2,0,0,+7,1.059
04-09-2020,158,3,0,0,+33,1.264
04-10-2020,172,3,0,0,+14,1.089
04-11-2020,181,3,0,0,+9,1.052
04-12-2020,195,3,0,192,+14,1.077
04-13-2020,206,3,0,203,+11,1.056
04-14-2020,229,4,0,225,+23,1.112
04-15-2020,246,4,0,242,+17,1.074
04-16-2020,249,6,0,243,+3,1.012
04-17-2020,261,6,0,255,+12,1.048
04-18-2020,268,6,0,262,+7,1.027
04-19-2020,275,7,0,268,+7,1.026
04-20-2020,279,7,0,272,+4,1.015
04-21-2020,284,8,0,276,+5,1.018
04-22-2020,301,8,0,293,+17,1.060
04-23-2020,317,11,0,306,+16,1.053
04-24-2020,323,11,0,312,+6,1.019
04-25-2020,364,11,0,353,+41,1.127
04-26-2020,384,14,0,370,+20,1.055
04-27-2020,397,15,0,382,+13,1.034
04-28-2020,411,15,0,396,+14,1.035
04-29-2020,422,15,0,407,+11,1.027
04-30-2020,439,15,0,424,+17,1.040
05-01-2020,451,17,0,434,+12,1.027
05-02-2020,474,17,0,457,+23,1.051
05-03-2020,489,17,0,472,+15,1.032
05-04-2020,550,18,0,532,+61,1.125
05-05-2020,574,18,0,556,+24,1.044
05-06-2020,579,18,0,561,+5,1.009
05-07-2020,609,18,0,591,+30,1.052
05-08-2020,620,20,0,600,+11,1.018
05-09-2020,638,21,0,617,+18,1.029
05-10-2020,660,21,0,639,+22,1.034
05-11-2020,669,21,0,648,+9,1.014
05-12-2020,676,23,0,653,+7,1.010
05-13-2020,686,23,0,663,+10,1.015
05-14-2020,698,23,0,675,+12,1.017
05-15-2020,713,23,0,690,+15,1.021
05-16-2020,751,31,0,720,+38,1.053
05-17-2020,760,31,0,729,+9,1.012
05-18-2020,772,31,0,741,+12,1.016
05-19-2020,785,35,0,750,+13,1.017
05-20-2020,802,35,0,767,+17,1.022
05-21-2020,817,35,0,782,+15,1.019
05-22-2020,828,35,0,793,+11,1.013
05-23-2020,864,38,0,826,+36,1.043
05-24-2020,878,38,0,840,+14,1.016
05-25-2020,905,38,0,867,+27,1.031
05-26-2020,917,38,0,879,+12,1.013
05-27-2020,929,46,0,883,+12,1.013
05-28-2020,959,46,0,913,+30,1.032
05-29-2020,988,46,0,942,+29,1.030
05-30-2020,1006,46,0,960,+18,1.018
05-31-2020,1027,46,0,981,+21,1.021
06-01-2020,1036,49,0,987,+9,1.009
06-02-2020,1049,49,0,1000,+13,1.013
06-03-2020,1058,49,0,1009,+9,1.009
