Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,45,0,0,0,+0,0.000
03-23-2020,53,0,0,0,+8,1.178
03-24-2020,60,1,0,0,+7,1.132
03-25-2020,81,1,0,0,+21,1.350
03-26-2020,111,1,0,0,+30,1.370
03-27-2020,123,1,0,0,+12,1.108
03-28-2020,146,1,0,0,+23,1.187
03-29-2020,194,1,0,0,+48,1.329
03-30-2020,228,1,0,0,+34,1.175
03-31-2020,249,1,0,0,+21,1.092
04-01-2020,277,1,0,0,+28,1.112
04-02-2020,301,2,0,0,+24,1.087
04-03-2020,322,3,0,0,+21,1.070
04-04-2020,349,4,0,0,+27,1.084
04-05-2020,364,5,0,0,+15,1.043
04-06-2020,377,5,0,0,+13,1.036
04-07-2020,397,6,0,0,+20,1.053
04-08-2020,422,6,0,0,+25,1.063
04-09-2020,422,7,0,0,+0,1.000
04-10-2020,456,8,0,0,+34,1.081
04-11-2020,456,8,0,0,+0,1.000
04-12-2020,494,9,0,485,+38,1.083
04-13-2020,520,11,0,509,+26,1.053
04-14-2020,537,11,0,526,+17,1.033
04-15-2020,563,12,0,551,+26,1.048
04-16-2020,579,17,0,562,+16,1.028
04-17-2020,598,17,0,581,+19,1.033
04-18-2020,598,17,0,581,+0,1.000
04-19-2020,637,19,0,618,+39,1.065
04-20-2020,646,21,0,625,+9,1.014
04-21-2020,646,21,0,625,+0,1.000
04-22-2020,667,22,0,645,+21,1.033
04-23-2020,600,23,0,577,+-67,0.900
04-24-2020,639,25,0,614,+39,1.065
04-25-2020,664,25,0,639,+25,1.039
04-26-2020,692,25,0,667,+28,1.042
04-27-2020,726,26,0,700,+34,1.049
04-28-2020,742,26,0,716,+16,1.022
04-29-2020,782,30,0,752,+40,1.054
04-30-2020,832,30,0,802,+50,1.064
05-01-2020,860,34,0,826,+28,1.034
05-02-2020,903,34,0,869,+43,1.050
05-03-2020,952,34,0,918,+49,1.054
05-04-2020,971,37,0,934,+19,1.020
05-05-2020,1002,37,0,965,+31,1.032
05-06-2020,1056,41,0,1015,+54,1.054
05-07-2020,1115,41,0,1074,+59,1.056
05-08-2020,1169,65,0,1104,+54,1.048
05-09-2020,1218,69,0,1149,+49,1.042
05-10-2020,1265,69,0,1196,+47,1.039
05-11-2020,1287,69,0,1218,+22,1.017
05-12-2020,1308,79,0,1229,+21,1.016
05-13-2020,1395,82,0,1313,+87,1.067
05-14-2020,1423,84,0,1339,+28,1.020
05-15-2020,1440,90,0,1350,+17,1.012
05-16-2020,1469,90,0,1379,+29,1.020
05-17-2020,1501,90,0,1411,+32,1.022
05-18-2020,1520,90,0,1430,+19,1.013
05-19-2020,1665,103,0,1562,+145,1.095
05-20-2020,1718,103,0,1615,+53,1.032
05-21-2020,1771,103,0,1668,+53,1.031
05-22-2020,1828,103,0,1725,+57,1.032
05-23-2020,1904,115,0,1789,+76,1.042
05-24-2020,1953,115,0,1838,+49,1.026
05-25-2020,1981,115,0,1866,+28,1.014
05-26-2020,2012,115,0,1897,+31,1.016
05-27-2020,2033,127,0,1906,+21,1.010
05-28-2020,2054,127,0,1927,+21,1.010
05-29-2020,2092,131,0,1961,+38,1.019
05-30-2020,2133,131,0,2002,+41,1.020
05-31-2020,2170,131,0,2039,+37,1.017
06-01-2020,2197,139,0,2058,+27,1.012
06-02-2020,2228,139,0,2089,+31,1.014
06-03-2020,2256,139,0,2117,+28,1.013
