Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,95,0,0,0,+0,0.000
03-23-2020,125,0,0,0,+30,1.316
03-24-2020,152,0,0,0,+27,1.216
03-25-2020,187,1,0,0,+35,1.230
03-26-2020,256,1,0,0,+69,1.369
03-27-2020,321,3,0,0,+65,1.254
03-28-2020,403,4,0,0,+82,1.255
03-29-2020,431,4,0,0,+28,1.069
03-30-2020,464,4,0,0,+33,1.077
03-31-2020,502,7,0,0,+38,1.082
04-01-2020,606,10,0,0,+104,1.207
04-02-2020,656,13,0,0,+50,1.083
04-03-2020,711,13,0,0,+55,1.084
04-04-2020,786,14,0,0,+75,1.105
04-05-2020,834,14,0,0,+48,1.061
04-06-2020,882,14,0,0,+48,1.058
04-07-2020,931,15,0,0,+49,1.056
04-08-2020,1016,17,0,0,+85,1.091
04-09-2020,1079,17,0,0,+63,1.062
04-10-2020,1138,17,0,0,+59,1.055
04-11-2020,1221,18,0,0,+83,1.073
04-12-2020,1277,19,0,1258,+56,1.046
