Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,33,2,0,0,+0,0.000
03-23-2020,48,2,0,0,+15,1.455
03-24-2020,50,2,0,0,+2,1.042
03-25-2020,77,2,0,0,+27,1.540
03-26-2020,110,4,0,0,+33,1.429
03-27-2020,156,4,0,0,+46,1.418
03-28-2020,206,4,0,0,+50,1.321
03-29-2020,246,4,0,0,+40,1.194
03-30-2020,293,4,0,0,+47,1.191
03-31-2020,373,4,0,0,+80,1.273
04-01-2020,392,4,0,0,+19,1.051
04-02-2020,541,5,0,0,+149,1.380
04-03-2020,602,6,0,0,+61,1.113
04-04-2020,657,8,0,0,+55,1.091
04-05-2020,713,8,0,0,+56,1.085
04-06-2020,744,8,0,0,+31,1.043
04-07-2020,763,9,0,0,+19,1.026
04-08-2020,803,10,0,0,+40,1.052
04-09-2020,857,11,0,0,+54,1.067
04-10-2020,895,13,0,0,+38,1.044
04-11-2020,914,13,0,0,+19,1.021
04-12-2020,949,13,0,936,+35,1.038
04-13-2020,1024,13,0,1011,+75,1.079
04-14-2020,1038,13,0,1025,+14,1.014
04-15-2020,1073,18,0,1055,+35,1.034
04-16-2020,1114,21,0,1093,+41,1.038
04-17-2020,1158,23,0,1135,+44,1.039
04-18-2020,1180,23,0,1157,+22,1.019
04-19-2020,1198,23,0,1175,+18,1.015
04-20-2020,1216,27,0,1189,+18,1.015
04-21-2020,1235,27,0,1208,+19,1.016
04-22-2020,1251,28,0,1223,+16,1.013
04-23-2020,1274,29,0,1245,+23,1.018
04-24-2020,1290,30,0,1260,+16,1.013
04-25-2020,1304,30,0,1274,+14,1.011
04-26-2020,1322,30,0,1292,+18,1.014
04-27-2020,1339,30,0,1309,+17,1.013
04-28-2020,1363,32,0,1331,+24,1.018
04-29-2020,1371,33,0,1338,+8,1.006
04-30-2020,1385,34,0,1351,+14,1.010
05-01-2020,1413,34,0,1379,+28,1.020
05-02-2020,1422,35,0,1387,+9,1.006
05-03-2020,1434,35,0,1399,+12,1.008
05-04-2020,1438,35,0,1403,+4,1.003
05-05-2020,1446,35,0,1411,+8,1.006
05-06-2020,1460,36,0,1424,+14,1.010
05-07-2020,1474,36,0,1438,+14,1.010
05-08-2020,1478,35,0,1443,+4,1.003
05-09-2020,1505,35,0,1470,+27,1.018
05-10-2020,1505,35,0,1470,+0,1.000
05-11-2020,1512,35,0,1477,+7,1.005
05-12-2020,1537,35,0,1502,+25,1.017
05-13-2020,1553,36,0,1517,+16,1.010
05-14-2020,1577,36,0,1541,+24,1.015
05-15-2020,1615,36,0,1579,+38,1.024
05-16-2020,1629,38,0,1591,+14,1.009
05-17-2020,1655,38,0,1617,+26,1.016
05-18-2020,1679,38,0,1641,+24,1.015
05-19-2020,1699,38,0,1661,+20,1.012
05-20-2020,1708,38,0,1670,+9,1.005
05-21-2020,1726,38,0,1688,+18,1.011
05-22-2020,1744,38,0,1706,+18,1.010
05-23-2020,1768,39,0,1729,+24,1.014
05-24-2020,1808,39,0,1769,+40,1.023
05-25-2020,1831,39,0,1792,+23,1.013
05-26-2020,1849,39,0,1810,+18,1.010
05-27-2020,1877,39,0,1838,+28,1.015
05-28-2020,1902,40,0,1862,+25,1.013
05-29-2020,1945,41,0,1904,+43,1.023
05-30-2020,1976,41,0,1935,+31,1.016
05-31-2020,2002,41,0,1961,+26,1.013
06-01-2020,2031,41,0,1990,+29,1.014
06-02-2020,2048,41,0,2007,+17,1.008
06-03-2020,2121,41,0,2080,+73,1.036
