Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,247,0,0,0,+0,0.000
03-23-2020,389,0,0,0,+142,1.575
03-24-2020,498,0,0,0,+109,1.280
03-25-2020,638,1,0,0,+140,1.281
03-26-2020,751,1,0,0,+113,1.177
03-27-2020,910,1,0,0,+159,1.212
03-28-2020,1101,4,0,0,+191,1.210
03-29-2020,1247,5,0,0,+146,1.133
03-30-2020,1435,5,0,0,+188,1.151
03-31-2020,1556,5,0,0,+121,1.084
04-01-2020,1756,19,0,0,+200,1.129
04-02-2020,1993,19,0,0,+237,1.135
04-03-2020,2397,30,0,0,+404,1.203
04-04-2020,2741,40,0,0,+344,1.144
04-05-2020,3187,53,0,0,+446,1.163
04-06-2020,3533,76,0,0,+346,1.109
04-07-2020,3829,93,0,0,+296,1.084
04-08-2020,4075,107,0,0,+246,1.064
04-09-2020,4309,115,0,0,+234,1.057
04-10-2020,4532,115,0,0,+223,1.052
04-11-2020,4847,132,0,0,+315,1.070
04-12-2020,5027,145,0,4882,+180,1.037
04-13-2020,5598,171,0,5427,+571,1.114
04-14-2020,5830,178,0,5652,+232,1.041
04-15-2020,5830,178,0,5652,+0,1.000
04-16-2020,6266,204,0,6062,+436,1.075
04-17-2020,6514,204,0,6310,+248,1.040
04-18-2020,6514,211,0,6303,+0,1.000
04-19-2020,6514,211,0,6303,+0,1.000
04-20-2020,6514,211,0,6303,+0,1.000
04-21-2020,7029,231,0,6798,+515,1.079
04-22-2020,7152,244,0,6908,+123,1.017
04-23-2020,6816,268,0,6548,+-336,0.953
04-24-2020,7155,274,0,6881,+339,1.050
04-25-2020,7973,274,0,7699,+818,1.114
04-26-2020,8106,274,0,7832,+133,1.017
04-27-2020,8238,299,0,7939,+132,1.016
04-28-2020,8374,299,0,8075,+136,1.017
04-29-2020,8488,311,0,8177,+114,1.014
04-30-2020,8650,320,0,8330,+162,1.019
05-01-2020,8751,329,0,8422,+101,1.012
05-02-2020,8910,329,0,8581,+159,1.018
05-03-2020,8967,329,0,8638,+57,1.006
05-04-2020,9015,343,0,8672,+48,1.005
05-05-2020,9144,354,0,8790,+129,1.014
05-06-2020,9215,358,0,8857,+71,1.008
05-07-2020,9328,364,0,8964,+113,1.012
05-08-2020,9402,367,0,9035,+74,1.008
05-09-2020,9486,367,0,9119,+84,1.009
05-10-2020,9543,367,0,9176,+57,1.006
05-11-2020,9584,388,0,9196,+41,1.004
05-12-2020,9632,395,0,9237,+48,1.005
05-13-2020,9693,398,0,9295,+61,1.006
05-14-2020,9771,403,0,9368,+78,1.008
05-15-2020,9825,408,0,9417,+54,1.006
05-16-2020,9879,408,0,9471,+54,1.005
05-17-2020,9943,408,0,9535,+64,1.006
05-18-2020,9965,408,0,9557,+22,1.002
05-19-2020,9988,419,0,9569,+23,1.002
05-20-2020,10043,419,0,9624,+55,1.006
05-21-2020,10092,428,0,9664,+49,1.005
05-22-2020,10142,428,0,9714,+50,1.005
05-23-2020,10197,429,0,9768,+55,1.005
05-24-2020,10225,429,0,9796,+28,1.003
05-25-2020,10244,429,0,9815,+19,1.002
05-26-2020,10277,429,0,9848,+33,1.003
05-27-2020,10292,443,0,9849,+15,1.001
05-28-2020,10325,443,0,9882,+33,1.003
05-29-2020,10361,444,0,9917,+36,1.003
05-30-2020,10389,444,0,9945,+28,1.003
05-31-2020,10406,444,0,9962,+17,1.002
06-01-2020,10422,444,0,9978,+16,1.002
06-02-2020,10449,444,0,10005,+27,1.003
06-03-2020,10460,444,0,10016,+11,1.001
