Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,451,15,0,0,+0,0.000
03-23-2020,567,20,0,0,+116,1.257
03-24-2020,675,26,0,0,+108,1.190
03-25-2020,827,37,0,0,+152,1.225
03-26-2020,997,46,0,0,+170,1.206
03-27-2020,1170,57,0,0,+173,1.174
03-28-2020,1298,70,0,0,+128,1.109
03-29-2020,1350,73,0,0,+52,1.040
03-30-2020,1480,86,0,0,+130,1.096
03-31-2020,1834,101,0,0,+354,1.239
04-01-2020,2270,115,0,0,+436,1.238
04-02-2020,3148,125,0,0,+878,1.387
04-03-2020,3476,148,0,0,+328,1.104
04-04-2020,3966,153,0,0,+490,1.141
04-05-2020,4066,161,0,0,+100,1.025
04-06-2020,4565,171,0,0,+499,1.123
04-07-2020,4942,185,0,0,+377,1.083
04-08-2020,5070,208,0,0,+128,1.026
04-09-2020,5242,224,0,0,+172,1.034
04-10-2020,5416,225,0,0,+174,1.033
04-11-2020,5535,232,0,0,+119,1.022
04-12-2020,5600,235,0,5365,+65,1.012
04-13-2020,5651,244,0,5407,+51,1.009
04-14-2020,5718,276,0,5442,+67,1.012
04-15-2020,5769,287,0,5482,+51,1.009
04-16-2020,5847,302,0,5545,+78,1.014
04-17-2020,5906,317,0,5589,+59,1.010
04-18-2020,5953,324,0,5629,+47,1.008
04-19-2020,6000,329,0,5671,+47,1.008
04-20-2020,6148,339,0,5809,+148,1.025
04-21-2020,6169,344,0,5825,+21,1.003
04-22-2020,6209,367,0,5842,+40,1.006
04-23-2020,6263,387,0,5876,+54,1.009
04-24-2020,6286,392,0,5894,+23,1.004
04-25-2020,6297,399,0,5898,+11,1.002
04-26-2020,6342,406,0,5936,+45,1.007
04-27-2020,6365,406,0,5959,+23,1.004
04-28-2020,6380,410,0,5970,+15,1.002
04-29-2020,6420,416,0,6004,+40,1.006
04-30-2020,6452,434,0,6018,+32,1.005
05-01-2020,6495,437,0,6058,+43,1.007
05-02-2020,6524,439,0,6085,+29,1.004
05-03-2020,6538,441,0,6097,+14,1.002
05-04-2020,6557,447,0,6110,+19,1.003
05-05-2020,6575,453,0,6122,+18,1.003
05-06-2020,6608,464,0,6144,+33,1.005
05-07-2020,6626,463,0,6163,+18,1.003
05-08-2020,6645,463,0,6182,+19,1.003
05-09-2020,6674,468,0,6206,+29,1.004
05-10-2020,6682,468,0,6214,+8,1.001
05-11-2020,6693,470,0,6223,+11,1.002
05-12-2020,6718,477,0,6241,+25,1.004
05-13-2020,6753,481,0,6272,+35,1.005
05-14-2020,6768,482,0,6286,+15,1.002
05-15-2020,6787,489,0,6298,+19,1.003
05-16-2020,6781,495,0,6286,+-6,0.999
05-17-2020,6809,495,0,6314,+28,1.004
05-18-2020,6822,495,0,6327,+13,1.002
05-19-2020,6869,494,0,6375,+47,1.007
05-20-2020,6884,500,0,6384,+15,1.002
05-21-2020,6904,500,0,6404,+20,1.003
05-22-2020,6944,500,0,6444,+40,1.006
05-23-2020,6944,500,0,6444,+0,1.000
05-24-2020,6953,500,0,6453,+9,1.001
05-25-2020,7005,502,0,6503,+52,1.007
05-26-2020,7021,504,0,6517,+16,1.002
05-27-2020,7045,506,0,6539,+24,1.003
05-28-2020,7067,505,0,6562,+22,1.003
05-29-2020,7067,505,0,6562,+0,1.000
05-30-2020,7108,507,0,6601,+41,1.006
05-31-2020,7127,507,0,6620,+19,1.003
06-01-2020,7141,507,0,6634,+14,1.002
06-02-2020,7156,506,0,6650,+15,1.002
06-03-2020,7174,509,0,6665,+18,1.003
