Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,9,1,0,0,+7,4.500
03-24-2020,7,1,0,0,+-2,0.778
03-25-2020,10,1,0,0,+3,1.429
03-26-2020,19,1,0,0,+9,1.900
03-27-2020,25,1,0,0,+6,1.316
03-28-2020,34,1,0,0,+9,1.360
03-29-2020,41,1,0,0,+7,1.206
03-30-2020,44,1,0,0,+3,1.073
03-31-2020,57,1,0,0,+13,1.295
04-01-2020,80,1,0,0,+23,1.404
04-02-2020,94,1,0,0,+14,1.175
04-03-2020,114,1,0,0,+20,1.213
04-04-2020,176,1,0,0,+62,1.544
04-05-2020,182,1,0,0,+6,1.034
04-06-2020,230,1,0,0,+48,1.264
04-07-2020,264,1,0,0,+34,1.148
04-08-2020,275,3,0,0,+11,1.042
04-09-2020,300,4,0,0,+25,1.091
04-10-2020,326,5,0,0,+26,1.087
04-11-2020,350,5,0,0,+24,1.074
04-12-2020,367,5,0,362,+17,1.049
04-13-2020,384,5,0,379,+17,1.046
04-14-2020,387,7,0,380,+3,1.008
04-15-2020,411,8,0,403,+24,1.062
04-16-2020,429,9,0,420,+18,1.044
04-17-2020,470,11,0,459,+41,1.096
04-18-2020,483,12,0,471,+13,1.028
04-19-2020,511,13,0,498,+28,1.058
04-20-2020,518,13,0,505,+7,1.014
04-21-2020,532,13,0,519,+14,1.027
04-22-2020,552,14,0,538,+20,1.038
04-23-2020,579,16,0,563,+27,1.049
04-24-2020,598,16,0,582,+19,1.033
04-25-2020,609,16,0,593,+11,1.018
04-26-2020,622,16,0,606,+13,1.021
04-27-2020,645,16,0,629,+23,1.037
04-28-2020,651,16,0,635,+6,1.009
04-29-2020,671,16,0,655,+20,1.031
04-30-2020,706,16,0,690,+35,1.052
05-01-2020,730,21,0,709,+24,1.034
05-02-2020,755,22,0,733,+25,1.034
05-03-2020,770,22,0,748,+15,1.020
05-04-2020,785,22,0,763,+15,1.019
05-05-2020,793,22,0,771,+8,1.010
05-06-2020,806,24,0,782,+13,1.016
05-07-2020,814,25,0,789,+8,1.010
05-08-2020,820,25,0,795,+6,1.007
05-09-2020,836,25,0,811,+16,1.020
05-10-2020,842,25,0,817,+6,1.007
05-11-2020,842,25,0,817,+0,1.000
05-12-2020,856,27,0,829,+14,1.017
05-13-2020,861,31,0,830,+5,1.006
05-14-2020,869,31,0,838,+8,1.009
05-15-2020,891,31,0,860,+22,1.025
05-16-2020,931,31,0,900,+40,1.045
05-17-2020,946,31,0,915,+15,1.016
05-18-2020,956,31,0,925,+10,1.011
05-19-2020,966,32,0,934,+10,1.010
05-20-2020,980,34,0,946,+14,1.014
05-21-2020,1032,34,0,998,+52,1.053
05-22-2020,1041,34,0,1007,+9,1.009
05-23-2020,1041,34,0,1007,+0,1.000
05-24-2020,1045,35,0,1010,+4,1.004
05-25-2020,1102,36,0,1066,+57,1.055
05-26-2020,1125,37,0,1088,+23,1.021
05-27-2020,1150,37,0,1113,+25,1.022
05-28-2020,1166,40,0,1126,+16,1.014
05-29-2020,1166,41,0,1125,+0,1.000
05-30-2020,1219,41,0,1178,+53,1.045
05-31-2020,1248,41,0,1207,+29,1.024
06-01-2020,1264,41,0,1223,+16,1.013
06-02-2020,1289,44,0,1245,+25,1.020
06-03-2020,1312,48,0,1264,+23,1.018
