Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
04-14-2020,665,0,0,665,+0,0.000
04-15-2020,683,0,0,683,+18,1.027
04-16-2020,707,0,0,707,+24,1.035
04-17-2020,780,7,0,773,+73,1.103
04-18-2020,815,7,0,808,+35,1.045
04-19-2020,868,7,0,861,+53,1.065
04-20-2020,951,7,0,944,+83,1.096
04-21-2020,970,7,0,963,+19,1.020
04-22-2020,1003,9,0,994,+33,1.034
04-23-2020,978,10,0,968,+-25,0.975
04-24-2020,916,10,0,906,+-62,0.937
04-25-2020,991,10,0,981,+75,1.082
04-26-2020,1022,9,0,1013,+31,1.031
04-27-2020,1027,13,0,1014,+5,1.005
04-28-2020,972,13,0,959,+-55,0.946
04-29-2020,1018,14,0,1004,+46,1.047
04-30-2020,962,14,0,948,+-56,0.945
05-01-2020,1068,14,0,1054,+106,1.110
05-02-2020,1062,14,0,1048,+-6,0.994
05-03-2020,1054,14,0,1040,+-8,0.992
05-04-2020,1084,18,0,1066,+30,1.028
05-05-2020,1043,18,0,1025,+-41,0.962
05-06-2020,1017,18,0,999,+-26,0.975
05-07-2020,1089,19,0,1070,+72,1.071
05-08-2020,1088,22,0,1066,+-1,0.999
05-09-2020,1108,22,0,1086,+20,1.018
05-10-2020,1490,22,0,1468,+382,1.345
05-11-2020,1554,24,0,1530,+64,1.043
05-12-2020,1582,24,0,1558,+28,1.018
05-13-2020,1561,23,0,1538,+-21,0.987
05-14-2020,1555,23,0,1532,+-6,0.996
05-15-2020,1530,25,0,1505,+-25,0.984
05-16-2020,1557,25,0,1532,+27,1.018
05-17-2020,1601,25,0,1576,+44,1.028
05-18-2020,1649,25,0,1624,+48,1.030
05-19-2020,1641,25,0,1616,+-8,0.995
05-20-2020,1639,25,0,1614,+-2,0.999
05-21-2020,1694,26,0,1668,+55,1.034
05-22-2020,1748,29,0,1719,+54,1.032
05-23-2020,1834,28,0,1806,+86,1.049
05-24-2020,1913,28,0,1885,+79,1.043
05-25-2020,1986,28,0,1958,+73,1.038
05-26-2020,1917,28,0,1889,+-69,0.965
05-27-2020,1925,29,0,1896,+8,1.004
05-28-2020,1903,31,0,1872,+-22,0.989
05-29-2020,1975,31,0,1944,+72,1.038
05-30-2020,1995,31,0,1964,+20,1.010
05-31-2020,2012,34,0,1978,+17,1.009
06-01-2020,2142,34,0,2108,+130,1.065
06-02-2020,2144,32,0,2112,+2,1.001
06-03-2020,2183,31,0,2152,+39,1.018
