Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,72,0,0,0,+0,0.000
03-23-2020,89,3,0,0,+17,1.236
03-24-2020,101,3,0,0,+12,1.135
03-25-2020,118,3,0,0,+17,1.168
03-26-2020,169,3,0,0,+51,1.432
03-27-2020,194,3,0,0,+25,1.148
03-28-2020,292,5,0,0,+98,1.505
03-29-2020,333,5,0,0,+41,1.140
03-30-2020,423,7,0,0,+90,1.270
03-31-2020,551,14,0,0,+128,1.303
04-01-2020,567,14,0,0,+16,1.029
04-02-2020,737,27,0,0,+170,1.300
04-03-2020,858,29,0,0,+121,1.164
04-04-2020,954,35,0,0,+96,1.112
04-05-2020,1000,49,0,0,+46,1.048
04-06-2020,1069,49,0,0,+69,1.069
04-07-2020,1136,51,0,0,+67,1.063
