Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,95,0,0,0,+0,0.000
03-23-2020,141,0,0,0,+46,1.484
03-24-2020,216,0,0,0,+75,1.532
03-25-2020,255,0,0,0,+39,1.181
03-26-2020,399,0,0,0,+144,1.565
03-27-2020,484,7,0,0,+85,1.213
03-28-2020,608,7,0,0,+124,1.256
03-29-2020,831,10,0,0,+223,1.367
03-30-2020,1091,10,0,0,+260,1.313
03-31-2020,1294,1,0,0,+203,1.186
04-01-2020,1494,15,0,0,+200,1.155
04-02-2020,1750,22,0,0,+256,1.171
04-03-2020,2216,34,0,0,+466,1.266
04-04-2020,2856,38,0,0,+640,1.289
04-05-2020,3227,42,0,0,+371,1.130
04-06-2020,3756,53,0,0,+529,1.164
04-07-2020,4104,62,0,0,+348,1.093
04-08-2020,4372,71,0,0,+268,1.065
04-09-2020,4690,82,0,0,+318,1.073
04-10-2020,5017,101,0,0,+327,1.070
04-11-2020,5295,119,0,0,+278,1.055
04-12-2020,5590,131,0,5459,+295,1.056
04-13-2020,5950,136,0,5814,+360,1.064
