Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,96,0,0,0,+0,0.000
03-23-2020,175,0,0,0,+79,1.823
03-24-2020,252,0,0,0,+77,1.440
03-25-2020,342,1,0,0,+90,1.357
03-26-2020,475,1,0,0,+133,1.389
03-27-2020,637,2,0,0,+162,1.341
03-28-2020,803,5,0,0,+166,1.261
03-29-2020,890,8,0,0,+87,1.108
03-30-2020,1072,8,0,0,+182,1.204
03-31-2020,1315,10,0,0,+243,1.227
04-01-2020,1675,10,0,0,+360,1.274
04-02-2020,2100,13,0,0,+425,1.254
04-03-2020,2430,14,0,0,+330,1.157
04-04-2020,3008,24,0,0,+578,1.238
04-05-2020,3189,28,0,0,+181,1.060
04-06-2020,3728,45,0,0,+539,1.169
04-07-2020,4272,65,0,0,+544,1.146
04-08-2020,4777,87,0,0,+505,1.118
04-09-2020,5029,87,0,0,+252,1.053
04-10-2020,5521,110,0,0,+492,1.098
04-11-2020,6022,137,0,0,+501,1.091
04-12-2020,6386,176,0,6210,+364,1.060
04-13-2020,6813,190,0,6623,+427,1.067
04-14-2020,7130,206,0,6924,+317,1.047
04-15-2020,7441,222,0,7219,+311,1.044
04-16-2020,8045,264,0,7781,+604,1.081
04-17-2020,8563,298,0,8265,+518,1.064
04-18-2020,9014,342,0,8672,+451,1.053
04-19-2020,9214,365,0,8849,+200,1.022
04-20-2020,9553,370,0,9183,+339,1.037
04-21-2020,10028,394,0,9634,+475,1.050
04-22-2020,10028,394,0,9634,+0,1.000
04-23-2020,11226,443,0,10783,+1198,1.119
04-24-2020,11877,449,0,11428,+651,1.058
04-25-2020,11877,449,0,11428,+0,1.000
04-26-2020,12566,472,0,12094,+689,1.058
04-27-2020,12868,484,0,12384,+302,1.024
04-28-2020,13445,516,0,12929,+577,1.045
04-29-2020,13803,541,0,13262,+358,1.027
04-30-2020,14468,541,0,13927,+665,1.048
05-01-2020,15137,638,0,14499,+669,1.046
05-02-2020,15137,638,0,14499,+0,1.000
05-03-2020,15137,638,0,14499,+0,1.000
05-04-2020,16040,726,0,15314,+903,1.060
05-05-2020,16410,743,0,15667,+370,1.023
05-06-2020,16697,803,0,15894,+287,1.017
05-07-2020,17047,816,0,16231,+350,1.021
05-08-2020,17517,875,0,16642,+470,1.028
05-09-2020,17881,891,0,16990,+364,1.021
05-10-2020,18211,894,0,17317,+330,1.018
05-11-2020,18313,893,0,17420,+102,1.006
05-12-2020,18537,908,0,17629,+224,1.012
05-13-2020,18779,986,0,17793,+242,1.013
05-14-2020,19093,1008,0,18085,+314,1.017
05-15-2020,19349,1021,0,18328,+256,1.013
05-16-2020,19606,1031,0,18575,+257,1.013
05-17-2020,19606,1031,0,18575,+0,1.000
05-18-2020,19953,1080,0,18873,+347,1.018
05-19-2020,20132,1109,0,19023,+179,1.009
05-20-2020,20359,1152,0,19207,+227,1.011
05-21-2020,20700,1178,0,19522,+341,1.017
05-22-2020,21009,1221,0,19788,+309,1.015
05-23-2020,21234,1233,0,20001,+225,1.011
05-24-2020,21234,1233,0,20001,+0,1.000
05-25-2020,21234,1233,0,20001,+0,1.000
05-26-2020,21738,1243,0,20495,+504,1.024
05-27-2020,21975,1262,0,20713,+237,1.011
05-28-2020,22150,1282,0,20868,+175,1.008
05-29-2020,22405,1300,0,21105,+255,1.012
05-30-2020,22629,1308,0,21321,+224,1.010
05-31-2020,22629,1316,0,21313,+0,1.000
06-01-2020,22881,1320,0,21561,+252,1.011
06-02-2020,23034,1346,0,21688,+153,1.007
06-03-2020,23160,1359,0,21801,+126,1.005
