Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,1,0,0,0,+1,0.000
03-26-2020,2,0,0,0,+1,2.000
03-27-2020,2,0,0,0,+0,1.000
03-28-2020,4,0,0,0,+2,2.000
03-29-2020,4,0,0,0,+0,1.000
03-30-2020,5,0,0,0,+1,1.250
03-31-2020,12,0,0,0,+7,2.400
04-01-2020,12,0,0,0,+0,1.000
04-02-2020,11,0,0,0,+-1,0.917
04-03-2020,13,0,0,0,+2,1.182
04-04-2020,20,0,0,0,+7,1.538
04-05-2020,29,0,0,0,+9,1.450
04-06-2020,29,0,0,0,+0,1.000
04-07-2020,31,0,0,0,+2,1.069
04-08-2020,35,0,0,0,+4,1.129
04-09-2020,39,0,0,0,+4,1.114
04-10-2020,44,0,0,0,+5,1.128
04-11-2020,51,0,0,0,+7,1.159
04-12-2020,58,0,0,58,+7,1.137
04-13-2020,83,0,0,83,+25,1.431
04-14-2020,97,0,0,97,+14,1.169
04-15-2020,172,0,0,172,+75,1.773
04-16-2020,196,4,0,192,+24,1.140
04-17-2020,253,4,0,249,+57,1.291
04-18-2020,302,4,0,298,+49,1.194
04-19-2020,477,4,0,473,+175,1.579
04-20-2020,1246,5,0,1241,+769,2.612
04-21-2020,1635,5,0,1630,+389,1.312
04-22-2020,1658,5,0,1653,+23,1.014
04-23-2020,1661,5,0,1656,+3,1.002
04-24-2020,1659,5,0,1654,+-2,0.999
04-25-2020,1662,5,0,1657,+3,1.002
04-26-2020,1662,5,0,1657,+0,1.000
04-27-2020,1698,5,0,1693,+36,1.022
04-28-2020,1706,7,0,1699,+8,1.005
04-29-2020,1722,20,0,1702,+16,1.009
04-30-2020,1732,21,0,1711,+10,1.006
05-01-2020,1731,22,0,1709,+-1,0.999
05-02-2020,1724,22,0,1702,+-7,0.996
05-03-2020,1729,22,0,1707,+5,1.003
05-04-2020,1828,22,0,1806,+99,1.057
05-05-2020,1831,22,0,1809,+3,1.002
05-06-2020,1836,22,0,1814,+5,1.003
05-07-2020,1841,23,0,1818,+5,1.003
05-08-2020,1842,23,0,1819,+1,1.001
05-09-2020,1844,23,0,1821,+2,1.001
05-10-2020,1845,23,0,1822,+1,1.001
05-11-2020,1933,23,0,1910,+88,1.048
05-12-2020,1955,24,0,1931,+22,1.011
05-13-2020,1958,25,0,1933,+3,1.002
05-14-2020,1990,25,0,1965,+32,1.016
05-15-2020,2005,25,0,1980,+15,1.008
05-16-2020,2011,25,0,1986,+6,1.003
05-17-2020,2018,25,0,1993,+7,1.003
05-18-2020,2021,25,0,1996,+3,1.001
05-19-2020,2025,31,0,1994,+4,1.002
05-20-2020,2029,32,0,1997,+4,1.002
05-21-2020,2031,32,0,1999,+2,1.001
05-22-2020,2033,32,0,2001,+2,1.001
05-23-2020,2038,35,0,2003,+5,1.002
05-24-2020,2042,35,0,2007,+4,1.002
05-25-2020,2043,35,0,2008,+1,1.000
05-26-2020,2046,35,0,2011,+3,1.001
05-27-2020,2046,35,0,2011,+0,1.000
05-28-2020,2048,36,0,2012,+2,1.001
05-29-2020,2050,36,0,2014,+2,1.001
05-30-2020,2050,37,0,2013,+0,1.000
05-31-2020,2074,37,0,2037,+24,1.012
06-01-2020,2086,37,0,2049,+12,1.006
06-02-2020,2092,37,0,2055,+6,1.003
06-03-2020,2095,37,0,2058,+3,1.001
