Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,107,1,0,0,+0,0.000
03-23-2020,126,1,0,0,+19,1.178
03-24-2020,138,1,0,0,+12,1.095
03-25-2020,155,2,0,0,+17,1.123
03-26-2020,186,4,0,0,+31,1.200
03-27-2020,231,5,0,0,+45,1.242
03-28-2020,231,5,0,0,+0,1.000
03-29-2020,317,6,0,0,+86,1.372
03-30-2020,317,6,0,0,+0,1.000
03-31-2020,377,6,0,0,+60,1.189
04-01-2020,377,6,0,0,+0,1.000
04-02-2020,498,7,0,0,+121,1.321
04-03-2020,571,7,0,0,+73,1.147
04-04-2020,620,8,0,0,+49,1.086
04-05-2020,688,10,0,0,+68,1.110
04-06-2020,717,12,0,0,+29,1.042
04-07-2020,760,14,0,0,+43,1.060
04-08-2020,795,16,0,0,+35,1.046
04-09-2020,838,17,0,0,+43,1.054
04-10-2020,875,19,0,0,+37,1.044
04-11-2020,922,19,0,0,+47,1.054
04-12-2020,931,20,0,911,+9,1.010
04-13-2020,969,20,0,949,+38,1.041
04-14-2020,969,20,0,949,+0,1.000
04-15-2020,1000,23,0,977,+31,1.032
04-16-2020,1022,28,0,994,+22,1.022
04-17-2020,1086,28,0,1058,+64,1.063
04-18-2020,1086,30,0,1056,+0,1.000
04-19-2020,1143,32,0,1111,+57,1.052
04-20-2020,1188,34,0,1154,+45,1.039
04-21-2020,1219,36,0,1183,+31,1.026
