Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,17,0,0,0,+0,0.000
03-23-2020,24,0,0,0,+7,1.412
03-24-2020,42,1,0,0,+18,1.750
03-25-2020,49,1,0,0,+7,1.167
03-26-2020,75,1,0,0,+26,1.531
03-27-2020,102,4,0,0,+27,1.360
03-28-2020,120,4,0,0,+18,1.176
03-29-2020,153,4,0,0,+33,1.275
03-30-2020,187,4,0,0,+34,1.222
03-31-2020,202,4,0,0,+15,1.080
04-01-2020,217,4,0,0,+15,1.074
04-02-2020,237,11,0,0,+20,1.092
04-03-2020,280,11,0,0,+43,1.181
04-04-2020,326,11,0,0,+46,1.164
04-05-2020,372,12,0,0,+46,1.141
04-06-2020,415,13,0,0,+43,1.116
04-07-2020,415,13,0,0,+0,1.000
04-08-2020,464,16,0,0,+49,1.118
04-09-2020,512,16,0,0,+48,1.103
04-10-2020,543,16,0,0,+31,1.061
04-11-2020,591,16,0,0,+48,1.088
04-12-2020,622,29,0,593,+31,1.052
04-13-2020,668,29,0,639,+46,1.074
04-14-2020,685,29,0,656,+17,1.025
04-15-2020,700,29,0,671,+15,1.022
04-16-2020,760,29,0,731,+60,1.086
04-17-2020,819,29,0,790,+59,1.078
04-18-2020,856,56,0,800,+37,1.045
04-19-2020,913,56,0,857,+57,1.067
04-20-2020,941,58,0,883,+28,1.031
04-21-2020,963,65,0,898,+22,1.023
04-22-2020,973,68,0,905,+10,1.010
04-23-2020,1026,70,0,956,+53,1.054
04-24-2020,1060,74,0,986,+34,1.033
04-25-2020,1090,76,0,1014,+30,1.028
04-26-2020,1136,76,0,1060,+46,1.042
04-27-2020,1164,76,0,1088,+28,1.025
04-28-2020,1188,76,0,1112,+24,1.021
04-29-2020,1215,80,0,1135,+27,1.023
04-30-2020,1241,80,0,1161,+26,1.021
05-01-2020,1267,81,0,1186,+26,1.021
05-02-2020,1300,81,0,1219,+33,1.026
05-03-2020,1326,81,0,1245,+26,1.020
05-04-2020,1346,81,0,1265,+20,1.015
05-05-2020,1379,105,0,1274,+33,1.025
05-06-2020,1425,116,0,1309,+46,1.033
05-07-2020,1465,118,0,1347,+40,1.028
05-08-2020,1520,131,0,1389,+55,1.038
05-09-2020,1554,133,0,1421,+34,1.022
05-10-2020,1585,134,0,1451,+31,1.020
05-11-2020,1602,134,0,1468,+17,1.011
05-12-2020,1623,136,0,1487,+21,1.013
05-13-2020,1661,144,0,1517,+38,1.023
05-14-2020,1696,152,0,1544,+35,1.021
05-15-2020,1750,155,0,1595,+54,1.032
05-16-2020,1781,157,0,1624,+31,1.018
05-17-2020,1814,157,0,1657,+33,1.019
05-18-2020,1825,157,0,1668,+11,1.006
05-19-2020,1888,158,0,1730,+63,1.035
05-20-2020,1903,167,0,1736,+15,1.008
05-21-2020,1944,174,0,1770,+41,1.022
05-22-2020,1974,174,0,1800,+30,1.015
05-23-2020,2002,173,0,1829,+28,1.014
05-24-2020,2027,172,0,1855,+25,1.012
05-25-2020,2046,173,0,1873,+19,1.009
05-26-2020,2075,173,0,1902,+29,1.014
05-27-2020,2119,175,0,1944,+44,1.021
05-28-2020,2167,186,0,1981,+48,1.023
05-29-2020,2234,185,0,2049,+67,1.031
05-30-2020,2290,185,0,2105,+56,1.025
05-31-2020,2368,185,0,2183,+78,1.034
06-01-2020,2382,185,0,2197,+14,1.006
06-02-2020,2496,191,0,2305,+114,1.048
06-03-2020,2627,196,0,2431,+131,1.052
