Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,38,0,0,0,+0,0.000
03-23-2020,41,0,0,0,+3,1.079
03-24-2020,45,0,0,0,+4,1.098
03-25-2020,50,1,0,0,+5,1.111
03-26-2020,64,1,0,0,+14,1.280
03-27-2020,77,1,0,0,+13,1.203
03-28-2020,94,1,0,0,+17,1.221
03-29-2020,113,4,0,0,+19,1.202
03-30-2020,126,5,0,0,+13,1.115
03-31-2020,167,5,0,0,+41,1.325
04-01-2020,170,5,0,0,+3,1.018
04-02-2020,273,6,0,0,+103,1.606
04-03-2020,318,7,0,0,+45,1.165
04-04-2020,342,7,0,0,+24,1.075
04-05-2020,359,8,0,0,+17,1.050
04-06-2020,362,8,0,0,+3,1.008
04-07-2020,380,8,0,0,+18,1.050
04-08-2020,394,9,0,0,+14,1.037
04-09-2020,413,10,0,0,+19,1.048
04-10-2020,428,10,0,0,+15,1.036
04-11-2020,444,12,0,0,+16,1.037
04-12-2020,455,13,0,442,+11,1.025
04-13-2020,479,13,0,466,+24,1.053
04-14-2020,494,14,0,480,+15,1.031
04-15-2020,513,14,0,499,+19,1.038
04-16-2020,530,14,0,516,+17,1.033
04-17-2020,565,16,0,549,+35,1.066
04-18-2020,587,16,0,571,+22,1.039
04-19-2020,592,16,0,576,+5,1.009
04-20-2020,607,16,0,591,+15,1.025
04-21-2020,632,18,0,614,+25,1.041
04-22-2020,638,19,0,619,+6,1.009
04-23-2020,656,23,0,633,+18,1.028
04-24-2020,673,24,0,649,+17,1.026
04-25-2020,677,24,0,653,+4,1.006
04-26-2020,687,24,0,663,+10,1.015
04-27-2020,698,25,0,673,+11,1.016
04-28-2020,709,31,0,678,+11,1.016
04-29-2020,718,34,0,684,+9,1.013
04-30-2020,729,37,0,692,+11,1.015
05-01-2020,748,38,0,710,+19,1.026
05-02-2020,757,41,0,716,+9,1.012
05-03-2020,766,41,0,725,+9,1.012
05-04-2020,784,42,0,742,+18,1.023
05-05-2020,788,44,0,744,+4,1.005
05-06-2020,801,50,0,751,+13,1.016
05-07-2020,820,56,0,764,+19,1.024
05-08-2020,828,59,0,769,+8,1.010
05-09-2020,848,59,0,789,+20,1.024
05-10-2020,861,60,0,801,+13,1.015
05-11-2020,876,61,0,815,+15,1.017
05-12-2020,909,62,0,847,+33,1.038
05-13-2020,923,63,0,860,+14,1.015
05-14-2020,962,65,0,897,+39,1.042
05-15-2020,997,66,0,931,+35,1.036
05-16-2020,1008,67,0,941,+11,1.011
05-17-2020,1022,67,0,955,+14,1.014
05-18-2020,1051,68,0,983,+29,1.028
05-19-2020,1062,71,0,991,+11,1.010
05-20-2020,1075,72,0,1003,+13,1.012
05-21-2020,1109,73,0,1036,+34,1.032
05-22-2020,1116,73,0,1043,+7,1.006
05-23-2020,1153,75,0,1078,+37,1.033
05-24-2020,1173,75,0,1098,+20,1.017
05-25-2020,1187,75,0,1112,+14,1.012
05-26-2020,1196,75,0,1121,+9,1.008
05-27-2020,1205,79,0,1126,+9,1.008
05-28-2020,1218,80,0,1138,+13,1.011
05-29-2020,1238,82,0,1156,+20,1.016
05-30-2020,1262,82,0,1180,+24,1.019
05-31-2020,1297,82,0,1215,+35,1.028
06-01-2020,1313,83,0,1230,+16,1.012
06-02-2020,1335,90,0,1245,+22,1.017
06-03-2020,1361,90,0,1271,+26,1.019
