Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,11,0,0,0,+0,0.000
03-23-2020,13,0,0,0,+2,1.182
03-24-2020,13,0,0,0,+0,1.000
03-25-2020,14,0,0,0,+1,1.077
03-26-2020,17,0,0,0,+3,1.214
03-27-2020,26,0,0,0,+9,1.529
03-28-2020,34,0,0,0,+8,1.308
03-29-2020,39,0,0,0,+5,1.147
03-30-2020,55,0,0,0,+16,1.410
03-31-2020,73,1,0,0,+18,1.327
04-01-2020,76,1,0,0,+3,1.041
04-02-2020,103,2,0,0,+27,1.355
04-03-2020,126,2,0,0,+23,1.223
04-04-2020,142,4,0,0,+16,1.127
04-05-2020,157,4,0,0,+15,1.106
04-06-2020,176,4,0,0,+19,1.121
04-07-2020,197,5,0,0,+21,1.119
04-08-2020,206,5,0,0,+9,1.046
04-09-2020,212,6,0,0,+6,1.029
04-10-2020,237,8,0,0,+25,1.118
04-11-2020,242,8,0,0,+5,1.021
04-12-2020,254,8,0,246,+12,1.050
04-13-2020,270,9,0,261,+16,1.063
04-14-2020,279,10,0,269,+9,1.033
04-15-2020,286,10,0,276,+7,1.025
04-16-2020,304,11,0,293,+18,1.063
04-17-2020,316,12,0,304,+12,1.039
04-18-2020,320,12,0,308,+4,1.013
04-19-2020,326,12,0,314,+6,1.019
04-20-2020,335,14,0,321,+9,1.028
04-21-2020,356,15,0,341,+21,1.063
04-22-2020,361,15,0,346,+5,1.014
04-23-2020,379,17,0,362,+18,1.050
04-24-2020,393,18,0,375,+14,1.037
04-25-2020,400,18,0,382,+7,1.018
04-26-2020,410,18,0,392,+10,1.025
04-27-2020,441,18,0,423,+31,1.076
04-28-2020,457,20,0,437,+16,1.036
04-29-2020,468,22,0,446,+11,1.024
04-30-2020,483,23,0,460,+15,1.032
05-01-2020,500,24,0,476,+17,1.035
05-02-2020,514,26,0,488,+14,1.028
05-03-2020,523,26,0,497,+9,1.018
05-04-2020,536,26,0,510,+13,1.025
05-05-2020,547,28,0,519,+11,1.021
05-06-2020,564,30,0,534,+17,1.031
05-07-2020,594,30,0,564,+30,1.053
05-08-2020,601,31,0,570,+7,1.012
05-09-2020,623,33,0,590,+22,1.037
05-10-2020,636,33,0,603,+13,1.021
05-11-2020,655,33,0,622,+19,1.030
05-12-2020,675,35,0,640,+20,1.031
05-13-2020,687,36,0,651,+12,1.018
05-14-2020,698,37,0,661,+11,1.016
05-15-2020,716,40,0,676,+18,1.026
05-16-2020,722,41,0,681,+6,1.008
05-17-2020,736,42,0,694,+14,1.019
05-18-2020,746,43,0,703,+10,1.014
05-19-2020,766,45,0,721,+20,1.027
05-20-2020,786,45,0,741,+20,1.026
05-21-2020,822,46,0,776,+36,1.046
05-22-2020,840,49,0,791,+18,1.022
05-23-2020,853,49,0,804,+13,1.015
05-24-2020,869,49,0,820,+16,1.019
05-25-2020,878,49,0,829,+9,1.010
05-26-2020,891,50,0,841,+13,1.015
05-27-2020,907,54,0,853,+16,1.018
05-28-2020,939,54,0,885,+32,1.035
05-29-2020,977,55,0,922,+38,1.040
05-30-2020,1005,55,0,950,+28,1.029
05-31-2020,1027,55,0,972,+22,1.022
06-01-2020,1038,57,0,981,+11,1.011
06-02-2020,1053,58,0,995,+15,1.014
06-03-2020,1074,60,0,1014,+21,1.020
