Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+2,1.200
03-24-2020,15,0,0,0,+3,1.250
03-25-2020,20,0,0,0,+5,1.333
03-26-2020,24,0,0,0,+4,1.200
03-27-2020,28,0,0,0,+4,1.167
03-28-2020,40,0,0,0,+12,1.429
03-29-2020,50,0,0,0,+10,1.250
03-30-2020,61,0,0,0,+11,1.220
03-31-2020,76,0,0,0,+15,1.246
04-01-2020,81,1,0,0,+5,1.066
04-02-2020,87,1,0,0,+6,1.074
04-03-2020,100,1,0,0,+13,1.149
04-04-2020,109,1,0,0,+9,1.090
04-05-2020,122,2,0,0,+13,1.119
04-06-2020,125,4,0,0,+3,1.025
04-07-2020,127,4,0,0,+2,1.016
04-08-2020,134,4,0,0,+7,1.055
04-09-2020,140,4,0,0,+6,1.045
04-10-2020,147,4,0,0,+7,1.050
04-11-2020,163,4,0,0,+16,1.109
04-12-2020,177,4,0,173,+14,1.086
04-13-2020,195,4,0,191,+18,1.102
04-14-2020,213,5,0,208,+18,1.092
04-15-2020,224,7,0,217,+11,1.052
04-16-2020,256,10,0,246,+32,1.143
04-17-2020,277,10,0,267,+21,1.082
04-18-2020,293,13,0,280,+16,1.058
04-19-2020,333,13,0,320,+40,1.137
04-20-2020,387,13,0,374,+54,1.162
04-21-2020,415,16,0,399,+28,1.072
04-22-2020,437,16,0,421,+22,1.053
04-23-2020,486,20,0,466,+49,1.112
04-24-2020,575,22,0,553,+89,1.183
04-25-2020,660,24,0,636,+85,1.148
04-26-2020,732,24,0,708,+72,1.109
04-27-2020,756,27,0,729,+24,1.033
04-28-2020,813,31,0,782,+57,1.075
04-29-2020,905,32,0,873,+92,1.113
04-30-2020,985,35,0,950,+80,1.088
05-01-2020,1176,37,0,1139,+191,1.194
05-02-2020,1350,38,0,1312,+174,1.148
05-03-2020,1476,40,0,1436,+126,1.093
05-04-2020,1661,40,0,1621,+185,1.125
05-05-2020,1778,42,0,1736,+117,1.070
05-06-2020,1875,45,0,1830,+97,1.055
05-07-2020,2053,54,0,1999,+178,1.095
05-08-2020,2150,54,0,2096,+97,1.047
05-09-2020,2194,58,0,2136,+44,1.020
05-10-2020,2238,60,0,2178,+44,1.020
05-11-2020,2368,61,0,2307,+130,1.058
05-12-2020,2447,64,0,2383,+79,1.033
05-13-2020,2551,65,0,2486,+104,1.043
05-14-2020,2634,67,0,2567,+83,1.033
05-15-2020,2767,76,0,2691,+133,1.050
05-16-2020,2845,78,0,2767,+78,1.028
05-17-2020,2922,79,0,2843,+77,1.027
05-18-2020,3001,81,0,2920,+79,1.027
05-19-2020,3128,83,0,3045,+127,1.042
05-20-2020,3230,86,0,3144,+102,1.033
05-21-2020,3381,91,0,3290,+151,1.047
05-22-2020,3518,92,0,3426,+137,1.041
05-23-2020,3603,106,0,3497,+85,1.024
05-24-2020,3714,108,0,3606,+111,1.031
05-25-2020,3774,108,0,3666,+60,1.016
05-26-2020,3821,112,0,3709,+47,1.012
05-27-2020,3876,115,0,3761,+55,1.014
05-28-2020,3930,118,0,3812,+54,1.014
05-29-2020,4056,123,0,3933,+126,1.032
05-30-2020,4160,125,0,4035,+104,1.026
05-31-2020,4227,126,0,4101,+67,1.016
06-01-2020,4236,133,0,4103,+9,1.002
06-02-2020,4342,133,0,4209,+106,1.025
06-03-2020,4406,134,0,4272,+64,1.015
