Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+2,0.000
03-24-2020,3,0,0,0,+1,1.500
03-25-2020,3,0,0,0,+0,1.000
03-26-2020,3,0,0,0,+0,1.000
03-27-2020,3,0,0,0,+0,1.000
03-28-2020,3,0,0,0,+0,1.000
03-29-2020,5,0,0,0,+2,1.667
03-30-2020,5,0,0,0,+0,1.000
03-31-2020,8,0,0,0,+3,1.600
04-01-2020,16,0,0,0,+8,2.000
04-02-2020,16,0,0,0,+0,1.000
04-03-2020,21,0,0,0,+5,1.312
04-04-2020,24,0,0,0,+3,1.143
04-05-2020,40,1,0,0,+16,1.667
04-06-2020,40,1,0,0,+0,1.000
04-07-2020,41,1,0,0,+1,1.025
04-08-2020,47,1,0,0,+6,1.146
04-09-2020,58,1,0,0,+11,1.234
04-10-2020,59,1,0,0,+1,1.017
04-11-2020,66,2,0,0,+7,1.119
04-12-2020,70,2,0,68,+4,1.061
04-13-2020,70,2,0,68,+0,1.000
04-14-2020,79,2,0,77,+9,1.129
04-15-2020,79,2,0,77,+0,1.000
04-16-2020,92,2,0,90,+13,1.165
04-17-2020,101,2,0,99,+9,1.098
04-18-2020,110,2,0,108,+9,1.089
04-19-2020,130,2,0,128,+20,1.182
04-20-2020,142,3,0,139,+12,1.092
04-21-2020,160,4,0,156,+18,1.127
04-22-2020,174,4,0,170,+14,1.087
04-23-2020,204,5,0,199,+30,1.172
04-24-2020,221,5,0,216,+17,1.083
04-25-2020,280,6,0,274,+59,1.267
04-26-2020,326,6,0,320,+46,1.164
04-27-2020,333,6,0,327,+7,1.021
04-28-2020,396,6,0,390,+63,1.189
04-29-2020,430,6,0,424,+34,1.086
04-30-2020,499,8,0,491,+69,1.160
05-01-2020,572,8,0,564,+73,1.146
05-02-2020,684,9,0,675,+112,1.196
05-03-2020,766,9,0,757,+82,1.120
05-04-2020,818,9,0,809,+52,1.068
05-05-2020,876,9,0,867,+58,1.071
05-06-2020,907,12,0,895,+31,1.035
05-07-2020,971,15,0,956,+64,1.071
05-08-2020,1027,15,0,1012,+56,1.058
05-09-2020,1101,15,0,1086,+74,1.072
05-10-2020,1124,15,0,1109,+23,1.021
05-11-2020,1124,15,0,1109,+0,1.000
05-12-2020,1179,17,0,1162,+55,1.049
05-13-2020,1327,17,0,1310,+148,1.126
05-14-2020,1421,21,0,1400,+94,1.071
05-15-2020,1462,23,0,1439,+41,1.029
05-16-2020,2080,23,0,2057,+618,1.423
05-17-2020,2129,23,0,2106,+49,1.024
05-18-2020,2129,23,0,2106,+0,1.000
05-19-2020,2145,23,0,2122,+16,1.008
05-20-2020,2193,24,0,2169,+48,1.022
05-21-2020,2196,24,0,2172,+3,1.001
05-22-2020,2196,24,0,2172,+0,1.000
05-23-2020,2229,24,0,2205,+33,1.015
05-24-2020,2238,26,0,2212,+9,1.004
05-25-2020,2238,26,0,2212,+0,1.000
05-26-2020,2238,26,0,2212,+0,1.000
05-27-2020,2251,26,0,2225,+13,1.006
05-28-2020,2266,27,0,2239,+15,1.007
05-29-2020,2266,27,0,2239,+0,1.000
05-30-2020,2317,28,0,2289,+51,1.023
05-31-2020,2321,30,0,2291,+4,1.002
06-01-2020,2321,30,0,2291,+0,1.000
06-02-2020,2354,30,0,2324,+33,1.014
06-03-2020,2432,31,0,2401,+78,1.033
