Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,40,1,0,0,+0,0.000
03-23-2020,47,1,0,0,+7,1.175
03-24-2020,63,2,0,0,+16,1.340
03-25-2020,76,2,0,0,+13,1.206
03-26-2020,101,2,0,0,+25,1.329
03-27-2020,148,2,0,0,+47,1.465
03-28-2020,196,2,0,0,+48,1.324
03-29-2020,247,3,0,0,+51,1.260
03-30-2020,294,6,0,0,+47,1.190
03-31-2020,341,7,0,0,+47,1.160
04-01-2020,403,7,0,0,+62,1.182
04-02-2020,473,9,0,0,+70,1.174
04-03-2020,563,9,0,0,+90,1.190
04-04-2020,653,13,0,0,+90,1.160
04-05-2020,785,16,0,0,+132,1.202
04-06-2020,916,23,0,0,+131,1.167
04-07-2020,1020,26,0,0,+104,1.114
04-08-2020,1310,32,0,0,+290,1.284
04-09-2020,1476,34,0,0,+166,1.127
04-10-2020,1716,42,0,0,+240,1.163
04-11-2020,1923,50,0,0,+207,1.121
04-12-2020,2035,55,0,1980,+112,1.058
