Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+0,1.000
03-24-2020,23,0,0,0,+5,1.278
03-25-2020,32,0,0,0,+9,1.391
03-26-2020,36,0,0,0,+4,1.125
03-27-2020,44,0,0,0,+8,1.222
03-28-2020,56,1,0,0,+12,1.273
03-29-2020,72,1,0,0,+16,1.286
03-30-2020,79,1,0,0,+7,1.097
03-31-2020,94,1,0,0,+15,1.190
04-01-2020,106,1,0,0,+12,1.128
04-02-2020,117,1,0,0,+11,1.104
04-03-2020,131,1,0,0,+14,1.120
04-04-2020,159,1,0,0,+28,1.214
04-05-2020,175,1,0,0,+16,1.101
04-06-2020,193,1,0,0,+18,1.103
04-07-2020,236,1,0,0,+43,1.223
04-08-2020,263,1,0,0,+27,1.114
04-09-2020,299,1,0,0,+36,1.137
04-10-2020,337,1,0,0,+38,1.127
04-11-2020,390,1,0,0,+53,1.157
04-12-2020,389,1,0,388,+-1,0.997
04-13-2020,434,1,0,433,+45,1.116
04-14-2020,508,1,0,507,+74,1.171
04-15-2020,536,1,0,535,+28,1.055
04-16-2020,582,1,0,581,+46,1.086
04-17-2020,644,1,0,643,+62,1.107
04-18-2020,700,1,0,699,+56,1.087
04-19-2020,742,1,0,741,+42,1.060
04-20-2020,793,1,0,792,+51,1.069
04-21-2020,867,1,0,866,+74,1.093
04-22-2020,924,17,0,907,+57,1.066
04-23-2020,1027,18,0,1009,+103,1.111
04-24-2020,1110,18,0,1092,+83,1.081
04-25-2020,1184,19,0,1165,+74,1.067
04-26-2020,1265,19,0,1246,+81,1.068
04-27-2020,1353,20,0,1333,+88,1.070
04-28-2020,1449,20,0,1429,+96,1.071
04-29-2020,1527,22,0,1505,+78,1.054
04-30-2020,1645,24,0,1621,+118,1.077
05-01-2020,1781,28,0,1753,+136,1.083
05-02-2020,1900,29,0,1871,+119,1.067
05-03-2020,2026,30,0,1996,+126,1.066
05-04-2020,2146,32,0,2114,+120,1.059
05-05-2020,2223,33,0,2190,+77,1.036
05-06-2020,2223,33,0,2190,+0,1.000
05-07-2020,2398,39,0,2359,+175,1.079
05-08-2020,2474,46,0,2428,+76,1.032
05-09-2020,2548,47,0,2501,+74,1.030
05-10-2020,2740,48,0,2692,+192,1.075
05-11-2020,2991,53,0,2938,+251,1.092
05-12-2020,3078,58,0,3020,+87,1.029
05-13-2020,3181,65,0,3116,+103,1.033
05-14-2020,3351,66,0,3285,+170,1.053
05-15-2020,3421,67,0,3354,+70,1.021
05-16-2020,3563,69,0,3494,+142,1.042
05-17-2020,3666,70,0,3596,+103,1.029
05-18-2020,3759,70,0,3689,+93,1.025
05-19-2020,3934,73,0,3861,+175,1.047
05-20-2020,4054,79,0,3975,+120,1.031
05-21-2020,4183,79,0,4104,+129,1.032
05-22-2020,4315,80,0,4235,+132,1.032
05-23-2020,4408,84,0,4324,+93,1.022
05-24-2020,4468,84,0,4384,+60,1.014
05-25-2020,4702,94,0,4608,+234,1.052
05-26-2020,4992,96,0,4896,+290,1.062
05-27-2020,5074,99,0,4975,+82,1.016
05-28-2020,5157,101,0,5056,+83,1.016
05-29-2020,5270,101,0,5169,+113,1.022
05-30-2020,5412,104,0,5308,+142,1.027
05-31-2020,5533,104,0,5429,+121,1.022
06-01-2020,5663,104,0,5559,+130,1.023
06-02-2020,5724,104,0,5620,+61,1.011
06-03-2020,5837,109,0,5728,+113,1.020
