Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,37,0,0,0,+0,0.000
03-23-2020,52,0,0,0,+15,1.405
03-24-2020,52,0,0,0,+0,1.000
03-25-2020,52,0,0,0,+0,1.000
03-26-2020,91,0,0,0,+39,1.750
03-27-2020,91,0,0,0,+0,1.000
03-28-2020,91,0,0,0,+0,1.000
03-29-2020,156,0,0,0,+65,1.714
03-30-2020,156,0,0,0,+0,1.000
03-31-2020,208,0,0,0,+52,1.333
04-01-2020,301,0,0,0,+93,1.447
04-02-2020,418,0,0,0,+117,1.389
04-03-2020,418,3,0,0,+0,1.000
04-04-2020,418,3,0,0,+0,1.000
04-05-2020,491,3,0,0,+73,1.175
04-06-2020,538,3,0,0,+47,1.096
04-07-2020,622,3,0,0,+84,1.156
04-08-2020,832,3,0,0,+210,1.338
04-09-2020,832,3,0,0,+0,1.000
04-10-2020,955,3,0,0,+123,1.148
04-11-2020,1278,3,0,0,+323,1.338
04-12-2020,1278,3,0,1275,+0,1.000
04-13-2020,1278,3,0,1275,+0,1.000
04-14-2020,1278,3,0,1275,+0,1.000
04-15-2020,1957,3,0,1954,+679,1.531
04-16-2020,2072,3,0,2069,+115,1.059
04-17-2020,2703,3,0,2700,+631,1.305
04-18-2020,2703,3,0,2700,+0,1.000
04-19-2020,3014,3,0,3011,+311,1.115
04-20-2020,3491,3,0,3488,+477,1.158
04-21-2020,3727,3,0,3724,+236,1.068
